Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,791.5823143817471,1.3223382561747083e7
3,590.7833626618044,1.4059462464625621e7
4,160.8932999931046,3.9766388026295733e6
5,1610.4696517586194,8.289087297601615e6
6,498.02266691173827,1.2012306725911127e7
7,1256.143629747413,1.1263839927945051e7
8,1484.3974256044492,1.9003255842588156e7
9,2075.5462340710014,1.9979208049167458e7
10,2104.190473429012,2.5065116919486392e7
11,751.9850675767958,2.661575948181311e7
12,2592.8092771847937,2.76393468947899e7
13,2694.4782857561704,1.6770432850546407e7
14,1279.316089939751,9.839220047726626e6
15,171.62129728368572,788084.9971266848
16,653.6544546730246,9.136781967419537e6
17,297.04364964668355,9.21993784138341e6
