Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,24823,20952,32430,30404,26460,30411,13655,26225,35347,44386,12767,10839,16638,15284,41397,43811,21355,13125,8822,21241,30054,30244,34242,24768,54915,2631
,,,,,,,168.0,2,23987,19957,30889,27894,25073,28550,12883,24765,33948,42023,12199,10376,15599,14381,38658,41298,20611,11394,7611,18251,28151,28477,32167,23791,52711,2526
,,,,,,,168.0,3,22962,18955,29338,26549,24536,27482,12309,23212,31654,40032,11968,10133,15154,14201,37830,40445,19839,10741,7186,16961,28319,27247,30871,22827,49633,2369
,,,,,,,168.0,4,22061,17801,27549,26070,23916,27169,12074,22647,31287,38219,11639,9811,14755,14119,37479,40022,18467,10682,7111,16502,28562,26640,30429,22119,48135,2301
,,,,,,,168.0,5,20924,16386,25352,25865,23559,27063,11872,21957,30986,35247,11359,9555,14404,14076,37443,39791,19000,10668,7091,16093,28881,26085,29965,21080,47103,2257
,,,,,,,168.0,6,20851,15941,24662,26685,24102,27137,11941,21427,30731,34634,11398,9566,14425,14702,38609,40540,18828,10652,7082,15797,30503,26182,30270,20812,46271,2218
,,,,,,,168.0,7,20650,15519,24011,27746,24857,28020,12403,21877,31678,34303,11680,9735,14683,15296,40455,41838,18443,10962,7313,16222,31935,26981,31118,20723,47327,2275
,,,,,,,168.0,8,20651,15220,23549,31242,24253,28846,12906,22116,32984,34145,11673,9728,15184,16097,41134,43217,18718,11341,7637,16594,33798,27992,32749,21002,49439,2395
,,,,,,,168.0,9,21271,15498,23980,34437,23165,29886,13360,23586,34817,35603,11567,9621,15829,16606,42360,44822,19113,11608,7995,17463,33575,29783,34497,21680,51899,2514
,,,,,,,168.0,10,22065,15923,24650,37807,23797,31291,14168,24711,36721,38758,11775,9800,16455,17044,44205,47163,19708,11903,8331,18127,33540,31376,36222,22507,54532,2650
,,,,,,,168.0,11,22433,16163,25015,41090,24839,32952,15169,26721,39561,40928,12265,10197,17251,17021,45816,48964,20711,12600,8888,19099,33489,33056,37835,23153,58227,2835
,,,,,,,168.0,12,23132,16972,26269,43885,25650,34217,16018,27937,41919,44180,12635,10539,17657,17626,47378,51104,21988,13162,9355,19635,34933,34793,40236,23944,60692,2963
,,,,,,,168.0,13,24344,18180,28142,46544,26746,35882,17145,29664,44248,47249,13220,11010,18387,18419,49645,53983,23035,13739,9811,20816,36344,36946,42837,24916,63752,3112
,,,,,,,168.0,14,25355,19332,29931,47430,26812,36913,17648,31289,47162,49279,13359,11140,19162,18337,49611,54519,24183,14420,10374,21961,35810,37753,43543,26331,66945,3282
