zone,annual_demand,planning_year
z1,8429867.0,2030
z2,643140.0,2030
z3,486945.0,2030
z4,964666.0,2030
z5,110394.0,2030
z6,594780.0,2030
z7,1066915.0,2030
z8,4027530.0,2030
z9,1274514.0,2030
z10,9782763.0,2030
z11,37925225.0,2030
z1,12817319.0,2040
z2,826708.0,2040
z3,625983.0,2040
z4,1239925.0,2040
z5,142096.0,2040
z6,763174.0,2040
z7,1377308.0,2040
z8,5146504.0,2040
z9,1652486.0,2040
z10,12522950.0,2040
z11,46602887.0,2040
z1,13286575.0,2050
z2,905535.0,2050
z3,685701.0,2050
z4,1358141.0,2050
z5,155732.0,2050
z6,835464.0,2050
z7,1510795.0,2050
z8,5626213.0,2050
z9,1815227.0,2050
z10,13891927.0,2050
z11,50800753.0,2050
