Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case,configuration,scenario,child_scenario
cFix,68909863183.2,3.1021920731e9,9.178273785699999e8,8.504408434200002e8,1.79536302151e9,1.9067363609400003e9,3.25709846882e9,1.2512360326e9,2.2683812396600003e9,3.70548745617e9,2.498905961839999e9,1.0516323128999999e8,1.4132075266500003e9,2.52199219297e9,1.32483822204e9,4.1389407415199986e9,4.439335196779999e9,2.5772865380000005e9,2.2414948233499994e9,1.84315305822e9,4.7309010945199995e9,4.68882615882e9,4.33514576433e9,3.12315164661e9,2.4770418707999997e9,5.846741989100001e9,1.5489742915599997e9,2027,GenX,0.5,20-week-foresight,foresight,base,none
cVar,53645614264.2,8.545692351800573e8,1.4848469347315748e9,1.3912612084995527e9,5.891189962555871e9,1.8774360524864488e9,1.5535423889566097e9,1.7209082975988421e9,3.5362252564337325e9,1.8359100161619003e9,8.16081214491236e8,6.901842463016154e8,1.2548446446585743e9,1.7052453488837724e9,1.339879291306047e9,5.648027707456083e9,5.328399277515255e9,2.884925157296999e8,5.33749980270034e8,2.985544595049007e8,8.071216902850037e8,3.0856324803800435e9,2.6257268826837754e9,3.42452974236033e9,1.465175394229099e9,3.792421407869242e9,3.9565862774954e8,2027,GenX,0.4,20-week-foresight,foresight,base,none
cNSE,150705004.9,23188.586751708797,23198.8778826584,23205.377061910574,23651.44172047726,8.693696445477767e7,23176.143473271663,23213.502956306045,23377.283087875665,23365.96707282823,23210.66156464502,6.320972897195569e7,23174.874871342774,23235.77895907465,23217.81225769766,23392.22337215017,23242.11280275087,23142.876652314153,23177.43130391112,23115.781093638678,23234.356234072766,23204.034408210173,23258.00961986068,23307.592647141337,23391.1368350195,23438.193780308182,23191.388934614566,2027,GenX,0.0,20-week-foresight,foresight,base,none
cStart,457850213.2,5.967970551772845e6,1.5591307008334314e6,4.983314231332034e6,3.9348302310726037e6,7.0109069627544405e6,3.109294686093279e7,3.4537183693502387e6,1.2777382837330889e7,7.514034329729886e7,1.14243249933886e6,3.9541476712616584e6,770685.1243822637,9.64663450804547e6,2.7257461524200635e6,1.390200116519449e7,6.14093861833199e6,1.01087135254537e7,2.2912835399459627e7,1.4947281977654386e7,3.1289759934142813e7,7.640417763514685e6,1.116044745492251e7,5.446926528571573e6,7.348126316802463e6,1.4532387944131035e8,1.7468695097488213e7,2027,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,20-week-foresight,foresight,base,none
cNetworkExp,2684240467.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,20-week-foresight,foresight,base,none
cUnmetPolicyPenalty,183178.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,20-week-foresight,foresight,base,none
cFix,132571881681.7,4.980750106379999e9,1.9333271902699995e9,1.9819335367099996e9,7.17497950008e9,5.475723949180003e9,6.68010097557e9,3.4182648610800004e9,3.0302492183300004e9,9.66091139023e9,5.14909349048e9,9.160420283999999e7,3.16494228621e9,2.5657037383400006e9,3.25979678721e9,6.53539978389e9,1.0946468597e10,5.42733839318e9,2.5961213358299994e9,2.52896462476e9,1.082682334467e10,7.14440908257e9,7.449463549049998e9,4.65937280628e9,3.1263302785299997e9,1.0456828404830004e10,2.30698024821e9,2030,GenX,0.7,20-week-foresight,foresight,base,none
cVar,33617531296.7,2.1539021100791988e8,9.554123860414087e8,5.851318239115345e8,4.490536860195347e9,8.362272392001222e8,1.4763407969344008e9,1.1446429431413763e9,1.736345861133533e9,7.138036184876198e8,1.893424453510131e8,2.859110326042105e8,5.708673157016221e8,1.1068708570197957e9,5.828673697539166e8,3.1670848839268856e9,5.653943082078082e9,3.48685397505702e7,1.3669162508308968e8,7.108126916556069e7,3.262229367241948e8,2.8153939028412247e9,1.6363600360066147e9,2.509267389358916e9,6.07629286713119e8,1.571769986470096e9,1.9752759809169087e8,2030,GenX,0.2,20-week-foresight,foresight,base,none
cNSE,37549551.3,167067.57511242357,165587.82812964576,166660.6976843432,174618.64321661618,3.3315274251419026e7,168149.44398389637,171073.04253423424,170942.36599701984,168570.61122748087,171918.8214706862,170425.36128128177,165337.15669236175,173601.74494438045,171271.1515191084,176367.34140122452,166933.22693366697,162692.79536703712,165709.86951069353,162625.28481655804,173063.13426259073,169122.78922175922,170464.56915589864,169943.9169740767,170420.52580652508,174745.7653948413,166963.4180905085,2030,GenX,0.0,20-week-foresight,foresight,base,none
