Zone,value,zone,planning_year,model,agg_zone,case,scenario,configuration,child_scenario
1,4.6377173503417675,BASN,2027,GenX,WECC,20-week-foresight,base,foresight,none
2,4.639775576531677,CANO,2027,GenX,CA,20-week-foresight,base,foresight,none
3,4.641075412382121,CASO,2027,GenX,CA,20-week-foresight,base,foresight,none
4,4.730288344095446,FRCC,2027,GenX,SOU,20-week-foresight,base,foresight,none
5,17387.39289095546,ISNE,2027,GenX,NE,20-week-foresight,base,foresight,none
6,4.635228694654327,MISC,2027,GenX,MISO,20-week-foresight,base,foresight,none
7,4.6427005912612,MISE,2027,GenX,MISO,20-week-foresight,base,foresight,none
8,4.675456617575139,MISS,2027,GenX,MISO,20-week-foresight,base,foresight,none
9,4.673193414565646,MISW,2027,GenX,MISO,20-week-foresight,base,foresight,none
10,4.642132312928995,NWPP,2027,GenX,WECC,20-week-foresight,base,foresight,none
11,12641.945794391117,NYCW,2027,GenX,NE,20-week-foresight,base,foresight,none
12,4.634974974268566,NYUP,2027,GenX,NE,20-week-foresight,base,foresight,none
13,4.647155791814935,PJMC,2027,GenX,PJM,20-week-foresight,base,foresight,none
14,4.643562451539529,PJMD,2027,GenX,PJM,20-week-foresight,base,foresight,none
15,4.678444674430035,PJME,2027,GenX,PJM,20-week-foresight,base,foresight,none
16,4.648422560550173,PJMW,2027,GenX,PJM,20-week-foresight,base,foresight,none
17,4.628575330462842,RMRG,2027,GenX,WECC,20-week-foresight,base,foresight,none
18,4.635486260782223,SPPC,2027,GenX,SPP,20-week-foresight,base,foresight,none
19,4.6231562187277335,SPPN,2027,GenX,SPP,20-week-foresight,base,foresight,none
20,4.646871246814553,SPPS,2027,GenX,SPP,20-week-foresight,base,foresight,none
21,4.64080688164204,SRCA,2027,GenX,SOU,20-week-foresight,base,foresight,none
22,4.651601923972133,SRCE,2027,GenX,MISO,20-week-foresight,base,foresight,none
23,4.661518529428275,SRSE,2027,GenX,SOU,20-week-foresight,base,foresight,none
24,4.678227367003898,SRSG,2027,GenX,WECC,20-week-foresight,base,foresight,none
25,4.687638756061634,TRE,2027,GenX,TRE,20-week-foresight,base,foresight,none
26,4.638277786922932,TREW,2027,GenX,TRE,20-week-foresight,base,foresight,none
1,33.413515022484766,BASN,2030,GenX,WECC,20-week-foresight,base,foresight,none
2,33.11756562592917,CANO,2030,GenX,CA,20-week-foresight,base,foresight,none
3,33.3321395368686,CASO,2030,GenX,CA,20-week-foresight,base,foresight,none
4,34.923728643323216,FRCC,2030,GenX,SOU,20-week-foresight,base,foresight,none
