region,marginal_price,total_demand,planning_year,model,case,scenario,configuration,child_scenario
BASN,33.0,104415840.0,2027,GenX,20-week-foresight,base,foresight,none
CASO,37.5,106247405.0,2027,GenX,20-week-foresight,base,foresight,none
CANO,37.8,164112380.0,2027,GenX,20-week-foresight,base,foresight,none
FRCC,35.6,254835658.0,2027,GenX,20-week-foresight,base,foresight,none
ISNE,46.5,132079030.0,2027,GenX,20-week-foresight,base,foresight,none
MISC,32.5,186790489.0,2027,GenX,20-week-foresight,base,foresight,none
MISE,35.8,102056388.0,2027,GenX,20-week-foresight,base,foresight,none
MISS,31.9,175440371.0,2027,GenX,20-week-foresight,base,foresight,none
MISW,30.4,225553160.0,2027,GenX,20-week-foresight,base,foresight,none
NWPP,35.0,195981047.0,2027,GenX,20-week-foresight,base,foresight,none
NYCW,71.0,76993625.0,2027,GenX,20-week-foresight,base,foresight,none
NYUP,29.9,70257166.0,2027,GenX,20-week-foresight,base,foresight,none
PJMC,32.0,118765758.0,2027,GenX,20-week-foresight,base,foresight,none
PJMD,35.8,110841999.0,2027,GenX,20-week-foresight,base,foresight,none
PJME,33.5,289082184.0,2027,GenX,20-week-foresight,base,foresight,none
PJMW,33.5,310165370.0,2027,GenX,20-week-foresight,base,foresight,none
RMRG,27.2,88883482.0,2027,GenX,20-week-foresight,base,foresight,none
SPPC,28.6,78239307.0,2027,GenX,20-week-foresight,base,foresight,none
SPPN,27.7,49626459.0,2027,GenX,20-week-foresight,base,foresight,none
SPPS,28.4,122178131.0,2027,GenX,20-week-foresight,base,foresight,none
SRCA,36.2,218636717.0,2027,GenX,20-week-foresight,base,foresight,none
SRCE,33.0,214888614.0,2027,GenX,20-week-foresight,base,foresight,none
SRSE,34.4,242597067.0,2027,GenX,20-week-foresight,base,foresight,none
SRSG,34.2,137828950.0,2027,GenX,20-week-foresight,base,foresight,none
TRE,29.3,426645124.0,2027,GenX,20-week-foresight,base,foresight,none
TREW,26.3,19988250.0,2027,GenX,20-week-foresight,base,foresight,none
BASN,30.9,117622650.0,2030,GenX,20-week-foresight,base,foresight,none
CASO,38.5,115510879.0,2030,GenX,20-week-foresight,base,foresight,none
CANO,36.5,178550343.0,2030,GenX,20-week-foresight,base,foresight,none
