model,zone,planning_year,case,unit,value,agg_zone,scenario,configuration,child_scenario
GenX,NYUP,2040,20-week-foresight,tons,1678480.0,NE,base,foresight,none
GenX,PJMC,2040,20-week-foresight,tons,2462140.0,PJM,base,foresight,none
GenX,PJMD,2040,20-week-foresight,tons,2737890.0,PJM,base,foresight,none
GenX,PJME,2040,20-week-foresight,tons,14033300.0,PJM,base,foresight,none
GenX,PJMW,2040,20-week-foresight,tons,10120800.0,PJM,base,foresight,none
GenX,RMRG,2040,20-week-foresight,tons,403911.0,WECC,base,foresight,none
GenX,SPPC,2040,20-week-foresight,tons,448336.0,SPP,base,foresight,none
GenX,SPPN,2040,20-week-foresight,tons,193737.0,SPP,base,foresight,none
GenX,SPPS,2040,20-week-foresight,tons,2062640.0,SPP,base,foresight,none
GenX,SRCA,2040,20-week-foresight,tons,3979530.0,SOU,base,foresight,none
GenX,SRCE,2040,20-week-foresight,tons,3817370.0,MISO,base,foresight,none
GenX,SRSE,2040,20-week-foresight,tons,6689670.0,SOU,base,foresight,none
GenX,SRSG,2040,20-week-foresight,tons,3385170.0,WECC,base,foresight,none
GenX,TRE,2040,20-week-foresight,tons,5631320.0,TRE,base,foresight,none
GenX,TREW,2040,20-week-foresight,tons,1086820.0,TRE,base,foresight,none
GenX,BASN,2045,20-week-foresight,tons,2554580.0,WECC,base,foresight,none
GenX,CANO,2045,20-week-foresight,tons,3490840.0,CA,base,foresight,none
GenX,CASO,2045,20-week-foresight,tons,4062170.0,CA,base,foresight,none
GenX,FRCC,2045,20-week-foresight,tons,8169880.0,SOU,base,foresight,none
GenX,ISNE,2045,20-week-foresight,tons,10334200.0,NE,base,foresight,none
GenX,MISC,2045,20-week-foresight,tons,3028740.0,MISO,base,foresight,none
GenX,MISE,2045,20-week-foresight,tons,1999680.0,MISO,base,foresight,none
GenX,MISS,2045,20-week-foresight,tons,6824580.0,MISO,base,foresight,none
GenX,MISW,2045,20-week-foresight,tons,3848020.0,MISO,base,foresight,none
GenX,NWPP,2045,20-week-foresight,tons,1759260.0,WECC,base,foresight,none
GenX,NYCW,2045,20-week-foresight,tons,1027550.0,NE,base,foresight,none
GenX,NYUP,2045,20-week-foresight,tons,1849500.0,NE,base,foresight,none
GenX,PJMC,2045,20-week-foresight,tons,2613970.0,PJM,base,foresight,none
GenX,PJMD,2045,20-week-foresight,tons,2258590.0,PJM,base,foresight,none
GenX,PJME,2045,20-week-foresight,tons,13429800.0,PJM,base,foresight,none
GenX,PJMW,2045,20-week-foresight,tons,11725200.0,PJM,base,foresight,none
GenX,RMRG,2045,20-week-foresight,tons,475045.0,WECC,base,foresight,none
GenX,SPPC,2045,20-week-foresight,tons,505236.0,SPP,base,foresight,none
GenX,SPPN,2045,20-week-foresight,tons,214795.0,SPP,base,foresight,none
GenX,SPPS,2045,20-week-foresight,tons,2113360.0,SPP,base,foresight,none
GenX,SRCA,2045,20-week-foresight,tons,4400440.0,SOU,base,foresight,none
GenX,SRCE,2045,20-week-foresight,tons,4246870.0,MISO,base,foresight,none
GenX,SRSE,2045,20-week-foresight,tons,7255340.0,SOU,base,foresight,none
GenX,SRSG,2045,20-week-foresight,tons,3498850.0,WECC,base,foresight,none
GenX,TRE,2045,20-week-foresight,tons,6709250.0,TRE,base,foresight,none
GenX,TREW,2045,20-week-foresight,tons,1068230.0,TRE,base,foresight,none
GenX,BASN,2050,20-week-foresight,tons,2133030.0,WECC,base,foresight,none
GenX,CANO,2050,20-week-foresight,tons,3063790.0,CA,base,foresight,none
GenX,CASO,2050,20-week-foresight,tons,3838260.0,CA,base,foresight,none
GenX,FRCC,2050,20-week-foresight,tons,8147090.0,SOU,base,foresight,none
GenX,ISNE,2050,20-week-foresight,tons,10046500.0,NE,base,foresight,none
GenX,MISC,2050,20-week-foresight,tons,3152690.0,MISO,base,foresight,none
GenX,MISE,2050,20-week-foresight,tons,2556730.0,MISO,base,foresight,none
GenX,MISS,2050,20-week-foresight,tons,6373300.0,MISO,base,foresight,none
GenX,MISW,2050,20-week-foresight,tons,3223820.0,MISO,base,foresight,none
GenX,NWPP,2050,20-week-foresight,tons,1661270.0,WECC,base,foresight,none
GenX,NYCW,2050,20-week-foresight,tons,983751.0,NE,base,foresight,none
GenX,NYUP,2050,20-week-foresight,tons,1939490.0,NE,base,foresight,none
GenX,PJMC,2050,20-week-foresight,tons,2330940.0,PJM,base,foresight,none
GenX,PJMD,2050,20-week-foresight,tons,1480570.0,PJM,base,foresight,none
GenX,PJME,2050,20-week-foresight,tons,11597600.0,PJM,base,foresight,none
GenX,PJMW,2050,20-week-foresight,tons,10881100.0,PJM,base,foresight,none
GenX,RMRG,2050,20-week-foresight,tons,350848.0,WECC,base,foresight,none
GenX,SPPC,2050,20-week-foresight,tons,416520.0,SPP,base,foresight,none
GenX,SPPN,2050,20-week-foresight,tons,188245.0,SPP,base,foresight,none
GenX,SPPS,2050,20-week-foresight,tons,1772480.0,SPP,base,foresight,none
GenX,SRCA,2050,20-week-foresight,tons,4183380.0,SOU,base,foresight,none
GenX,SRCE,2050,20-week-foresight,tons,3862140.0,MISO,base,foresight,none
GenX,SRSE,2050,20-week-foresight,tons,7149610.0,SOU,base,foresight,none
GenX,SRSG,2050,20-week-foresight,tons,2732280.0,WECC,base,foresight,none
GenX,TRE,2050,20-week-foresight,tons,6777370.0,TRE,base,foresight,none
GenX,TREW,2050,20-week-foresight,tons,1025450.0,TRE,base,foresight,none
Switch,BASN,2027,20-week-foresight,kg,17539151.18,WECC,base,foresight,none
Switch,CANO,2027,20-week-foresight,kg,19728463.777,CA,base,foresight,none
Switch,CASO,2027,20-week-foresight,kg,21417128.875,CA,base,foresight,none
Switch,FRCC,2027,20-week-foresight,kg,74199890.591,SOU,base,foresight,none
Switch,ISNE,2027,20-week-foresight,kg,32472447.949,NE,base,foresight,none
Switch,MISC,2027,20-week-foresight,kg,46841466.669,MISO,base,foresight,none
Switch,MISE,2027,20-week-foresight,kg,35044868.508,MISO,base,foresight,none
Switch,MISS,2027,20-week-foresight,kg,52995197.803,MISO,base,foresight,none
Switch,MISW,2027,20-week-foresight,kg,46521380.759,MISO,base,foresight,none
Switch,NWPP,2027,20-week-foresight,kg,9025175.926,WECC,base,foresight,none
Switch,NYCW,2027,20-week-foresight,kg,13479233.262,NE,base,foresight,none
Switch,NYUP,2027,20-week-foresight,kg,13409682.113,NE,base,foresight,none
Switch,PJMC,2027,20-week-foresight,kg,14839723.248,PJM,base,foresight,none
Switch,PJMD,2027,20-week-foresight,kg,20409932.092,PJM,base,foresight,none
Switch,PJME,2027,20-week-foresight,kg,78619360.84,PJM,base,foresight,none
Switch,PJMW,2027,20-week-foresight,kg,95764896.838,PJM,base,foresight,none
Switch,RMRG,2027,20-week-foresight,kg,6670533.596,WECC,base,foresight,none
Switch,SPPC,2027,20-week-foresight,kg,14944588.129,SPP,base,foresight,none
Switch,SPPN,2027,20-week-foresight,kg,7517954.232,SPP,base,foresight,none
Switch,SPPS,2027,20-week-foresight,kg,18070955.556,SPP,base,foresight,none
