model,line_name,planning_year,case,unit,value,end_value,line,start_region,dest_region
GenX,BASN_to_SRSG,2027,20-week-foresight,MW,0.0,,5.0,BASN,SRSG
GenX,CANO_to_CASO,2027,20-week-foresight,MW,3.0,,6.0,CANO,CASO
GenX,CANO_to_NWPP,2027,20-week-foresight,MW,0.0,,7.0,CANO,NWPP
GenX,CASO_to_NWPP,2027,20-week-foresight,MW,0.0,,8.0,CASO,NWPP
GenX,CASO_to_SRSG,2027,20-week-foresight,MW,0.0,,9.0,CASO,SRSG
GenX,FRCC_to_SRSE,2027,20-week-foresight,MW,1.0,,10.0,FRCC,SRSE
GenX,ISNE_to_NYCW,2027,20-week-foresight,MW,0.0,,11.0,ISNE,NYCW
GenX,ISNE_to_NYUP,2027,20-week-foresight,MW,3.0,,12.0,ISNE,NYUP
GenX,MISC_to_MISE,2027,20-week-foresight,MW,119.0,,13.0,MISC,MISE
GenX,MISC_to_MISS,2027,20-week-foresight,MW,1.0,,14.0,MISC,MISS
GenX,MISC_to_MISW,2027,20-week-foresight,MW,0.0,,15.0,MISC,MISW
GenX,MISC_to_PJMC,2027,20-week-foresight,MW,6.0,,16.0,MISC,PJMC
GenX,MISC_to_PJMW,2027,20-week-foresight,MW,1.0,,17.0,MISC,PJMW
GenX,MISC_to_SPPC,2027,20-week-foresight,MW,2780.0,,18.0,MISC,SPPC
GenX,MISC_to_SPPN,2027,20-week-foresight,MW,870.0,,19.0,MISC,SPPN
GenX,MISC_to_SPPS,2027,20-week-foresight,MW,5190.0,,20.0,MISC,SPPS
GenX,MISC_to_SRCE,2027,20-week-foresight,MW,0.0,,21.0,MISC,SRCE
GenX,MISE_to_MISW,2027,20-week-foresight,MW,123.0,,22.0,MISE,MISW
GenX,MISE_to_PJMW,2027,20-week-foresight,MW,1.0,,23.0,MISE,PJMW
GenX,MISS_to_SPPC,2027,20-week-foresight,MW,1998.0,,24.0,MISS,SPPC
GenX,MISS_to_SPPS,2027,20-week-foresight,MW,16936.0,,25.0,MISS,SPPS
GenX,MISS_to_SRCE,2027,20-week-foresight,MW,0.0,,26.0,MISS,SRCE
GenX,MISS_to_SRSE,2027,20-week-foresight,MW,10000.0,,27.0,MISS,SRSE
GenX,MISW_to_NWPP,2027,20-week-foresight,MW,17.0,,28.0,MISW,NWPP
GenX,MISW_to_PJMC,2027,20-week-foresight,MW,7.0,,29.0,MISW,PJMC
GenX,MISW_to_SPPC,2027,20-week-foresight,MW,80.0,,30.0,MISW,SPPC
GenX,MISW_to_SPPN,2027,20-week-foresight,MW,7.0,,31.0,MISW,SPPN
GenX,NWPP_to_RMRG,2027,20-week-foresight,MW,101.0,,32.0,NWPP,RMRG
GenX,NYCW_to_NYUP,2027,20-week-foresight,MW,1.0,,33.0,NYCW,NYUP
GenX,NYCW_to_PJME,2027,20-week-foresight,MW,3393.0,,34.0,NYCW,PJME
GenX,NYUP_to_PJME,2027,20-week-foresight,MW,1.0,,35.0,NYUP,PJME
GenX,PJMC_to_PJMW,2027,20-week-foresight,MW,2094.0,,36.0,PJMC,PJMW
GenX,PJMD_to_PJME,2027,20-week-foresight,MW,1639.0,,37.0,PJMD,PJME
GenX,PJMD_to_PJMW,2027,20-week-foresight,MW,0.0,,38.0,PJMD,PJMW
GenX,PJMD_to_SRCA,2027,20-week-foresight,MW,0.0,,39.0,PJMD,SRCA
GenX,PJME_to_PJMW,2027,20-week-foresight,MW,0.0,,40.0,PJME,PJMW
GenX,PJMW_to_SRCA,2027,20-week-foresight,MW,0.0,,41.0,PJMW,SRCA
GenX,PJMW_to_SRCE,2027,20-week-foresight,MW,2.0,,42.0,PJMW,SRCE
GenX,RMRG_to_SPPC,2027,20-week-foresight,MW,1255.0,,43.0,RMRG,SPPC
GenX,RMRG_to_SPPN,2027,20-week-foresight,MW,2075.0,,44.0,RMRG,SPPN
GenX,RMRG_to_SRSG,2027,20-week-foresight,MW,52.0,,45.0,RMRG,SRSG
GenX,SPPC_to_SPPN,2027,20-week-foresight,MW,1770.0,,46.0,SPPC,SPPN
GenX,SPPC_to_SPPS,2027,20-week-foresight,MW,6.0,,47.0,SPPC,SPPS
GenX,SPPN_to_SPPS,2027,20-week-foresight,MW,954.0,,48.0,SPPN,SPPS
GenX,SPPS_to_SRSG,2027,20-week-foresight,MW,154.0,,49.0,SPPS,SRSG
GenX,SPPS_to_TRE,2027,20-week-foresight,MW,3186.0,,50.0,SPPS,TRE
GenX,SPPS_to_TREW,2027,20-week-foresight,MW,3821.0,,51.0,SPPS,TREW
GenX,SRCA_to_SRCE,2027,20-week-foresight,MW,3.0,,52.0,SRCA,SRCE
GenX,SRCA_to_SRSE,2027,20-week-foresight,MW,1.0,,53.0,SRCA,SRSE
GenX,SRCE_to_SRSE,2027,20-week-foresight,MW,1.0,,54.0,SRCE,SRSE
GenX,TREW_to_TRE,2027,20-week-foresight,MW,0.0,,55.0,TREW,TRE
GenX,NWPP_to_SPPN,2027,20-week-foresight,MW,71.0,,56.0,NWPP,SPPN
GenX,SRSG_to_TRE,2027,20-week-foresight,MW,216.0,,57.0,SRSG,TRE
GenX,BASN_to_CANO,2030,20-week-foresight,MW,6.0,,1.0,BASN,CANO
GenX,BASN_to_CASO,2030,20-week-foresight,MW,8.0,,2.0,BASN,CASO
GenX,BASN_to_NWPP,2030,20-week-foresight,MW,0.0,,3.0,BASN,NWPP
GenX,BASN_to_RMRG,2030,20-week-foresight,MW,1.0,,4.0,BASN,RMRG
GenX,BASN_to_SRSG,2030,20-week-foresight,MW,0.0,,5.0,BASN,SRSG
GenX,CANO_to_CASO,2030,20-week-foresight,MW,0.0,,6.0,CANO,CASO
GenX,CANO_to_NWPP,2030,20-week-foresight,MW,266.0,,7.0,CANO,NWPP
GenX,CASO_to_NWPP,2030,20-week-foresight,MW,0.0,,8.0,CASO,NWPP
GenX,CASO_to_SRSG,2030,20-week-foresight,MW,7595.0,,9.0,CASO,SRSG
GenX,FRCC_to_SRSE,2030,20-week-foresight,MW,3028.0,,10.0,FRCC,SRSE
GenX,ISNE_to_NYCW,2030,20-week-foresight,MW,193.0,,11.0,ISNE,NYCW
GenX,ISNE_to_NYUP,2030,20-week-foresight,MW,5637.0,,12.0,ISNE,NYUP
GenX,MISC_to_MISE,2030,20-week-foresight,MW,3835.0,,13.0,MISC,MISE
GenX,MISC_to_MISS,2030,20-week-foresight,MW,0.0,,14.0,MISC,MISS
GenX,MISC_to_MISW,2030,20-week-foresight,MW,0.0,,15.0,MISC,MISW
GenX,MISC_to_PJMC,2030,20-week-foresight,MW,0.0,,16.0,MISC,PJMC
GenX,MISC_to_PJMW,2030,20-week-foresight,MW,8624.0,,17.0,MISC,PJMW
GenX,MISC_to_SPPC,2030,20-week-foresight,MW,14.0,,18.0,MISC,SPPC
GenX,MISC_to_SPPN,2030,20-week-foresight,MW,5.0,,19.0,MISC,SPPN
GenX,MISC_to_SPPS,2030,20-week-foresight,MW,11720.0,,20.0,MISC,SPPS
GenX,MISC_to_SRCE,2030,20-week-foresight,MW,0.0,,21.0,MISC,SRCE
GenX,MISE_to_MISW,2030,20-week-foresight,MW,241.0,,22.0,MISE,MISW
GenX,MISE_to_PJMW,2030,20-week-foresight,MW,0.0,,23.0,MISE,PJMW
GenX,MISS_to_SPPC,2030,20-week-foresight,MW,4380.0,,24.0,MISS,SPPC
GenX,MISS_to_SPPS,2030,20-week-foresight,MW,16970.0,,25.0,MISS,SPPS
GenX,MISS_to_SRCE,2030,20-week-foresight,MW,0.0,,26.0,MISS,SRCE
GenX,MISS_to_SRSE,2030,20-week-foresight,MW,10000.0,,27.0,MISS,SRSE
GenX,MISW_to_NWPP,2030,20-week-foresight,MW,1.0,,28.0,MISW,NWPP
GenX,MISW_to_PJMC,2030,20-week-foresight,MW,14548.0,,29.0,MISW,PJMC
GenX,MISW_to_SPPC,2030,20-week-foresight,MW,37.0,,30.0,MISW,SPPC
GenX,MISW_to_SPPN,2030,20-week-foresight,MW,0.0,,31.0,MISW,SPPN
GenX,NWPP_to_RMRG,2030,20-week-foresight,MW,1348.0,,32.0,NWPP,RMRG
GenX,NYCW_to_NYUP,2030,20-week-foresight,MW,0.0,,33.0,NYCW,NYUP
GenX,NYCW_to_PJME,2030,20-week-foresight,MW,3437.0,,34.0,NYCW,PJME
GenX,NYUP_to_PJME,2030,20-week-foresight,MW,4549.0,,35.0,NYUP,PJME
GenX,PJMC_to_PJMW,2030,20-week-foresight,MW,10000.0,,36.0,PJMC,PJMW
GenX,PJMD_to_PJME,2030,20-week-foresight,MW,499.0,,37.0,PJMD,PJME
GenX,PJMD_to_PJMW,2030,20-week-foresight,MW,0.0,,38.0,PJMD,PJMW
GenX,PJMD_to_SRCA,2030,20-week-foresight,MW,1.0,,39.0,PJMD,SRCA
GenX,PJME_to_PJMW,2030,20-week-foresight,MW,13648.0,,40.0,PJME,PJMW
GenX,PJMW_to_SRCA,2030,20-week-foresight,MW,0.0,,41.0,PJMW,SRCA
GenX,PJMW_to_SRCE,2030,20-week-foresight,MW,0.0,,42.0,PJMW,SRCE
GenX,RMRG_to_SPPC,2030,20-week-foresight,MW,7562.0,,43.0,RMRG,SPPC
