case,planning_year,tech_type,agg_zone,end_value
20-week-foresight,2030,Coal,CA,0.0
20-week-foresight,2030,Coal,MISO,47531.7
20-week-foresight,2030,Coal,NE,330.0
20-week-foresight,2030,Coal,PJM,28821.0
20-week-foresight,2030,Coal,SOU,26869.3
20-week-foresight,2030,Coal,SPP,18953.0
20-week-foresight,2030,Coal,TRE,10731.0
20-week-foresight,2030,Coal,WECC,16452.3
20-week-foresight,2030,Distributed Solar,CA,14309.0
20-week-foresight,2030,Distributed Solar,MISO,12074.3
20-week-foresight,2030,Distributed Solar,NE,7853.3
20-week-foresight,2030,Distributed Solar,PJM,17299.3
20-week-foresight,2030,Distributed Solar,SOU,10993.3
20-week-foresight,2030,Distributed Solar,SPP,2810.7
20-week-foresight,2030,Distributed Solar,TRE,6744.7
20-week-foresight,2030,Distributed Solar,WECC,8459.0
20-week-foresight,2030,Geothermal,CA,30.7
20-week-foresight,2030,Geothermal,MISO,
20-week-foresight,2030,Geothermal,NE,
20-week-foresight,2030,Geothermal,PJM,
20-week-foresight,2030,Geothermal,SOU,
20-week-foresight,2030,Geothermal,SPP,
20-week-foresight,2030,Geothermal,TRE,
20-week-foresight,2030,Geothermal,WECC,808.3
20-week-foresight,2030,Hydro,CA,12357.3
20-week-foresight,2030,Hydro,MISO,10467.3
20-week-foresight,2030,Hydro,NE,8140.0
20-week-foresight,2030,Hydro,PJM,7802.7
20-week-foresight,2030,Hydro,SOU,9609.7
20-week-foresight,2030,Hydro,SPP,5178.0
20-week-foresight,2030,Hydro,TRE,509.3
20-week-foresight,2030,Hydro,WECC,39674.7
20-week-foresight,2030,Hydrogen,CA,2.0
20-week-foresight,2030,Hydrogen,MISO,5.0
20-week-foresight,2030,Hydrogen,NE,5.0
20-week-foresight,2030,Hydrogen,PJM,4.0
20-week-foresight,2030,Hydrogen,SOU,3.0
20-week-foresight,2030,Hydrogen,SPP,3.0
20-week-foresight,2030,Hydrogen,TRE,2.0
20-week-foresight,2030,Hydrogen,WECC,4.5
20-week-foresight,2030,Natural Gas CC,CA,21046.7
20-week-foresight,2030,Natural Gas CC,MISO,58565.3
20-week-foresight,2030,Natural Gas CC,NE,27889.0
20-week-foresight,2030,Natural Gas CC,PJM,59686.7
20-week-foresight,2030,Natural Gas CC,SOU,64693.7
20-week-foresight,2030,Natural Gas CC,SPP,11678.3
20-week-foresight,2030,Natural Gas CC,TRE,41564.3
20-week-foresight,2030,Natural Gas CC,WECC,30890.7
20-week-foresight,2030,Natural Gas CT,CA,13232.0
20-week-foresight,2030,Natural Gas CT,MISO,35604.0
20-week-foresight,2030,Natural Gas CT,NE,4045.0
20-week-foresight,2030,Natural Gas CT,PJM,31675.0
20-week-foresight,2030,Natural Gas CT,SOU,32007.3
20-week-foresight,2030,Natural Gas CT,SPP,11108.0
20-week-foresight,2030,Natural Gas CT,TRE,12724.7
20-week-foresight,2030,Natural Gas CT,WECC,10140.7
20-week-foresight,2030,Nuclear,CA,1.0
20-week-foresight,2030,Nuclear,MISO,20320.7
20-week-foresight,2030,Nuclear,NE,6715.0
20-week-foresight,2030,Nuclear,PJM,33762.3
20-week-foresight,2030,Nuclear,SOU,23925.0
20-week-foresight,2030,Nuclear,SPP,2026.0
20-week-foresight,2030,Nuclear,TRE,5120.7
20-week-foresight,2030,Nuclear,WECC,5176.3
20-week-foresight,2030,Solar,CA,30959.7
20-week-foresight,2030,Solar,MISO,39366.7
20-week-foresight,2030,Solar,NE,7733.7
20-week-foresight,2030,Solar,PJM,50522.7
20-week-foresight,2030,Solar,SOU,51768.0
20-week-foresight,2030,Solar,SPP,4757.0
20-week-foresight,2030,Solar,TRE,29254.3
20-week-foresight,2030,Solar,WECC,23201.3
20-week-foresight,2030,Wind,CA,6478.7
20-week-foresight,2030,Wind,MISO,124780.3
20-week-foresight,2030,Wind,NE,33709.7
20-week-foresight,2030,Wind,PJM,42020.0
20-week-foresight,2030,Wind,SOU,25040.0
20-week-foresight,2030,Wind,SPP,108216.0
20-week-foresight,2030,Wind,TRE,98746.7
20-week-foresight,2030,Wind,WECC,109090.7
20-week-foresight,2035,Battery,CA,11245.7
20-week-foresight,2035,Battery,MISO,275.3
20-week-foresight,2035,Battery,NE,2461.0
20-week-foresight,2035,Battery,PJM,217.0
20-week-foresight,2035,Battery,SOU,889.0
20-week-foresight,2035,Battery,SPP,347.0
20-week-foresight,2035,Battery,TRE,4677.7
20-week-foresight,2035,Battery,WECC,3423.0
20-week-foresight,2035,CCS,CA,12838.7
20-week-foresight,2035,CCS,MISO,41112.3
20-week-foresight,2035,CCS,NE,
20-week-foresight,2035,CCS,PJM,44561.3
20-week-foresight,2035,CCS,SOU,42068.3
20-week-foresight,2035,CCS,SPP,156.5
20-week-foresight,2035,CCS,TRE,16467.3
20-week-foresight,2035,CCS,WECC,328.5
20-week-foresight,2035,Coal,CA,0.0
20-week-foresight,2035,Coal,MISO,42535.7
20-week-foresight,2035,Coal,NE,0.0
20-week-foresight,2035,Coal,PJM,22064.7
20-week-foresight,2035,Coal,SOU,23075.3
20-week-foresight,2035,Coal,SPP,17869.0
20-week-foresight,2035,Coal,TRE,10731.0
20-week-foresight,2035,Coal,WECC,13729.3
20-week-foresight,2035,Distributed Solar,CA,15954.3
20-week-foresight,2035,Distributed Solar,MISO,17114.3
20-week-foresight,2035,Distributed Solar,NE,8695.7
20-week-foresight,2035,Distributed Solar,PJM,20432.3
20-week-foresight,2035,Distributed Solar,SOU,14021.0
20-week-foresight,2035,Distributed Solar,SPP,3979.0
20-week-foresight,2035,Distributed Solar,TRE,8686.3
20-week-foresight,2035,Distributed Solar,WECC,9984.3
20-week-foresight,2035,Geothermal,CA,30.7
20-week-foresight,2035,Geothermal,MISO,
20-week-foresight,2035,Geothermal,NE,
20-week-foresight,2035,Geothermal,PJM,
20-week-foresight,2035,Geothermal,SOU,
20-week-foresight,2035,Geothermal,SPP,
20-week-foresight,2035,Geothermal,TRE,
20-week-foresight,2035,Geothermal,WECC,759.7
