region,marginal_price,total_demand
BASN,31.745067886808464,154373402.0
CASO,31.872254706742485,141559023.0
CANO,36.695707151137825,219102255.0
FRCC,32.87204748881887,305390926.0
ISNE,50.76588233089714,185912448.0
MISC,29.312875083529526,243790194.0
MISE,37.28983116812977,126030936.0
MISS,26.35411679446945,223677305.0
MISW,37.10748915328497,294141188.0
NWPP,31.29103805658759,260888430.0
NYCW,61.33151477770208,97972883.0
NYUP,23.930724650420768,85901025.0
PJMC,34.74991784577092,142659266.0
PJMD,36.245463017028406,134294097.0
PJME,38.49388578755487,361596414.0
PJMW,33.570306291720556,381430632.0
RMRG,23.872654411655038,129535560.0
SPPC,24.759481993726496,101870818.0
SPPN,23.597656650993507,67540119.0
SPPS,21.360885161305085,162787259.0
SRCA,31.401551996481484,263347390.0
SRCE,30.027250712568534,264512199.0
SRSE,30.201937227156765,303257618.0
SRSG,31.229399306104035,183293864.0
TRE,26.249677841927515,515960435.0
TREW,22.03387440611076,24676479.0
