Period_Index,Rep_Period_Index,Month,Rep_Period
1,4,1,1
2,1,1,2
3,3,1,54
4,1,1,2
5,1,1,2
6,1,1,2
7,1,1,2
8,1,2,2
9,2,2,36
10,2,2,36
11,1,2,2
12,2,2,36
13,1,2,2
14,1,2,2
15,1,3,2
16,1,3,2
17,1,3,2
18,1,3,2
19,2,3,36
20,2,3,36
21,2,3,36
22,1,3,2
23,2,4,36
24,1,4,2
25,1,4,2
26,2,4,36
27,1,4,2
28,3,4,54
29,2,4,36
30,2,4,36
31,2,5,36
32,2,5,36
33,1,5,2
34,1,5,2
35,2,5,36
36,2,5,36
37,2,5,36
38,2,6,36
39,2,6,36
40,3,6,54
41,3,6,54
42,2,6,36
43,3,6,54
44,2,6,36
45,2,6,36
46,2,7,36
47,2,7,36
48,3,7,54
49,3,7,54
50,3,7,54
51,2,7,36
52,1,7,2
53,3,7,54
54,3,8,54
55,2,8,36
56,3,8,54
57,3,8,54
58,3,8,54
59,3,8,54
60,3,8,54
61,3,9,54
62,3,9,54
63,3,9,54
64,2,9,36
65,3,9,54
66,2,9,36
67,2,9,36
68,2,9,36
69,3,10,54
70,3,10,54
71,3,10,54
72,1,10,2
73,2,10,36
74,3,10,54
75,3,10,54
76,1,10,2
77,1,11,2
78,1,11,2
79,2,11,36
80,2,11,36
81,1,11,2
82,2,11,36
83,2,11,36
84,2,12,36
85,3,12,54
86,3,12,54
87,2,12,36
88,3,12,54
89,1,12,2
90,2,12,36
91,1,12,2
