Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,64,0.0
NY_Z_A,NY_Z_A_nuclear_nuclear_moderate_0,2,0,65,0.1164997589167818
NY_Z_A,NY_Z_A_naturalgas_ccs100_moderate_0,2,0,66,0.0
NY_Z_B,NY_Z_B_naturalgas_ccavgcf_moderate_0,3,0,67,0.0
NY_Z_B,NY_Z_B_naturalgas_ctavgcf_moderate_0,3,0,68,0.0
NY_Z_B,NY_Z_B_nuclear_nuclear_moderate_0,3,0,69,0.11026631222388038
NY_Z_B,NY_Z_B_naturalgas_ccs100_moderate_0,3,0,70,0.0
NY_Z_C&E,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,4,0,71,0.0
NY_Z_C&E,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,4,0,72,0.0
NY_Z_C&E,NY_Z_C&E_nuclear_nuclear_moderate_0,4,0,73,0.11322381448429412
NY_Z_C&E,NY_Z_C&E_naturalgas_ccs100_moderate_0,4,0,74,0.0
NY_Z_D,NY_Z_D_naturalgas_ccavgcf_moderate_0,5,0,75,0.0
NY_Z_D,NY_Z_D_naturalgas_ctavgcf_moderate_0,5,0,76,0.0
NY_Z_D,NY_Z_D_nuclear_nuclear_moderate_0,5,0,77,0.12052286255308674
NY_Z_D,NY_Z_D_naturalgas_ccs100_moderate_0,5,0,78,0.0
NY_Z_F,NY_Z_F_naturalgas_ccavgcf_moderate_0,6,0,79,0.0
NY_Z_F,NY_Z_F_naturalgas_ctavgcf_moderate_0,6,0,80,0.0
NY_Z_F,NY_Z_F_nuclear_nuclear_moderate_0,6,0,81,0.1081376213765413
NY_Z_F,NY_Z_F_naturalgas_ccs100_moderate_0,6,0,82,0.0
NY_Z_G-I,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,0,83,0.0
NY_Z_G-I,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,0,84,0.0
NY_Z_G-I,NY_Z_G-I_nuclear_nuclear_moderate_0,7,0,85,0.12350943992488682
