model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,BASN,BASN_geothermal_1,Geothermal,2035,base_20_week_new,MW,519.368,496.702
TEMOA,BASN,BASN_geothermal_1,Geothermal,2040,base_20_week_new,MW,0,344.765
TEMOA,BASN,BASN_geothermal_1,Geothermal,2045,base_20_week_new,MW,496.702,182.008
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2027,base_20_week_new,MW,0,8499.26
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2030,base_20_week_new,MW,8499.26,8535.94
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2035,base_20_week_new,MW,8535.94,8547.09
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2040,base_20_week_new,MW,8576.95,8557.18
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2045,base_20_week_new,MW,8547.09,8557.18
TEMOA,BASN,BASN_landbasedwind_class3_moderate_0_anyQual_0,Wind,2050,base_20_week_new,MW,8557.18,8576.95
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2035,base_20_week_new,MW,0,21.582
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2040,base_20_week_new,MW,73.12,40.1213
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2045,base_20_week_new,MW,21.582,55.0186
TEMOA,BASN,BASN_landbasedwind_class3_moderate_10_anyQual_0,Wind,2050,base_20_week_new,MW,55.0186,73.12
TEMOA,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,2035,base_20_week_new,MW,0,17.3676
TEMOA,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,2040,base_20_week_new,MW,57.4608,32.3051
TEMOA,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,2045,base_20_week_new,MW,17.3676,43.5341
TEMOA,BASN,BASN_landbasedwind_class3_moderate_11_anyQual_1,Wind,2050,base_20_week_new,MW,43.5341,57.4608
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2027,base_20_week_new,MW,0,2893.29
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2030,base_20_week_new,MW,2893.29,8177.8
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2035,base_20_week_new,MW,8177.8,8188.01
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2040,base_20_week_new,MW,8217.86,8198.08
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2045,base_20_week_new,MW,8188.01,8198.08
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1_anyQual_1,Wind,2050,base_20_week_new,MW,8198.08,8217.86
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2030,base_20_week_new,MW,0,691.709
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2035,base_20_week_new,MW,691.709,3816.89
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2040,base_20_week_new,MW,9118.04,9088.64
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2045,base_20_week_new,MW,3816.89,9107.79
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2_anyQual_0,Wind,2050,base_20_week_new,MW,9107.79,9118.04
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2030,base_20_week_new,MW,0,4336.84
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2035,base_20_week_new,MW,4336.84,7618.03
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2040,base_20_week_new,MW,7655.62,7636.97
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2045,base_20_week_new,MW,7618.03,7636.97
TEMOA,BASN,BASN_landbasedwind_class3_moderate_3_anyQual_1,Wind,2050,base_20_week_new,MW,7636.97,7655.62
TEMOA,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,2030,base_20_week_new,MW,0,15.1665
TEMOA,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,2035,base_20_week_new,MW,15.1665,57.4131
TEMOA,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,2040,base_20_week_new,MW,292.861,98.7786
TEMOA,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,2045,base_20_week_new,MW,57.4131,167.394
TEMOA,BASN,BASN_landbasedwind_class3_moderate_4_anyQual_0,Wind,2050,base_20_week_new,MW,167.394,292.861
TEMOA,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,2030,base_20_week_new,MW,0,15.6731
TEMOA,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,2035,base_20_week_new,MW,15.6731,60.2342
TEMOA,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,2040,base_20_week_new,MW,238.818,101.68
TEMOA,BASN,BASN_landbasedwind_class3_moderate_5_anyQual_1,Wind,2045,base_20_week_new,MW,60.2342,161.88
