Resource,Fuel,Zone,AnnualSumCosts
NY_Z_C&E_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,4,26.36830769315649
NY_Z_D_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,5,8121.899832280888
NY_Z_D_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,5,60.30477050486971
NY_Z_D_nuclear_nuclear_moderate_0,middle_atlantic_uranium,5,9.275369287113735
NY_Z_D_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,5,24.22365896880814
NY_Z_F_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,6,259.2288967551198
NY_Z_F_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,6,64.37180769914865
NY_Z_F_nuclear_nuclear_moderate_0,middle_atlantic_uranium,6,7.93995343045986
NY_Z_F_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,6,25.585118687666473
NY_Z_G-I_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,7,318.5679773691835
NY_Z_G-I_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,7,231.27313853927626
NY_Z_G-I_nuclear_nuclear_moderate_0,middle_atlantic_uranium,7,9.583592246220038
NY_Z_G-I_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,7,29.889641796028336
NY_Z_J_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,8,378.6158134333474
NY_Z_J_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,8,53.3995506665734
NY_Z_J_nuclear_nuclear_moderate_0,middle_atlantic_uranium,8,8.734636117952157
NY_Z_J_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,8,25.113013245783524
NY_Z_K_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,9,88.87678636179628
NY_Z_K_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,9,55.68070261847854
NY_Z_K_nuclear_nuclear_moderate_0,middle_atlantic_uranium,9,7.034441910050528
NY_Z_K_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,9,28.6824083877063
PJM_EMAC_naturalgas_ccavgcf_moderate_0,middle_atlantic_naturalgas,10,1.021227362507744e9
PJM_EMAC_naturalgas_ctavgcf_moderate_0,middle_atlantic_naturalgas,10,89.52371377191292
PJM_EMAC_nuclear_nuclear_moderate_0,middle_atlantic_uranium,10,6.294147260764956
PJM_EMAC_naturalgas_ccs100_moderate_0,middle_atlantic_naturalgas_ccs100,10,31.75736982565885
PJM_Rest_naturalgas_ccccsavgcf_moderate_0,east_north_central_naturalgas_ccs90,11,32.380617286034195
PJM_Rest_naturalgas_ccavgcf_moderate_0,east_north_central_naturalgas,11,6322.490883892747
PJM_Rest_naturalgas_ctavgcf_moderate_0,east_north_central_naturalgas,11,113.39541204203124
PJM_Rest_nuclear_nuclear_moderate_0,east_north_central_uranium,11,8.880219153059494
PJM_Rest_naturalgas_ccs100_moderate_0,east_north_central_naturalgas_ccs100,11,31.128074720803504
