Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.737014157479478e7
new_england_naturalgas,3.389166504314468e8
new_england_uranium,9.176545344400722e7
middle_atlantic_naturalgas,1.2229709420977027e9
middle_atlantic_uranium,5.44208197585075e8
middle_atlantic_coal,0.0
east_north_central_coal,2.5402935909843493e9
east_north_central_naturalgas,1.0305171124300243e9
east_north_central_uranium,2.6782917629040295e8
new_england_naturalgas_ccs100,2.6405367094972667
middle_atlantic_naturalgas_ccs100,19.186918585115972
east_north_central_naturalgas_ccs90,3.5748985375087754
east_north_central_naturalgas_ccs100,4.149384080216544
None,0.0
