Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,168174.67919196855,100057.30965378508,172421.5935115844,52818.55176575631,174645.37096250505,64639.90077931597,206245.8102749276,285862.0786679855,447693.83854390256,391549.5968792373,413628.5963154734,299595.00740739325,140133.61544528865,5937.992680141614,99146.71834513209,129442.98467066235,3.15199364509506e6
t1,0.0,28.15999986778721,15.060001290830991,22.55173154131681,5.767909683310867,6.025030392523091,5.354237494656305,12.532877393821618,3.211793637558157e-6,53.77451607253232,56.322935009501904,46.98357083889749,35.87671045547259,15.919757339899698,4.1639891642009725e-6,4.540419414253429e-6,19.619993208880572,323.94928250563373
t2,0.0,28.15999978004302,15.060001438781496,22.551731545335482,3.3728059173015708,1.541790951744405e-5,1.406612752952061,12.48973365452548,3.500891527193249e-6,38.09683754243411,24.430782108774636,46.067079852772295,25.19418331178064,19.32203179540215,4.90923394361493e-6,7.851579665068309,19.61999579821333,263.62339899141955
t3,0.0,28.159999701182134,15.060001406018259,22.551731468401584,2.6585831182344832,0.06390697477056861,7.1231662249162535e-6,11.207013075532098,3.365397228325379e-6,42.632365954898624,46.03401605755728,46.58043741857258,27.305974075707688,20.897988522500007,1.617044549454859,18.435927234616507,19.61999623491865,302.8249962809288
t4,0.0,28.159999522677648,15.060001140614483,22.551731140326268,1.8319330008884613,4.192878370032231e-6,1.313651554158219,9.847104549622161,3.6078538850315915e-6,25.547869189694676,4.066724781792526e-6,46.80062435085512,18.754894695369746,20.897983392137498,0.6253252908255308,16.47735013983451,1.4251790869407491e-5,207.8684940862522
t5,0.0,28.159999481817398,15.060001131145613,22.55173116859834,2.241798575760677,4.065035497400248,0.13070101664079617,9.835536365785629,3.6045587632919424e-6,29.656926941762038,4.114548997053162e-6,48.103510741781804,22.7427534923351,20.897983343791005,0.004902939034294535,16.000201344264187,1.3649481461054397e-5,219.45110340870636
t6,0.0,28.15999932658861,15.060001020394408,22.551731185014418,3.2287816419282485,5.673997738051976,2.7188491985126606,9.608467152936583,3.6199978172138556e-6,33.61568303684828,4.266876973991221e-6,48.13926974306711,27.686034414300465,17.682464515816076,4.665630990671011e-6,10.905601238889746,8.744931301064754e-6,225.03090150978565
t7,0.0,28.15999962287835,15.060001289581793,22.551731472953495,1.235610247364958,25.39999062904598,0.6774814068121492,14.846144932401218,2.9307549405795615e-6,27.099543335008995,29.5569320097807,59.76651154162715,35.43373870988989,11.886865151531072,4.024215118845958e-6,5.363656927604994e-6,8.49172560427058e-6,271.6745711592284
t8,0.0,28.15999946145577,15.060001046643904,22.5517314081627,1.6680756799267746,25.399985829484045,0.7424783808740618,28.5239084766059,3.46532024990121e-6,52.792021347440645,53.69185427612614,59.43210088355146,45.65501520387786,13.83656290414898,3.993409556655821e-6,7.022823207121868e-6,1.281089475405566e-5,347.513762190746
t9,0.0,28.15999911748052,15.060001012586882,22.551731229456408,0.11303647787311842,25.399991070118666,3.8681611651805747,26.876177651224015,4.4121189987922165e-6,50.5945147843075,45.492561120691796,60.31984729040599,43.717566216902256,15.389418050953841,4.220269297223614e-6,0.3695620219879829,4.1922113300704054e-5,337.91261776367116
t10,0.0,28.159998535800344,15.060000191699773,22.551731028453787,2.500848877742155,25.39998986001289,2.4128517892932932,23.86469635230137,17.37188607857073,54.179994660451776,56.32298781032826,53.18267305869345,39.519821780610364,18.311259690555893,4.629928422747072e-6,3.7950302980720054,3.927000644607008e-6,362.6337785695152
