Constraint,CapRes_1,CapRes_2,CapRes_3
t1,2.939408372968403e-10,3.6362060339234944e-10,9.456644514680975e-11
t2,2.6818664449481213e-10,3.420031808624336e-10,8.237807354667904e-11
t3,2.66333915002032e-10,3.407822538437143e-10,7.891885210677451e-11
t4,2.680666162004886e-10,3.38132788039706e-10,7.622951835652205e-11
t5,2.704534235008238e-10,3.2840448613469426e-10,7.693705255454452e-11
t6,2.904160051510729e-10,4.2738848834049573e-10,8.732976283837272e-11
t7,2.159712291116471e-10,4.083966957904258e-10,7.14698344831626e-11
t8,2.3076028758295634e-10,4.473435625772308e-10,5.152611448726204e-11
t9,2.330656064252308e-10,4.324013987551475e-10,3.912199264220507e-11
t10,2.2607538687816699e-10,4.326066311878958e-10,1.2162308537866137e-11
t11,2.273962735813713e-10,4.480024331242033e-10,2.6900459025343078e-11
t12,2.4393123755751535e-10,4.238618858267145e-10,6.186710686141025e-11
t13,2.6201573177774436e-10,4.192351085292748e-10,7.086930574850091e-11
t14,2.678983515143635e-10,4.785608623231687e-10,7.725627041360481e-11
t15,2.577170967907354e-10,4.8530380482573e-10,8.259784153500224e-11
t16,2.7750871530771746e-10,4.9300032164483e-10,8.349347725488987e-11
t17,3.2205612196533446e-10,4.88766390107935e-10,8.266830514128191e-11
t18,3.6487907081008297e-10,5.377922163265217e-10,8.89344888539529e-11
t19,3.406202433209121e-10,5.61727121820146e-10,1.1972728402410871e-10
t20,3.6938598451823166e-10,6.464795925998725e-10,1.4371962156782222e-10
t21,3.6728863562992197e-10,7.434517244195645e-10,1.6207880260909118e-10
t22,3.5527443938553874e-10,4.954230242303867e-10,1.5600781459713334e-10
t23,4.855714823138525e-10,4.694395848301407e-10,1.505785442140437e-10
t24,3.3957602858219943e-10,5.692097282718476e-10,1.310104146545495e-10
t25,3.1716457343932285e-10,5.56115057893146e-10,1.1118962823463133e-10
t26,3.0972131864711295e-10,5.409883034566495e-10,1.0150600589593983e-10
t27,3.140424767454396e-10,4.55910666233987e-10,1.0514674197917285e-10
t28,3.8638408156061405e-10,5.31243628124551e-10,1.007399316844093e-10
t29,3.881597620490033e-10,5.188893677823018e-10,1.0262139966455272e-10
t30,4.2779063816370214e-10,5.533481749730158e-10,1.0608837792773371e-10
t31,3.365978249762729e-10,5.407653981742044e-10,1.0063878681808268e-10
t32,3.471226675033319e-10,5.715737097545596e-10,9.61372165037081e-11
