model,zone,planning_year,case,unit,value,agg_zone
TEMOA,BASN,2027,full-base-50,tons,25178000.0,WECC
TEMOA,BASN,2030,full-base-50,tons,8694190.0,WECC
TEMOA,BASN,2035,full-base-50,tons,12739200.0,WECC
TEMOA,BASN,2040,full-base-50,tons,13445100.0,WECC
TEMOA,BASN,2045,full-base-50,tons,14421600.0,WECC
TEMOA,BASN,2050,full-base-50,tons,12808500.0,WECC
TEMOA,CANO,2027,full-base-50,tons,21624200.0,CA
TEMOA,CANO,2030,full-base-50,tons,13899700.0,CA
TEMOA,CANO,2035,full-base-50,tons,19296300.0,CA
TEMOA,CANO,2040,full-base-50,tons,17782600.0,CA
TEMOA,CANO,2045,full-base-50,tons,20586100.0,CA
TEMOA,CANO,2050,full-base-50,tons,18926100.0,CA
TEMOA,CASO,2027,full-base-50,tons,20372500.0,CA
TEMOA,CASO,2030,full-base-50,tons,13688200.0,CA
TEMOA,CASO,2035,full-base-50,tons,19189300.0,CA
TEMOA,CASO,2040,full-base-50,tons,32405500.0,CA
TEMOA,CASO,2045,full-base-50,tons,40210400.0,CA
TEMOA,CASO,2050,full-base-50,tons,38040800.0,CA
TEMOA,FRCC,2027,full-base-50,tons,75178700.0,SOU
TEMOA,FRCC,2030,full-base-50,tons,50292300.0,SOU
TEMOA,FRCC,2035,full-base-50,tons,54553700.0,SOU
TEMOA,FRCC,2040,full-base-50,tons,56903000.0,SOU
TEMOA,FRCC,2045,full-base-50,tons,61972300.0,SOU
TEMOA,FRCC,2050,full-base-50,tons,62139900.0,SOU
TEMOA,ISNE,2027,full-base-50,tons,28824500.0,NE
TEMOA,ISNE,2030,full-base-50,tons,19963100.0,NE
TEMOA,ISNE,2035,full-base-50,tons,27616800.0,NE
TEMOA,ISNE,2040,full-base-50,tons,28181100.0,NE
TEMOA,ISNE,2045,full-base-50,tons,29974500.0,NE
TEMOA,ISNE,2050,full-base-50,tons,28701400.0,NE
TEMOA,MISC,2027,full-base-50,tons,36785800.0,MISO
TEMOA,MISC,2030,full-base-50,tons,14882300.0,MISO
TEMOA,MISC,2035,full-base-50,tons,21421200.0,MISO
TEMOA,MISC,2040,full-base-50,tons,24545300.0,MISO
TEMOA,MISC,2045,full-base-50,tons,33373000.0,MISO
TEMOA,MISC,2050,full-base-50,tons,38419000.0,MISO
TEMOA,MISE,2027,full-base-50,tons,32877400.0,MISO
TEMOA,MISE,2030,full-base-50,tons,13486200.0,MISO
TEMOA,MISE,2035,full-base-50,tons,17210100.0,MISO
TEMOA,MISE,2040,full-base-50,tons,16836000.0,MISO
TEMOA,MISE,2045,full-base-50,tons,18758000.0,MISO
TEMOA,MISE,2050,full-base-50,tons,19415500.0,MISO
TEMOA,MISS,2027,full-base-50,tons,52206200.0,MISO
TEMOA,MISS,2030,full-base-50,tons,26577600.0,MISO
TEMOA,MISS,2035,full-base-50,tons,28914800.0,MISO
TEMOA,MISS,2040,full-base-50,tons,24580500.0,MISO
TEMOA,MISS,2045,full-base-50,tons,25980700.0,MISO
TEMOA,MISS,2050,full-base-50,tons,29091600.0,MISO
TEMOA,MISW,2027,full-base-50,tons,43590100.0,MISO
TEMOA,MISW,2030,full-base-50,tons,21731500.0,MISO
TEMOA,MISW,2035,full-base-50,tons,29034300.0,MISO
TEMOA,MISW,2040,full-base-50,tons,33893700.0,MISO
TEMOA,MISW,2045,full-base-50,tons,37155800.0,MISO
TEMOA,MISW,2050,full-base-50,tons,37991700.0,MISO
TEMOA,NWPP,2027,full-base-50,tons,17769700.0,WECC
TEMOA,NWPP,2030,full-base-50,tons,4833450.0,WECC
TEMOA,NWPP,2035,full-base-50,tons,9098530.0,WECC
TEMOA,NWPP,2040,full-base-50,tons,16895200.0,WECC
TEMOA,NWPP,2045,full-base-50,tons,21808100.0,WECC
TEMOA,NWPP,2050,full-base-50,tons,23310900.0,WECC
TEMOA,NYCW,2027,full-base-50,tons,9970390.0,NE
TEMOA,NYCW,2030,full-base-50,tons,7910520.0,NE
TEMOA,NYCW,2035,full-base-50,tons,14813000.0,NE
TEMOA,NYCW,2040,full-base-50,tons,14849500.0,NE
TEMOA,NYCW,2045,full-base-50,tons,16505000.0,NE
TEMOA,NYCW,2050,full-base-50,tons,16424500.0,NE
TEMOA,NYUP,2027,full-base-50,tons,15293700.0,NE
TEMOA,NYUP,2030,full-base-50,tons,8626150.0,NE
TEMOA,NYUP,2035,full-base-50,tons,6318310.0,NE
TEMOA,NYUP,2040,full-base-50,tons,4695910.0,NE
TEMOA,NYUP,2045,full-base-50,tons,4711780.0,NE
TEMOA,NYUP,2050,full-base-50,tons,6962020.0,NE
TEMOA,PJMC,2027,full-base-50,tons,13406600.0,PJM
TEMOA,PJMC,2030,full-base-50,tons,9290230.0,PJM
TEMOA,PJMC,2035,full-base-50,tons,9366800.0,PJM
