Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26,planning_year,model,percent_total,case,configuration,scenario,child_scenario
cFix,63165032482.2,2.2409366989899993e9,9.088920117100002e8,8.3852796537e8,1.7483579258200002e9,1.82860674981e9,4.122169711639999e9,1.42773657165e9,2.400428479709999e9,3.5197954097400007e9,2.3979712414999995e9,1.0479658095e8,1.3905287310600002e9,2.4938473424800005e9,1.2167283112000003e9,4.0542457597400007e9,4.42838783663e9,2.16537577352e9,1.32219439992e9,1.70393439665e9,2.2522562636200004e9,4.31749250886e9,4.2757342237199993e9,3.08790786397e9,2.5675572925800004e9,5.266367441030001e9,1.0842549903000004e9,2027,GenX,0.5,full-base-1000,base,base,carbon_price
cVar,59732100207.4,1.2842795463339944e9,1.690131342980698e9,1.7325653923793025e9,6.2770575230495825e9,2.0625894912829762e9,1.6056441691263716e9,1.7278376183731666e9,3.6540113527188177e9,2.107396489871668e9,1.0419342235758067e9,7.26890539653127e8,1.113031794010917e9,1.7603730617151084e9,1.7271350794261103e9,5.65525257331181e9,5.276902697887602e9,3.765588515397978e8,6.185874139336798e8,2.8608393478293085e8,1.19471668316e9,3.383395246923603e9,2.857631886561852e9,4.647392962246513e9,1.7917198884860382e9,4.644493656605938e9,4.884867875701206e8,2027,GenX,0.5,full-base-1000,base,base,carbon_price
cNSE,106483352.3,15640.265541288181,15593.954633758116,15625.136923438527,15676.011634003846,9.558802654274732e7,15600.856133550371,15568.033416303553,15613.753821891829,15633.339213586498,15632.306715998371,1.0520806971511263e7,15582.78739578717,15553.74771423264,15660.450020663851,15740.692280589983,15654.926607681165,15506.034277131674,15499.484263484135,15458.520286839535,15536.347657437,15636.452148395221,15628.965796260178,15647.531853006827,15630.848928227893,15709.698774993827,15488.644235762544,2027,GenX,0.0,full-base-1000,base,base,carbon_price
cStart,630346912.0,4.444392779797478e6,1.8154158323472512e6,3.0553285681346203e6,6.595996733079119e6,7.597907662970279e6,4.879679670450924e7,9.473387957744699e6,9.660447152393263e6,9.917310149085705e7,905783.9764817411,4.274721640628292e6,840259.841676781,1.6695466501442699e7,2.7637312356417994e6,2.5276719322672017e7,3.7466719855639115e7,1.0697444874361023e7,2.7987345687698845e7,1.7244614463415936e7,4.817193509912687e7,1.9301391691995315e7,9.428577432426313e6,8.677856650243301e6,5.670826097054048e6,1.8644573501256254e8,1.788500773207358e7,2027,GenX,0.0,full-base-1000,base,base,carbon_price
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,full-base-1000,base,base,carbon_price
cNetworkExp,365853095.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,full-base-1000,base,base,carbon_price
cUnmetPolicyPenalty,407265.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2027,GenX,0.0,full-base-1000,base,base,carbon_price
cFix,128989276245.6,3.7387008453500004e9,2.3672470368199997e9,2.4134662010400004e9,7.654462510249999e9,5.03843086416e9,6.9065610024e9,3.5184695760800004e9,4.1904528584400015e9,7.74938656741e9,4.814614025200001e9,9.145543301e7,3.7327240630600004e9,2.6270074101999993e9,2.9918085334700003e9,7.039302231559998e9,1.0913147376599998e10,4.039181098319999e9,2.4429789924499993e9,2.24967049533e9,7.09928887065e9,7.14805035005e9,7.27695501343e9,6.89469032669e9,4.447052308979999e9,9.331341395729996e9,2.2728308589400005e9,2030,GenX,0.7,full-base-1000,base,base,carbon_price
cVar,36549519401.6,3.216958802512176e8,1.2828908147689867e9,1.1712040412427497e9,4.536162124220791e9,1.0166134165745455e9,1.375387173813676e9,1.107174176166367e9,1.444444704263346e9,7.18198559321019e8,2.3000892636599168e8,2.68689228351244e8,5.620155597549707e8,1.1845248378599193e9,9.135221216523111e8,3.0461718479664655e9,5.320226067227675e9,6.803001117100209e7,1.6017919744452435e8,8.270099867897142e7,3.2662871469499594e8,2.9429863986986823e9,1.4227993052911556e9,3.4432827267276907e9,6.305098983600734e8,2.7768617373429e9,1.9661093344917238e8,2030,GenX,0.2,full-base-1000,base,base,carbon_price
cNSE,54344042.3,18062.101213405338,17956.343199683815,18055.611953790434,17990.358374685078,5.3893326575490296e7,17981.06967207956,17961.150947064707,17968.100260559768,17952.17185226214,17943.630778137125,18505.810696853878,18079.411253338803,17906.11916137283,18207.797139435035,18873.694440189727,18182.767222684404,17717.01395849546,17779.652749092766,17682.472013409562,17780.99079101801,18023.520741495024,18012.31494356393,18085.928414779864,17850.4895038496,18558.290179676653,17598.869341303736,2030,GenX,0.0,full-base-1000,base,base,carbon_price
