case,tech_type,planning_year,value,min,max
full-base-200,CCS,2050,1483064722.75,1421284856.0,1509011306.0
full-base-200,Coal,2027,227344684.5,224892050.0,230154414.0
full-base-200,Coal,2030,48875.0,4149.0,163172.0
full-base-200,Coal,2035,47860.75,30799.0,62014.0
full-base-200,Coal,2040,170533.0,113924.0,235411.0
full-base-200,Coal,2045,468399.75,318507.0,553254.0
full-base-200,Coal,2050,395833.25,268539.0,471438.0
full-base-200,Distributed Solar,2027,92809119.25,92329578.0,93187288.0
full-base-200,Distributed Solar,2030,136721616.0,134989376.0,139917266.0
full-base-200,Distributed Solar,2035,178293981.25,175235453.0,182567265.0
full-base-200,Distributed Solar,2040,188706074.75,181620341.0,195076234.0
full-base-200,Distributed Solar,2045,195346706.5,188602121.0,201393396.0
full-base-200,Distributed Solar,2050,209595082.75,201726676.0,215514348.0
full-base-200,Geothermal,2027,6229237.75,5897809.0,7212173.0
full-base-200,Geothermal,2030,5354593.25,4843654.0,6230801.0
full-base-200,Geothermal,2035,4987939.25,4497177.0,5791313.0
full-base-200,Geothermal,2040,3079264.75,2871446.0,3476928.0
full-base-200,Geothermal,2045,1709079.75,1562919.0,1895712.0
full-base-200,Geothermal,2050,670345.25,368852.0,873600.0
full-base-200,Hydro,2027,267759021.75,250656841.0,273658659.0
full-base-200,Hydro,2030,297361630.25,286000629.0,302171186.0
full-base-200,Hydro,2035,300762416.75,290543904.0,304829527.0
full-base-200,Hydro,2040,295930781.75,285503066.0,300158112.0
full-base-200,Hydro,2045,281552436.75,272033842.0,285428886.0
full-base-200,Hydro,2050,269161166.5,260538657.0,272608715.0
full-base-200,Hydrogen,2027,6948.5,0.0,13897.0
full-base-200,Hydrogen,2030,114970.5,0.0,229941.0
full-base-200,Hydrogen,2035,32582.666666666668,0.0,96426.0
full-base-200,Hydrogen,2040,57360.0,0.0,156189.0
full-base-200,Hydrogen,2045,57720.0,0.0,160230.0
full-base-200,Hydrogen,2050,54431.666666666664,0.0,151065.0
full-base-200,Natural Gas CC,2027,1658828590.75,1652044283.0,1664196611.0
full-base-200,Natural Gas CC,2030,457348958.25,456133376.0,458872772.0
full-base-200,Natural Gas CC,2035,294235942.75,293418650.0,295026149.0
full-base-200,Natural Gas CC,2040,251079106.75,244580399.0,256765821.0
full-base-200,Natural Gas CC,2045,248373150.5,236342347.0,254197910.0
full-base-200,Natural Gas CC,2050,213012212.5,198153188.0,221022783.0
full-base-200,Natural Gas CT,2027,5954394.75,5846041.0,6145916.0
full-base-200,Natural Gas CT,2030,2740049.75,2425970.0,3054761.0
full-base-200,Natural Gas CT,2035,2354631.75,2050407.0,2692175.0
full-base-200,Natural Gas CT,2040,4350834.5,3720447.0,4634456.0
full-base-200,Natural Gas CT,2045,5821693.0,5093862.0,6333655.0
full-base-200,Natural Gas CT,2050,4135486.5,3786125.0,4489072.0
full-base-200,Nuclear,2027,837241055.75,836941136.0,837830740.0
full-base-200,Nuclear,2030,740230893.25,738691923.0,741631723.0
full-base-200,Nuclear,2035,735322465.25,733609175.0,736838959.0
full-base-200,Nuclear,2040,727305457.25,725987220.0,728641945.0
full-base-200,Nuclear,2045,731916746.75,730487580.0,733121724.0
full-base-200,Nuclear,2050,712534477.5,712233595.0,713324893.0
full-base-200,Solar,2027,255983750.5,254896806.0,256865655.0
full-base-200,Solar,2030,801775271.5,782305800.0,817522414.0
full-base-200,Solar,2035,1118285546.5,1096452907.0,1140752021.0
full-base-200,Solar,2040,1356473996.5,1322295344.0,1388273211.0
full-base-200,Solar,2045,1648672043.75,1600602509.0,1697445499.0
full-base-200,Solar,2050,1920819561.5,1863374027.0,1960457853.0
full-base-200,Wind,2027,890065556.25,882371709.0,906671508.0
full-base-200,Wind,2030,1779690156.0,1723391185.0,1818111127.0
full-base-200,Wind,2035,2029695706.75,1960917434.0,2081322140.0
full-base-200,Wind,2040,2174805429.5,2094182957.0,2232746676.0
full-base-200,Wind,2045,2358336838.0,2269879800.0,2420114670.0
full-base-200,Wind,2050,2404518665.25,2322600601.0,2462260764.0
full-base-50,Battery,2027,7135005.0,6365700.0,7638053.0
full-base-50,Battery,2030,20445105.333333332,18909825.0,21678364.0
full-base-50,Battery,2035,24154448.0,21315266.0,25899066.0
full-base-50,Battery,2040,1921039.0,938240.0,2943393.0
full-base-50,Battery,2045,25268705.666666668,20745436.0,32418337.0
full-base-50,Battery,2050,90372417.33333333,78279540.0,105036238.0
full-base-50,CCS,2027,22303.0,5074.0,39532.0
full-base-50,CCS,2030,60284.0,27608.0,92960.0
full-base-50,CCS,2035,215616.66666666666,92422.0,406561.0
full-base-50,CCS,2040,1283887.0,469476.0,2908823.0
full-base-50,CCS,2045,3940703.6666666665,1186367.0,7894072.0
full-base-50,CCS,2050,13714844.666666666,10263902.0,20274664.0
full-base-50,Coal,2027,227839700.66666666,224785844.0,230174523.0
full-base-50,Coal,2030,39500644.0,37370208.0,41752356.0
full-base-50,Coal,2035,66753149.666666664,65391638.0,67466575.0
full-base-50,Coal,2040,35311185.0,33321440.0,36749588.0
full-base-50,Coal,2045,16426062.333333334,15574810.0,17305848.0
full-base-50,Coal,2050,5451724.666666667,4525210.0,6145635.0
full-base-50,Distributed Solar,2027,92832605.33333333,92356791.0,93203813.0
full-base-50,Distributed Solar,2030,137886040.66666666,137380727.0,138588411.0
full-base-50,Distributed Solar,2035,178668119.66666666,177724557.0,180050623.0
full-base-50,Distributed Solar,2040,189617236.66666666,186704233.0,192244121.0
full-base-50,Distributed Solar,2045,195997437.33333334,192765114.0,198811484.0
full-base-50,Distributed Solar,2050,210298119.66666666,206634695.0,213105526.0
full-base-50,Geothermal,2027,6336941.333333333,5896945.0,7212531.0
full-base-50,Geothermal,2030,5606253.333333333,5179625.0,6426373.0
full-base-50,Geothermal,2035,5170252.333333333,4721997.0,5986726.0
full-base-50,Geothermal,2040,3157303.3333333335,3093918.0,3227677.0
full-base-50,Geothermal,2045,1722746.6666666667,1646953.0,1848398.0
full-base-50,Geothermal,2050,616276.6666666666,370595.0,743944.0
full-base-50,Hydro,2027,265951435.0,250654046.0,273644712.0
full-base-50,Hydro,2030,281824591.3333333,269576007.0,288071960.0
full-base-50,Hydro,2035,287754846.3333333,277095832.0,293370910.0
full-base-50,Hydro,2040,281648672.0,271357530.0,286923240.0
full-base-50,Hydro,2045,266148148.66666666,256567164.0,271136573.0
full-base-50,Hydro,2050,253047796.33333334,245124136.0,257233400.0
full-base-50,Hydrogen,2027,8257.5,2720.0,13795.0
