case,tech_type,planning_year,agg_zone,value,min,max
full-base-1000,Battery,2027,CA,3807606.0,3396900.0,4149853.0
full-base-1000,Battery,2027,MISO,80222.25,48388.0,119652.0
full-base-1000,Battery,2027,NE,174190.0,113253.0,217996.0
full-base-1000,Battery,2027,PJM,129857.25,108656.0,166055.0
full-base-1000,Battery,2027,SOU,148848.0,127228.0,167711.0
full-base-1000,Battery,2027,SPP,133449.25,110229.0,162584.0
full-base-1000,Battery,2027,TRE,1904870.0,1778292.0,2052011.0
full-base-1000,Battery,2027,WECC,589584.25,489458.0,673684.0
full-base-1000,Battery,2030,CA,14119056.25,13253289.0,15283004.0
full-base-1000,Battery,2030,MISO,277018.0,166343.0,524080.0
full-base-1000,Battery,2030,NE,556017.0,460486.0,748607.0
full-base-1000,Battery,2030,PJM,225783.25,126691.0,433545.0
full-base-1000,Battery,2030,SOU,776059.5,680198.0,971303.0
full-base-1000,Battery,2030,SPP,289104.75,169424.0,515063.0
full-base-1000,Battery,2030,TRE,3613006.5,2993167.0,4870420.0
full-base-1000,Battery,2030,WECC,2781763.75,2145889.0,3802349.0
full-base-1000,Battery,2035,CA,15096744.5,14333098.0,15929561.0
full-base-1000,Battery,2035,MISO,249632.25,138298.0,407842.0
full-base-1000,Battery,2035,NE,4033589.75,3474687.0,4629610.0
full-base-1000,Battery,2035,PJM,190775.5,74658.0,429836.0
full-base-1000,Battery,2035,SOU,799968.75,693770.0,963207.0
full-base-1000,Battery,2035,SPP,266161.0,171667.0,373513.0
full-base-1000,Battery,2035,TRE,3712528.0,3256087.0,4581844.0
full-base-1000,Battery,2035,WECC,3060063.5,2540381.0,3963027.0
full-base-1000,Battery,2040,CA,7737503.5,3498328.0,11285728.0
full-base-1000,Battery,2040,MISO,701828.0,1234.0,1540199.0
full-base-1000,Battery,2040,NE,13733874.75,11634059.0,16050033.0
full-base-1000,Battery,2040,PJM,4012378.5,1616251.0,5988454.0
full-base-1000,Battery,2040,SOU,3546099.75,2225345.0,5362957.0
full-base-1000,Battery,2040,SPP,352778.3333333333,80369.0,515781.0
full-base-1000,Battery,2040,TRE,216328.33333333334,51085.0,348117.0
full-base-1000,Battery,2040,WECC,7320221.75,3340724.0,11675439.0
full-base-1000,Battery,2045,CA,30101349.5,25816265.0,32557398.0
full-base-1000,Battery,2045,MISO,18883330.75,14959947.0,23143989.0
full-base-1000,Battery,2045,NE,15563380.25,14230074.0,17811585.0
full-base-1000,Battery,2045,PJM,30559231.25,27901232.0,32768727.0
full-base-1000,Battery,2045,SOU,30128032.0,25730819.0,36134196.0
full-base-1000,Battery,2045,SPP,7593671.25,6389125.0,8555480.0
full-base-1000,Battery,2045,TRE,7677109.0,6472907.0,9678386.0
full-base-1000,Battery,2045,WECC,23616065.75,17176790.0,33469291.0
full-base-1000,Battery,2050,CA,48213932.0,43571998.0,51635871.0
full-base-1000,Battery,2050,MISO,40097831.5,34907548.0,45081837.0
full-base-1000,Battery,2050,NE,20773625.0,17824790.0,22580580.0
full-base-1000,Battery,2050,PJM,57143409.25,53993954.0,61760984.0
full-base-1000,Battery,2050,SOU,62226642.0,56647572.0,68729021.0
full-base-1000,Battery,2050,SPP,11141755.5,8578689.0,12751655.0
full-base-1000,Battery,2050,TRE,14081152.0,11793987.0,16777946.0
full-base-1000,Battery,2050,WECC,42400726.75,33826693.0,54142665.0
full-base-1000,CCS,2027,CA,2080.5,807.0,3354.0
full-base-1000,CCS,2027,MISO,6099.5,2393.0,9806.0
full-base-1000,CCS,2027,PJM,2286.0,926.0,3646.0
full-base-1000,CCS,2027,SOU,3365.0,1359.0,5371.0
full-base-1000,CCS,2027,SPP,3117.0,1215.0,5019.0
full-base-1000,CCS,2027,TRE,2125.5,812.0,3439.0
full-base-1000,CCS,2027,WECC,2738.0,1074.0,4402.0
full-base-1000,CCS,2030,CA,32880307.0,28693430.0,35267091.0
full-base-1000,CCS,2030,MISO,70936914.25,66966370.0,75441244.0
full-base-1000,CCS,2030,PJM,117772269.25,115637000.0,120347256.0
full-base-1000,CCS,2030,SOU,180564476.0,175825300.0,184015912.0
full-base-1000,CCS,2030,SPP,58743.0,34224.0,83262.0
full-base-1000,CCS,2030,TRE,40411099.75,39713532.0,41290986.0
full-base-1000,CCS,2030,WECC,38904.0,24888.0,52920.0
full-base-1000,CCS,2035,CA,92062000.75,87072600.0,94607680.0
full-base-1000,CCS,2035,MISO,199863114.0,188098500.0,208842529.0
full-base-1000,CCS,2035,PJM,265841361.0,259789541.0,269870791.0
full-base-1000,CCS,2035,SOU,268345671.75,260896800.0,272361325.0
full-base-1000,CCS,2035,SPP,131965.0,65135.0,264526.0
full-base-1000,CCS,2035,TRE,82510549.5,81065636.0,84280002.0
full-base-1000,CCS,2035,WECC,1748714.5,45432.0,5064692.0
full-base-1000,CCS,2040,CA,120847617.0,109209200.0,128402893.0
full-base-1000,CCS,2040,MISO,260736234.75,247253400.0,267358584.0
full-base-1000,CCS,2040,PJM,354317798.75,345964935.0,360387846.0
full-base-1000,CCS,2040,SOU,302951465.0,293683900.0,306435841.0
full-base-1000,CCS,2040,SPP,422013.0,164803.0,594416.0
full-base-1000,CCS,2040,TRE,102405367.5,99797362.0,104130150.0
full-base-1000,CCS,2040,WECC,22501850.75,19899517.0,24538210.0
full-base-1000,CCS,2045,CA,129648256.0,119838300.0,135819282.0
full-base-1000,CCS,2045,MISO,310392393.75,299061400.0,317292683.0
full-base-1000,CCS,2045,PJM,395038899.75,390350250.0,401498199.0
full-base-1000,CCS,2045,SOU,319986940.5,312121500.0,325055269.0
full-base-1000,CCS,2045,SPP,3039270.0,1392350.0,4978133.0
full-base-1000,CCS,2045,TRE,111100806.5,108753385.0,112548543.0
full-base-1000,CCS,2045,WECC,29675661.5,27897957.0,31817975.0
full-base-1000,CCS,2050,CA,120380718.5,109335400.0,127342747.0
full-base-1000,CCS,2050,MISO,270985797.75,258524100.0,278645335.0
full-base-1000,CCS,2050,PJM,349000940.75,341540820.0,353528863.0
full-base-1000,CCS,2050,SOU,290298372.75,276650000.0,298027583.0
full-base-1000,CCS,2050,SPP,2622704.75,1246363.0,4270085.0
full-base-1000,CCS,2050,TRE,96496116.25,93802336.0,98340049.0
full-base-1000,CCS,2050,WECC,27784705.5,25379845.0,30190176.0
full-base-1000,Coal,2027,CA,0.0,0.0,0.0
full-base-1000,Coal,2027,MISO,75279279.75,74608013.0,76214621.0
