Zone,value,zone,planning_year,model,agg_zone,case,scenario,configuration,child_scenario
1,20461680.991344985,BASN,2027,GenX,WECC,full-base-1000,base,base,carbon_price
2,20374120.18734286,CANO,2027,GenX,CA,full-base-1000,base,base,carbon_price
3,21175073.986951277,CASO,2027,GenX,CA,full-base-1000,base,base,carbon_price
4,76059034.45617227,FRCC,2027,GenX,SOU,full-base-1000,base,base,carbon_price
5,28550996.948608156,ISNE,2027,GenX,NE,full-base-1000,base,base,carbon_price
6,41672365.40450604,MISC,2027,GenX,MISO,full-base-1000,base,base,carbon_price
7,31526830.801620636,MISE,2027,GenX,MISO,full-base-1000,base,base,carbon_price
8,51517123.3254814,MISS,2027,GenX,MISO,full-base-1000,base,base,carbon_price
9,44449383.90827319,MISW,2027,GenX,MISO,full-base-1000,base,base,carbon_price
10,12476846.045731893,NWPP,2027,GenX,WECC,full-base-1000,base,base,carbon_price
11,11343541.14101507,NYCW,2027,GenX,NE,full-base-1000,base,base,carbon_price
12,12952649.08527455,NYUP,2027,GenX,NE,full-base-1000,base,base,carbon_price
13,13267538.52479903,PJMC,2027,GenX,PJM,full-base-1000,base,base,carbon_price
14,17731961.60949596,PJMD,2027,GenX,PJM,full-base-1000,base,base,carbon_price
15,76279439.99425296,PJME,2027,GenX,PJM,full-base-1000,base,base,carbon_price
16,100538746.35272004,PJMW,2027,GenX,PJM,full-base-1000,base,base,carbon_price
17,10099498.869770937,RMRG,2027,GenX,WECC,full-base-1000,base,base,carbon_price
18,19083041.035515334,SPPC,2027,GenX,SPP,full-base-1000,base,base,carbon_price
19,8432901.375062652,SPPN,2027,GenX,SPP,full-base-1000,base,base,carbon_price
20,19999181.66588875,SPPS,2027,GenX,SPP,full-base-1000,base,base,carbon_price
21,39393258.67622549,SRCA,2027,GenX,SOU,full-base-1000,base,base,carbon_price
22,37150961.831916206,SRCE,2027,GenX,MISO,full-base-1000,base,base,carbon_price
23,55689204.65324144,SRSE,2027,GenX,SOU,full-base-1000,base,base,carbon_price
24,22317110.518792916,SRSG,2027,GenX,WECC,full-base-1000,base,base,carbon_price
25,73088447.83725847,TRE,2027,GenX,TRE,full-base-1000,base,base,carbon_price
26,7355504.662939031,TREW,2027,GenX,TRE,full-base-1000,base,base,carbon_price
1,3807993.9957591654,BASN,2030,GenX,WECC,full-base-1000,base,base,carbon_price
2,6007582.545682933,CANO,2030,GenX,CA,full-base-1000,base,base,carbon_price
3,8096902.690442558,CASO,2030,GenX,CA,full-base-1000,base,base,carbon_price
4,12102935.163500246,FRCC,2030,GenX,SOU,full-base-1000,base,base,carbon_price
5,10214826.665729892,ISNE,2030,GenX,NE,full-base-1000,base,base,carbon_price
6,3566060.518676972,MISC,2030,GenX,MISO,full-base-1000,base,base,carbon_price
7,3201475.891695422,MISE,2030,GenX,MISO,full-base-1000,base,base,carbon_price
8,11616628.702791044,MISS,2030,GenX,MISO,full-base-1000,base,base,carbon_price
9,6600486.627785661,MISW,2030,GenX,MISO,full-base-1000,base,base,carbon_price
10,1461132.1868479708,NWPP,2030,GenX,WECC,full-base-1000,base,base,carbon_price
11,4068642.3761087554,NYCW,2030,GenX,NE,full-base-1000,base,base,carbon_price
12,4267501.326521941,NYUP,2030,GenX,NE,full-base-1000,base,base,carbon_price
13,5012375.656692759,PJMC,2030,GenX,PJM,full-base-1000,base,base,carbon_price
14,7387641.304916364,PJMD,2030,GenX,PJM,full-base-1000,base,base,carbon_price
15,30359486.417102743,PJME,2030,GenX,PJM,full-base-1000,base,base,carbon_price
16,16086910.936568605,PJMW,2030,GenX,PJM,full-base-1000,base,base,carbon_price
17,791749.8335934735,RMRG,2030,GenX,WECC,full-base-1000,base,base,carbon_price
18,955372.8538466962,SPPC,2030,GenX,SPP,full-base-1000,base,base,carbon_price
19,371551.75915615103,SPPN,2030,GenX,SPP,full-base-1000,base,base,carbon_price
20,4486407.27083841,SPPS,2030,GenX,SPP,full-base-1000,base,base,carbon_price
