line_name,planning_year,case,start_region,dest_region,value
BASN_to_CANO,2027,full-base-1000,BASN,CANO,0.5
MISS_to_SRSE,2040,full-base-1000,MISS,SRSE,1161.0
MISS_to_SRSE,2035,full-base-1000,MISS,SRSE,104.5
MISS_to_SRSE,2030,full-base-1000,MISS,SRSE,7693.25
SPPS_to_SRSG,2030,full-base-1000,SPPS,SRSG,6585.75
MISS_to_SRSE,2027,full-base-1000,MISS,SRSE,0.0
MISS_to_SRCE,2050,full-base-1000,MISS,SRCE,0.0
MISS_to_SRCE,2045,full-base-1000,MISS,SRCE,0.0
SPPS_to_SRSG,2035,full-base-1000,SPPS,SRSG,1675.75
MISS_to_SRCE,2040,full-base-1000,MISS,SRCE,0.0
MISS_to_SRCE,2035,full-base-1000,MISS,SRCE,2.25
MISS_to_SRCE,2030,full-base-1000,MISS,SRCE,0.5
SPPS_to_SRSG,2040,full-base-1000,SPPS,SRSG,3762.75
SPPS_to_SRSG,2027,full-base-1000,SPPS,SRSG,0.0
MISS_to_SRCE,2027,full-base-1000,MISS,SRCE,-0.3333333333333333
MISS_to_SPPS,2045,full-base-1000,MISS,SPPS,4536.25
SPPS_to_SRSG,2045,full-base-1000,SPPS,SRSG,2553.75
MISS_to_SPPS,2040,full-base-1000,MISS,SPPS,1807.75
MISS_to_SPPS,2035,full-base-1000,MISS,SPPS,3304.0
MISS_to_SPPS,2030,full-base-1000,MISS,SPPS,17677.5
SPPS_to_SRSG,2050,full-base-1000,SPPS,SRSG,949.0
MISS_to_SPPS,2027,full-base-1000,MISS,SPPS,23.0
MISS_to_SPPC,2050,full-base-1000,MISS,SPPC,140.5
MISS_to_SPPC,2045,full-base-1000,MISS,SPPC,41.25
SPPS_to_TRE,2027,full-base-1000,SPPS,TRE,4.0
MISS_to_SPPC,2040,full-base-1000,MISS,SPPC,23.333333333333332
MISS_to_SPPC,2030,full-base-1000,MISS,SPPC,2867.5
MISS_to_SPPS,2050,full-base-1000,MISS,SPPS,4697.25
SPPS_to_TRE,2030,full-base-1000,SPPS,TRE,7360.25
MISS_to_SRSE,2045,full-base-1000,MISS,SRSE,2589.75
MISW_to_MISC,2027,full-base-1000,MISW,MISC,0.0
MISW_to_SPPC,2030,full-base-1000,MISW,SPPC,11.0
SPPC_to_SPPS,2050,full-base-1000,SPPC,SPPS,178.25
MISW_to_SPPC,2027,full-base-1000,MISW,SPPC,1.5
MISW_to_PJMC,2050,full-base-1000,MISW,PJMC,649.5
MISW_to_PJMC,2045,full-base-1000,MISW,PJMC,408.6666666666667
SPPN_to_SPPS,2027,full-base-1000,SPPN,SPPS,11.0
MISW_to_PJMC,2040,full-base-1000,MISW,PJMC,1985.0
MISW_to_PJMC,2035,full-base-1000,MISW,PJMC,231.75
MISW_to_PJMC,2030,full-base-1000,MISW,PJMC,6858.0
SPPN_to_SPPS,2030,full-base-1000,SPPN,SPPS,5210.25
MISW_to_PJMC,2027,full-base-1000,MISW,PJMC,-0.3333333333333333
MISW_to_NWPP,2050,full-base-1000,MISW,NWPP,3.3333333333333335
MISS_to_SRSE,2050,full-base-1000,MISS,SRSE,3213.25
MISW_to_NWPP,2045,full-base-1000,MISW,NWPP,7.0
MISW_to_NWPP,2040,full-base-1000,MISW,NWPP,5.0
MISW_to_NWPP,2035,full-base-1000,MISW,NWPP,4.0
MISW_to_NWPP,2030,full-base-1000,MISW,NWPP,0.0
SPPN_to_SPPS,2040,full-base-1000,SPPN,SPPS,100.33333333333333
MISW_to_NWPP,2027,full-base-1000,MISW,NWPP,0.0
MISW_to_MISC,2050,full-base-1000,MISW,MISC,0.0
MISW_to_MISC,2045,full-base-1000,MISW,MISC,0.0
SPPN_to_SPPS,2045,full-base-1000,SPPN,SPPS,454.0
MISW_to_MISC,2040,full-base-1000,MISW,MISC,0.0
MISW_to_MISC,2035,full-base-1000,MISW,MISC,-0.3333333333333333
MISW_to_MISC,2030,full-base-1000,MISW,MISC,0.5
SPPN_to_SPPS,2050,full-base-1000,SPPN,SPPS,626.75
SPPN_to_SPPS,2035,full-base-1000,SPPN,SPPS,541.25
MISS_to_SPPC,2027,full-base-1000,MISS,SPPC,3.5
MISS_to_MISC,2050,full-base-1000,MISS,MISC,0.0
MISS_to_MISC,2045,full-base-1000,MISS,MISC,0.0
MISC_to_SPPN,2040,full-base-1000,MISC,SPPN,731.25
MISC_to_SPPN,2035,full-base-1000,MISC,SPPN,368.75
MISC_to_SPPN,2030,full-base-1000,MISC,SPPN,1758.25
SPPS_to_TREW,2040,full-base-1000,SPPS,TREW,267.5
MISC_to_SPPN,2027,full-base-1000,MISC,SPPN,4.0
MISC_to_SPPC,2050,full-base-1000,MISC,SPPC,1108.0
MISC_to_SPPC,2045,full-base-1000,MISC,SPPC,2625.25
SPPS_to_TREW,2045,full-base-1000,SPPS,TREW,2035.6666666666667
MISC_to_SPPC,2040,full-base-1000,MISC,SPPC,1428.75
MISC_to_SPPC,2035,full-base-1000,MISC,SPPC,1385.0
MISC_to_SPPC,2030,full-base-1000,MISC,SPPC,4878.5
SPPS_to_TREW,2050,full-base-1000,SPPS,TREW,0.5
SPPS_to_TREW,2035,full-base-1000,SPPS,TREW,1092.3333333333333
MISC_to_SPPC,2027,full-base-1000,MISC,SPPC,0.0
MISC_to_PJMW,2045,full-base-1000,MISC,PJMW,4171.5
SRCA_to_SRCE,2027,full-base-1000,SRCA,SRCE,0.0
MISC_to_PJMW,2040,full-base-1000,MISC,PJMW,3236.0
MISC_to_PJMW,2035,full-base-1000,MISC,PJMW,500.0
MISC_to_PJMW,2030,full-base-1000,MISC,PJMW,12.666666666666666
SRCA_to_SRCE,2030,full-base-1000,SRCA,SRCE,0.0
MISC_to_PJMW,2027,full-base-1000,MISC,PJMW,-0.3333333333333333
MISC_to_PJMC,2050,full-base-1000,MISC,PJMC,10.666666666666666
MISC_to_PJMC,2045,full-base-1000,MISC,PJMC,4.666666666666667
SRCA_to_SRCE,2035,full-base-1000,SRCA,SRCE,19.0
MISC_to_PJMC,2040,full-base-1000,MISC,PJMC,3.6666666666666665
MISC_to_PJMC,2035,full-base-1000,MISC,PJMC,4.25
MISC_to_PJMW,2050,full-base-1000,MISC,PJMW,4763.5
MISC_to_SPPN,2045,full-base-1000,MISC,SPPN,1310.75
MISC_to_SPPN,2050,full-base-1000,MISC,SPPN,2246.5
MISC_to_SPPS,2027,full-base-1000,MISC,SPPS,0.0
MISS_to_MISC,2040,full-base-1000,MISS,MISC,0.0
MISS_to_MISC,2035,full-base-1000,MISS,MISC,0.0
MISS_to_MISC,2030,full-base-1000,MISS,MISC,0.5
MISS_to_MISC,2027,full-base-1000,MISS,MISC,0.0
MISE_to_MISW,2050,full-base-1000,MISE,MISW,23.0
MISE_to_MISW,2045,full-base-1000,MISE,MISW,17.333333333333332
SPPS_to_TRE,2035,full-base-1000,SPPS,TRE,63.5
MISE_to_MISW,2040,full-base-1000,MISE,MISW,17.0
MISE_to_MISW,2035,full-base-1000,MISE,MISW,18.666666666666668
MISE_to_MISW,2030,full-base-1000,MISE,MISW,1023.25
SPPS_to_TRE,2040,full-base-1000,SPPS,TRE,68.66666666666667
MISE_to_MISW,2027,full-base-1000,MISE,MISW,1.5
MISC_to_SRCE,2050,full-base-1000,MISC,SRCE,0.0
MISC_to_SRCE,2045,full-base-1000,MISC,SRCE,0.0
SPPS_to_TRE,2045,full-base-1000,SPPS,TRE,1189.5
MISC_to_SRCE,2040,full-base-1000,MISC,SRCE,0.0
MISC_to_SRCE,2035,full-base-1000,MISC,SRCE,-0.3333333333333333
MISC_to_SRCE,2030,full-base-1000,MISC,SRCE,0.5
SPPS_to_TRE,2050,full-base-1000,SPPS,TRE,2194.25
MISC_to_SRCE,2027,full-base-1000,MISC,SRCE,-0.3333333333333333
MISC_to_SPPS,2050,full-base-1000,MISC,SPPS,1353.5
MISC_to_SPPS,2045,full-base-1000,MISC,SPPS,1311.0
SPPS_to_TREW,2027,full-base-1000,SPPS,TREW,1505.6666666666667
MISC_to_SPPS,2040,full-base-1000,MISC,SPPS,1239.0
MISC_to_SPPS,2035,full-base-1000,MISC,SPPS,320.5
MISC_to_SPPS,2030,full-base-1000,MISC,SPPS,3272.5
SPPS_to_TREW,2030,full-base-1000,SPPS,TREW,4421.0
MISW_to_SPPC,2035,full-base-1000,MISW,SPPC,7.333333333333333
MISW_to_SPPC,2040,full-base-1000,MISW,SPPC,11.333333333333334
SPPC_to_SPPS,2045,full-base-1000,SPPC,SPPS,508.0
