zone,value,planning_year,model,agg_zone,case
21.0,10035.000092526392,2050,SWITCH,,full-base-50
22.0,17113.404349107557,2050,SWITCH,,full-base-50
23.0,9133.304833609,2050,SWITCH,,full-base-50
24.0,8164.1763372574915,2050,SWITCH,,full-base-50
25.0,33506.36965183891,2050,SWITCH,,full-base-50
26.0,7.890170259325288,2050,SWITCH,,full-base-50
1.0,3.841157958174316,2035,SWITCH,,full-base-50
2.0,3.870780191777949,2035,SWITCH,,full-base-50
3.0,4.205327882507234,2035,SWITCH,,full-base-50
4.0,4.230420202934434,2035,SWITCH,,full-base-50
5.0,89447.72796253607,2035,SWITCH,,full-base-50
6.0,4.08486554476688,2035,SWITCH,,full-base-50
7.0,3.776942678198918,2035,SWITCH,,full-base-50
8.0,3.890862034889228,2035,SWITCH,,full-base-50
9.0,127.7738535827606,2035,SWITCH,,full-base-50
10.0,5898.620246694127,2035,SWITCH,,full-base-50
11.0,17738.344637885628,2035,SWITCH,,full-base-50
12.0,3.6017072213797605,2035,SWITCH,,full-base-50
13.0,4.010108413740556,2035,SWITCH,,full-base-50
14.0,3.8474275425088575,2035,SWITCH,,full-base-50
15.0,4.700123545348283,2035,SWITCH,,full-base-50
16.0,4.569633263511327,2035,SWITCH,,full-base-50
17.0,3.650192418361132,2035,SWITCH,,full-base-50
18.0,3.675698266407844,2035,SWITCH,,full-base-50
19.0,3.373597598890967,2035,SWITCH,,full-base-50
20.0,3.9884005211180833,2035,SWITCH,,full-base-50
21.0,4.180136962618128,2035,SWITCH,,full-base-50
22.0,4.244095587865261,2035,SWITCH,,full-base-50
23.0,4.450452291017033,2035,SWITCH,,full-base-50
24.0,4.073701237119877,2035,SWITCH,,full-base-50
25.0,4.96481029721606,2035,SWITCH,,full-base-50
26.0,3.270286889911544,2035,SWITCH,,full-base-50
1.0,4.014576147616957,2030,SWITCH,,full-base-50
2.0,4.096643178860459,2030,SWITCH,,full-base-50
3.0,4.533630749698077,2030,SWITCH,,full-base-50
4.0,4.2803887726056775,2030,SWITCH,,full-base-50
5.0,29890.298674934165,2030,SWITCH,,full-base-50
6.0,4.400026256487081,2030,SWITCH,,full-base-50
7.0,4.036433981165461,2030,SWITCH,,full-base-50
8.0,3.780606578254881,2030,SWITCH,,full-base-50
9.0,3.9569762851194974,2030,SWITCH,,full-base-50
10.0,4.565305259690821,2030,SWITCH,,full-base-50
