model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_2_anyQual_0,Wind,2040,20-week-foresight,MW,806,806
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_2_anyQual_0,Wind,2045,20-week-foresight,MW,806,806
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_2_anyQual_0,Wind,2050,20-week-foresight,MW,806,806
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2035,20-week-foresight,MW,5860,5860
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2040,20-week-foresight,MW,5860,5860
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2045,20-week-foresight,MW,5860,5860
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2050,20-week-foresight,MW,5860,5860
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2035,20-week-foresight,MW,6130,6130
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2040,20-week-foresight,MW,6130,6130
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2045,20-week-foresight,MW,6130,6130
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_2_anyQual_0,Wind,2050,20-week-foresight,MW,6130,6130
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2_anyQual_1,Wind,2030,20-week-foresight,MW,1663,1663
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2_anyQual_1,Wind,2035,20-week-foresight,MW,1663,1663
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2_anyQual_1,Wind,2040,20-week-foresight,MW,1663,1663
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2_anyQual_1,Wind,2045,20-week-foresight,MW,1663,1663
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2_anyQual_1,Wind,2050,20-week-foresight,MW,1663,1663
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_2_anyQual_1,Wind,2040,20-week-foresight,MW,3056,3056
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_2_anyQual_1,Wind,2045,20-week-foresight,MW,3056,3056
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_2_anyQual_1,Wind,2050,20-week-foresight,MW,3056,3056
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_2_anyQual_1,Wind,2040,20-week-foresight,MW,6800,6800
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_2_anyQual_1,Wind,2045,20-week-foresight,MW,6800,6800
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_2_anyQual_1,Wind,2050,20-week-foresight,MW,6800,6800
USENSYS,TRE,TRE_landbasedwind_class3_moderate_2_anyQual_1,Wind,2035,20-week-foresight,MW,512,512
