Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,799.9999851823699,1.3363999752471488e7
3,1.244311749628612e-5,0.2961213101766171
4,2.9827028329211453e-6,0.07372048321847903
5,1900.0351813111029,9.779481078208247e6
6,499.9999951008488,1.2059999881832473e7
7,1299.9999807525935,1.1657099827408507e7
8,337.4650177526249,4.320227157269103e6
9,5.529793228351216e-7,0.005322978961610881
10,2149.996800435797,2.5610761886791218e7
11,754.9999614060794,2.6722468634006772e7
12,2173.701850750019,2.31716617289952e7
13,1864.8314940703208,1.1606711219093677e7
14,1289.9990768414298,9.921382899987437e6
15,174.9999625218321,803599.8279002529
16,659.99989206074,9.225478491225023e6
17,299.9999931881033,9.311699788565539e6
