Constraint,CapRes_1,CapRes_2,CapRes_3
t1,1.7182338059859889e-10,2.2591024603234403e-10,4.3091384531063564e-11
t2,1.6987053303422542e-10,2.2021551196608452e-10,3.171881644626432e-11
t3,1.6880105381500576e-10,2.2267989641015497e-10,3.054792131829324e-11
t4,1.696023615810822e-10,2.107987212441056e-10,3.0196355438195924e-11
t5,1.720903203738676e-10,2.0035463011792913e-10,3.0920980514182356e-11
t6,1.8881454020640959e-10,4.009239015798993e-10,2.6272853429762662e-11
t7,1.3709580057090714e-10,1.68876121790638e-10,4.793455764774561e-11
t8,1.4783968595782014e-10,1.3428183731745953e-10,1.4505360507983416e-10
t9,1.5450290903170392e-10,1.2723883003900314e-10,4.42277725324995e-11
t10,1.4644524101726363e-10,1.355781117041242e-10,8.354825093192688e-11
t11,1.5034786808031297e-10,1.462025066241283e-10,9.229668392906304e-11
t12,1.5839237352481707e-10,1.6286834759860066e-10,2.731511535318e-11
t13,1.5864442083911331e-10,1.697827728879321e-10,3.0183834439883085e-11
t14,1.684955729670399e-10,1.8105514462296547e-10,3.4721913961858906e-11
t15,1.6227715469756938e-10,1.8121519223614873e-10,3.656805666260322e-11
t16,1.7232193796988928e-10,1.9835427764816927e-10,3.276859328930448e-11
t17,2.0700747742423018e-10,2.1587990957186193e-10,3.405911111259462e-11
t18,2.307205387973849e-10,2.5955603421170675e-10,3.840752219089695e-11
t19,2.0319472883542203e-10,3.266544760376765e-10,4.894670804163834e-11
t20,2.2698805581913411e-10,5.255765320078631e-10,6.151463670537694e-11
t21,2.7716406559825565e-10,3.7072442725454337e-10,8.853971633053204e-11
t22,2.303275986613988e-10,2.968231224689364e-10,6.407387200826687e-11
t23,2.9704446281933904e-10,2.8091623753832187e-10,6.249416475336267e-11
t24,2.1874880461405474e-10,2.9466676406845095e-10,5.328602022077906e-11
t25,2.0395625149051697e-10,3.076251379003527e-10,4.764738681009618e-11
t26,1.9553670410811386e-10,3.049996376155933e-10,5.077862498951679e-11
t27,2.0432266297639624e-10,2.6204864577452483e-10,4.521818865725945e-11
t28,2.568121915744118e-10,4.3746261548772463e-10,5.312048646429084e-11
t29,2.617935749772535e-10,2.56604657515192e-10,5.392555259446573e-11
t30,2.8866562400473453e-10,2.954884392419577e-10,6.013589400884002e-11
t31,2.62252132259052e-10,2.691168680410875e-10,5.412553422872315e-11
t32,2.7240623731848657e-10,2.966544500181055e-10,4.842918142616294e-11
t33,2.785162487203414e-10,5.114420281292321e-10,4.7585168771553857e-11
t34,3.597606190400752e-10,5.20007340572758e-10,1.0085649634823015e-11
t35,3.7354084679495156e-10,5.565173689465274e-10,4.4790408865120684e-11
t36,3.3590254849430524e-10,5.539487535426143e-10,3.441962864417326e-11
t37,2.9891506309979405e-10,2.876606595797311e-10,4.97259778765731e-11
t38,3.013785455492981e-10,5.625627762819904e-10,6.678499443023318e-11
t39,2.884496975248264e-10,3.0445384809551477e-10,5.2235866655151463e-11
t40,3.154841307303277e-10,3.3054004129036877e-10,4.91305735452927e-11
t41,3.411963348319548e-10,3.4915030750753236e-10,4.9907193965828265e-11
t42,3.796788101244621e-10,6.751089126818897e-10,4.948124079814162e-11
t43,4.312281720517357e-10,7.872307791475543e-10,6.172953160737986e-11
t44,5.740452784776216e-10,8.950671245428258e-10,8.062573704348117e-11
t45,6.753997548258485e-10,5.977359339364519e-10,8.519047600584603e-11
