Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,168.0,32,10509,8767,13556,23617,12919,23343,10568,20136,24534,22344,7251,6563,13169,12522,32116,37038,9911,9173,5305,13428,26540,28202,28396,12821,48515,2335
,,,,,,,168.0,33,10999,9208,14239,25674,13262,23907,10951,20837,25844,23939,7577,6889,13667,12937,32854,37899,10259,9389,5584,13944,26640,28636,29220,13668,49847,2382
,,,,,,,168.0,34,11472,9976,15441,26523,13869,24159,11326,21179,26614,26685,7829,7184,13911,13352,33617,38916,10112,9432,5669,14108,26317,28990,29670,13981,49877,2368
,,,,,,,168.0,35,11577,10035,15527,26944,14624,24559,11751,21212,27327,27451,8290,7570,14346,13483,34646,40048,10310,9526,5687,14238,25800,29159,29583,14105,49548,2333
,,,,,,,168.0,36,11630,10344,15997,27190,15130,24850,11907,21007,27611,27630,8617,7873,14652,13490,34927,40530,10336,9669,5741,14137,25058,29101,29126,13983,49262,2323
,,,,,,,168.0,37,11719,10598,16375,26915,15362,24742,12053,20506,27715,27195,8803,8054,14667,13455,35073,40648,10292,9567,5696,13873,24534,28809,28445,13803,47644,2230
,,,,,,,168.0,38,11715,11015,17017,26550,15313,24602,12076,19961,27735,28297,8849,8115,14662,13327,34998,40540,10194,9441,5548,13589,24074,28582,27884,13609,46186,2155
,,,,,,,168.0,39,11526,11020,17022,26455,15302,24398,12054,19334,27439,27534,8873,8122,14603,13314,35147,40432,10201,9273,5421,13219,24165,28583,27601,13425,44472,2066
,,,,,,,168.0,40,11366,10982,16961,26953,15512,24508,12167,18971,27350,26617,8996,8185,14609,13714,35902,40983,10136,9161,5345,12955,25584,29396,28361,13220,43188,2002
,,,,,,,168.0,41,11221,10931,16882,29468,16074,25255,12508,19191,28023,25895,9221,8304,14928,14550,38327,42761,10237,9286,5473,13024,29088,31570,31075,13117,42875,1988
