Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,799.9999928529953,1.3363999880609285e7
3,2.2558206481954503e-5,0.5368401978575532
4,1.1346000123276675e-7,0.002804277390469063
5,1.0927340418396996e-6,0.005624302113348934
6,499.9999956671436,1.2059999895491505e7
7,1299.999965815897,1.1657099693471149e7
8,3.984093399262944e-7,0.00510043636973642
9,1.2557031540892662e-6,0.012087398561263275
10,2149.999698201984,2.5610796404982038e7
11,245.5907565965154,8.692439238977065e6
12,3474.9999249352577,3.704349919980984e7
13,2001.1365144339234,1.2455073665836738e7
14,1289.9999860149396,9.9213898924409e6
15,174.99998764193415,803599.9432517616
16,593.3559028013726,8.293928809357586e6
17,299.9999983758677,9.311699949588556e6
