model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p3_High_Elect_Low_RE,1,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,4404153.989670802
p3_High_Elect_Low_RE,2,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,13572366.105189148
p3_High_Elect_Low_RE,3,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,0.0
p3_High_Elect_Low_RE,4,NY_Z_C&E_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,219991.85145225408
p3_High_Elect_Low_RE,5,NY_Z_D_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,5750792.242760182
p3_High_Elect_Low_RE,6,NY_Z_F_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,1063602.516703586
p3_High_Elect_Low_RE,10,PJM_EMAC_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,2770495.804597534
p3_High_Elect_Low_RE,11,PJM_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,all,0,1,MWh,3908452.574844087
p3_High_Elect_Low_RE,1,NENG_Rest_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,3731986.356209637
p3_High_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,2.010301948367048
p3_High_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,23459317.398407992
p3_High_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.288336615125448
p3_High_Elect_Low_RE,1,NENG_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.7312867842194105
p3_High_Elect_Low_RE,1,NENG_Rest_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,28626441.998574693
p3_High_Elect_Low_RE,2,NY_Z_A_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.4113132971303417
p3_High_Elect_Low_RE,2,NY_Z_A_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.7218586783139463
p3_High_Elect_Low_RE,2,NY_Z_A_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,266442.1065627637
p3_High_Elect_Low_RE,3,NY_Z_B_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.268010635895074
p3_High_Elect_Low_RE,3,NY_Z_B_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.0
p3_High_Elect_Low_RE,3,NY_Z_B_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,0.212387625600726
p3_High_Elect_Low_RE,3,NY_Z_B_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,1.1386758454910244
p3_High_Elect_Low_RE,4,NY_Z_C&E_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,5.158018520654389
p3_High_Elect_Low_RE,4,NY_Z_C&E_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,2030,Results_p1,all,0,1,MWh,0.7652755238314699
p3_High_Elect_Low_RE,4,NY_Z_C&E_nuclear_1,Nuclear,2030,Results_p1,all,1,0,MWh,22066741.886587743
p3_High_Elect_Low_RE,5,NY_Z_D_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.320494375016171
p3_High_Elect_Low_RE,5,NY_Z_D_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.4737397023265428
p3_High_Elect_Low_RE,6,NY_Z_F_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,10255058.822969684
p3_High_Elect_Low_RE,6,NY_Z_F_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,1.7950740819528737
p3_High_Elect_Low_RE,6,NY_Z_F_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.0
p3_High_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,4645382.0305982325
p3_High_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,0.3925603152691796
p3_High_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.2068857713485022
p3_High_Elect_Low_RE,7,NY_Z_G-I_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.73749266763529
p3_High_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3108865.870840975
p3_High_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,7658576.859993845
p3_High_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.4864728948566792
p3_High_Elect_Low_RE,8,NY_Z_J_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,1.6637846451175358
p3_High_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,111190.77256908236
p3_High_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,3193566.15759202
p3_High_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,0.5594395142714851
p3_High_Elect_Low_RE,9,NY_Z_K_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,all,0,1,MWh,26243.57988901236
p3_High_Elect_Low_RE,10,PJM_EMAC_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,all,0,1,MWh,0.0
p3_High_Elect_Low_RE,10,PJM_EMAC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,all,0,1,MWh,2.1721517865957987
