hour,resource_name,tech_type,value,zone,planning_year,model,case
289,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,373,1,2030,p3_High_Elect_Low_RE,Results_p1
290,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,330,1,2030,p3_High_Elect_Low_RE,Results_p1
291,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,354,1,2030,p3_High_Elect_Low_RE,Results_p1
292,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,420,1,2030,p3_High_Elect_Low_RE,Results_p1
293,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,496,1,2030,p3_High_Elect_Low_RE,Results_p1
294,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,577,1,2030,p3_High_Elect_Low_RE,Results_p1
295,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,665,1,2030,p3_High_Elect_Low_RE,Results_p1
296,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,577,1,2030,p3_High_Elect_Low_RE,Results_p1
297,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,488,1,2030,p3_High_Elect_Low_RE,Results_p1
298,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,466,1,2030,p3_High_Elect_Low_RE,Results_p1
299,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
300,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,636,1,2030,p3_High_Elect_Low_RE,Results_p1
301,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,548,1,2030,p3_High_Elect_Low_RE,Results_p1
302,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,529,1,2030,p3_High_Elect_Low_RE,Results_p1
303,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,618,1,2030,p3_High_Elect_Low_RE,Results_p1
304,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,706,1,2030,p3_High_Elect_Low_RE,Results_p1
305,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,722,1,2030,p3_High_Elect_Low_RE,Results_p1
306,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,633,1,2030,p3_High_Elect_Low_RE,Results_p1
307,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
308,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
309,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
310,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
311,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
312,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
313,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
314,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
315,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,554,1,2030,p3_High_Elect_Low_RE,Results_p1
316,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,520,1,2030,p3_High_Elect_Low_RE,Results_p1
317,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,496,1,2030,p3_High_Elect_Low_RE,Results_p1
318,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,536,1,2030,p3_High_Elect_Low_RE,Results_p1
319,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,599,1,2030,p3_High_Elect_Low_RE,Results_p1
320,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,617,1,2030,p3_High_Elect_Low_RE,Results_p1
321,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,548,1,2030,p3_High_Elect_Low_RE,Results_p1
322,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,470,1,2030,p3_High_Elect_Low_RE,Results_p1
323,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,403,1,2030,p3_High_Elect_Low_RE,Results_p1
324,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,356,1,2030,p3_High_Elect_Low_RE,Results_p1
325,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,360,1,2030,p3_High_Elect_Low_RE,Results_p1
326,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,409,1,2030,p3_High_Elect_Low_RE,Results_p1
327,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,476,1,2030,p3_High_Elect_Low_RE,Results_p1
328,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p3_High_Elect_Low_RE,Results_p1
329,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,553,1,2030,p3_High_Elect_Low_RE,Results_p1
330,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,594,1,2030,p3_High_Elect_Low_RE,Results_p1
331,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,643,1,2030,p3_High_Elect_Low_RE,Results_p1
332,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,706,1,2030,p3_High_Elect_Low_RE,Results_p1
333,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,668,1,2030,p3_High_Elect_Low_RE,Results_p1
334,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,608,1,2030,p3_High_Elect_Low_RE,Results_p1
335,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,582,1,2030,p3_High_Elect_Low_RE,Results_p1
336,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,583,1,2030,p3_High_Elect_Low_RE,Results_p1
337,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p3_High_Elect_Low_RE,Results_p1
338,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,548,1,2030,p3_High_Elect_Low_RE,Results_p1
339,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,465,1,2030,p3_High_Elect_Low_RE,Results_p1
340,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,378,1,2030,p3_High_Elect_Low_RE,Results_p1
341,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,463,1,2030,p3_High_Elect_Low_RE,Results_p1
342,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p3_High_Elect_Low_RE,Results_p1
343,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,641,1,2030,p3_High_Elect_Low_RE,Results_p1
344,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,729,1,2030,p3_High_Elect_Low_RE,Results_p1
345,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,641,1,2030,p3_High_Elect_Low_RE,Results_p1
346,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p3_High_Elect_Low_RE,Results_p1
347,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,477,1,2030,p3_High_Elect_Low_RE,Results_p1
348,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,416,1,2030,p3_High_Elect_Low_RE,Results_p1
349,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,385,1,2030,p3_High_Elect_Low_RE,Results_p1
350,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,416,1,2030,p3_High_Elect_Low_RE,Results_p1
351,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,477,1,2030,p3_High_Elect_Low_RE,Results_p1
352,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p3_High_Elect_Low_RE,Results_p1
353,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p3_High_Elect_Low_RE,Results_p1
354,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,640,1,2030,p3_High_Elect_Low_RE,Results_p1
355,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,728,1,2030,p3_High_Elect_Low_RE,Results_p1
356,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,719,1,2030,p3_High_Elect_Low_RE,Results_p1
357,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,635,1,2030,p3_High_Elect_Low_RE,Results_p1
358,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,548,1,2030,p3_High_Elect_Low_RE,Results_p1
359,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,530,1,2030,p3_High_Elect_Low_RE,Results_p1
360,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,575,1,2030,p3_High_Elect_Low_RE,Results_p1
361,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p3_High_Elect_Low_RE,Results_p1
