Zone,value,zone,planning_year,model,agg_zone,case
16,2.155933991826873,PJMW,2035,GenX,PJM,full-base-200
17,1.9373701580068008,RMRG,2035,GenX,WECC,full-base-200
18,1.9983897491835148,SPPC,2035,GenX,SPP,full-base-200
19,2.0017463614549427,SPPN,2035,GenX,SPP,full-base-200
20,2.003969721364289,SPPS,2035,GenX,SPP,full-base-200
21,2.0410174117895865,SRCA,2035,GenX,SOU,full-base-200
22,2.073627636147217,SRCE,2035,GenX,MISO,full-base-200
23,2.0588292031027566,SRSE,2035,GenX,SOU,full-base-200
24,2.097977654365744,SRSG,2035,GenX,WECC,full-base-200
25,2.046044670615971,TRE,2035,GenX,TRE,full-base-200
26,2.1812494647433263,TREW,2035,GenX,TRE,full-base-200
1,2.5435961059698844,BASN,2040,GenX,WECC,full-base-200
2,2.4806455373104237,CANO,2040,GenX,CA,full-base-200
3,2.484040919322744,CASO,2040,GenX,CA,full-base-200
4,2.4261948712377435,FRCC,2040,GenX,SOU,full-base-200
5,84156.40430672286,ISNE,2040,GenX,NE,full-base-200
6,2.4379119221243246,MISC,2040,GenX,MISO,full-base-200
7,2.603433465344465,MISE,2040,GenX,MISO,full-base-200
8,2.37889566039598,MISS,2040,GenX,MISO,full-base-200
9,2.3971403882861133,MISW,2040,GenX,MISO,full-base-200
10,3764.161523804232,NWPP,2040,GenX,WECC,full-base-200
11,2265.4257035627616,NYCW,2040,GenX,NE,full-base-200
12,2.574739460683856,NYUP,2040,GenX,NE,full-base-200
13,2.6317525188528443,PJMC,2040,GenX,PJM,full-base-200
14,2.488873260057814,PJMD,2040,GenX,PJM,full-base-200
15,2.3906696404601377,PJME,2040,GenX,PJM,full-base-200
16,2.430790968118224,PJMW,2040,GenX,PJM,full-base-200
17,2.4383817531925622,RMRG,2040,GenX,WECC,full-base-200
18,2.361813342385544,SPPC,2040,GenX,SPP,full-base-200
19,2.3470416764391144,SPPN,2040,GenX,SPP,full-base-200
20,2.348313454593652,SPPS,2040,GenX,SPP,full-base-200
21,2.460830387380432,SRCA,2040,GenX,SOU,full-base-200
22,2.410596559021422,SRCE,2040,GenX,MISO,full-base-200
23,2.371682587322346,SRSE,2040,GenX,SOU,full-base-200
24,2.500385578841707,SRSG,2040,GenX,WECC,full-base-200
25,2.37955123108044,TRE,2040,GenX,TRE,full-base-200
26,2.6018704058111126,TREW,2040,GenX,TRE,full-base-200
1,2845.52438519857,BASN,2045,GenX,WECC,full-base-200
2,4.56603027650445,CANO,2045,GenX,CA,full-base-200
3,4.588599438415966,CASO,2045,GenX,CA,full-base-200
4,4.545802725783222,FRCC,2045,GenX,SOU,full-base-200
5,95018.27282480274,ISNE,2045,GenX,NE,full-base-200
6,4.556195634619503,MISC,2045,GenX,MISO,full-base-200
7,4.553704073603949,MISE,2045,GenX,MISO,full-base-200
8,4.505451754791204,MISS,2045,GenX,MISO,full-base-200
9,358.43626265229994,MISW,2045,GenX,MISO,full-base-200
10,20029.04580859057,NWPP,2045,GenX,WECC,full-base-200
11,3136.1287090077262,NYCW,2045,GenX,NE,full-base-200
12,4.596782748973154,NYUP,2045,GenX,NE,full-base-200
13,4.605050616004245,PJMC,2045,GenX,PJM,full-base-200
14,4.56636294410276,PJMD,2045,GenX,PJM,full-base-200
15,4.609925614465428,PJME,2045,GenX,PJM,full-base-200
16,4.584680125680412,PJMW,2045,GenX,PJM,full-base-200
17,4.512714871088677,RMRG,2045,GenX,WECC,full-base-200
18,4.496312409750385,SPPC,2045,GenX,SPP,full-base-200
19,4.429006290612006,SPPN,2045,GenX,SPP,full-base-200
20,4.531415148584918,SPPS,2045,GenX,SPP,full-base-200
21,4.561224250727184,SRCA,2045,GenX,SOU,full-base-200
22,4.542942554146281,SRCE,2045,GenX,MISO,full-base-200
23,4.539537968289393,SRSE,2045,GenX,SOU,full-base-200
24,4.5718063626718894,SRSG,2045,GenX,WECC,full-base-200
25,4.562939141249018,TRE,2045,GenX,TRE,full-base-200
26,4.554846176472052,TREW,2045,GenX,TRE,full-base-200
1,2976.062645355115,BASN,2050,GenX,WECC,full-base-200
2,7.261008701132048,CANO,2050,GenX,CA,full-base-200
3,7.205603667512176,CASO,2050,GenX,CA,full-base-200
4,7.253919655718183,FRCC,2050,GenX,SOU,full-base-200
5,78461.12397882942,ISNE,2050,GenX,NE,full-base-200
6,7.198228634186361,MISC,2050,GenX,MISO,full-base-200
7,303.100525480688,MISE,2050,GenX,MISO,full-base-200
8,7.191443880121863,MISS,2050,GenX,MISO,full-base-200
9,5716.623674751717,MISW,2050,GenX,MISO,full-base-200
10,34192.68017678227,NWPP,2050,GenX,WECC,full-base-200
11,638.8358168727372,NYCW,2050,GenX,NE,full-base-200
12,7.351435577688616,NYUP,2050,GenX,NE,full-base-200
13,7.263797037602352,PJMC,2050,GenX,PJM,full-base-200
14,7.309480638350114,PJMD,2050,GenX,PJM,full-base-200
15,7.34306777348306,PJME,2050,GenX,PJM,full-base-200
16,7.254300261646275,PJMW,2050,GenX,PJM,full-base-200
17,7.344448628523477,RMRG,2050,GenX,WECC,full-base-200
18,7.168779315884216,SPPC,2050,GenX,SPP,full-base-200
19,7.151968308656146,SPPN,2050,GenX,SPP,full-base-200
20,7.223174886071965,SPPS,2050,GenX,SPP,full-base-200
21,7.269092258284076,SRCA,2050,GenX,SOU,full-base-200
22,7.201565117812991,SRCE,2050,GenX,MISO,full-base-200
23,7.2011056228126495,SRSE,2050,GenX,SOU,full-base-200
24,7.243313876311267,SRSG,2050,GenX,WECC,full-base-200
25,3075.027290892938,TRE,2050,GenX,TRE,full-base-200
26,7.332865721784062,TREW,2050,GenX,TRE,full-base-200
1,5.417826572344046,BASN,2027,SWITCH,WECC,full-base-200
2,5.406085884983343,CANO,2027,SWITCH,CA,full-base-200
3,5.411298271442975,CASO,2027,SWITCH,CA,full-base-200
4,5.574686859373369,FRCC,2027,SWITCH,SOU,full-base-200
5,17546.220874754512,ISNE,2027,SWITCH,NE,full-base-200
6,5.427778643644514,MISC,2027,SWITCH,MISO,full-base-200
7,5.4599989775987705,MISE,2027,SWITCH,MISO,full-base-200
8,5.532865908104624,MISS,2027,SWITCH,MISO,full-base-200
9,5.514690013205674,MISW,2027,SWITCH,MISO,full-base-200
10,5.428567282118746,NWPP,2027,SWITCH,WECC,full-base-200
11,99.99852658049949,NYCW,2027,SWITCH,NE,full-base-200
12,5.406405134829241,NYUP,2027,SWITCH,NE,full-base-200
13,5.441707384560616,PJMC,2027,SWITCH,PJM,full-base-200
14,5.4304601870341935,PJMD,2027,SWITCH,PJM,full-base-200
15,5.498212888833406,PJME,2027,SWITCH,PJM,full-base-200
16,5.444262192331328,PJMW,2027,SWITCH,PJM,full-base-200
17,5.40555831503477,RMRG,2027,SWITCH,WECC,full-base-200
18,5.445052433614875,SPPC,2027,SWITCH,SPP,full-base-200
19,5.411516790657104,SPPN,2027,SWITCH,SPP,full-base-200
20,5.446397236330826,SPPS,2027,SWITCH,SPP,full-base-200
21,5.422840182839518,SRCA,2027,SWITCH,SOU,full-base-200
22,5.454863519628914,SRCE,2027,SWITCH,MISO,full-base-200
23,5.477780601852034,SRSE,2027,SWITCH,SOU,full-base-200
24,5.527697345765887,SRSG,2027,SWITCH,WECC,full-base-200
25,5.539726130227956,TRE,2027,SWITCH,TRE,full-base-200
26,5.419545755827683,TREW,2027,SWITCH,TRE,full-base-200
1,2.1365080593645867,BASN,2030,SWITCH,WECC,full-base-200
2,2.0357970660110296,CANO,2030,SWITCH,CA,full-base-200
3,2.120113833014858,CASO,2030,SWITCH,CA,full-base-200
4,2.2118206353389804,FRCC,2030,SWITCH,SOU,full-base-200
5,4573.910045094895,ISNE,2030,SWITCH,NE,full-base-200
6,2.0886391098138284,MISC,2030,SWITCH,MISO,full-base-200
7,2.1030919579369014,MISE,2030,SWITCH,MISO,full-base-200
8,2.1128627777176696,MISS,2030,SWITCH,MISO,full-base-200
9,2.09228595501418,MISW,2030,SWITCH,MISO,full-base-200
10,2.14355093123304,NWPP,2030,SWITCH,WECC,full-base-200
11,2.1959470289218044,NYCW,2030,SWITCH,NE,full-base-200
12,2.1398323041573986,NYUP,2030,SWITCH,NE,full-base-200
13,2.180044999189566,PJMC,2030,SWITCH,PJM,full-base-200
14,2.1770581980099046,PJMD,2030,SWITCH,PJM,full-base-200
15,2.184154213871857,PJME,2030,SWITCH,PJM,full-base-200
16,2.1243659466651343,PJMW,2030,SWITCH,PJM,full-base-200
17,2.041828160417166,RMRG,2030,SWITCH,WECC,full-base-200
