case,tech_type,planning_year,agg_zone,value,min,max
full-base-200,CCS,2045,WECC,36400354.5,33268017.0,42928006.0
full-base-200,CCS,2050,CA,173524297.75,151868000.0,188823927.0
full-base-200,CCS,2050,MISO,362962070.0,347761200.0,373561531.0
full-base-200,CCS,2050,PJM,424532699.25,392221820.0,444371152.0
full-base-200,CCS,2050,SOU,355934979.0,342653200.0,367148943.0
full-base-200,CCS,2050,SPP,613384.5,16.0,1565616.0
full-base-200,CCS,2050,TRE,124183188.0,120504000.0,128344191.0
full-base-200,CCS,2050,WECC,41314104.25,35911379.0,44302151.0
full-base-200,Coal,2027,CA,0.0,0.0,0.0
full-base-200,Coal,2027,MISO,75286293.5,74655174.0,76195892.0
full-base-200,Coal,2027,NE,2883909.0,2881436.0,2888440.0
full-base-200,Coal,2027,PJM,46160525.25,45856420.0,46751502.0
full-base-200,Coal,2027,SOU,22385456.0,22237252.0,22482149.0
full-base-200,Coal,2027,SPP,27701859.75,27342281.0,27930645.0
full-base-200,Coal,2027,TRE,10769629.5,10457242.0,11414295.0
full-base-200,Coal,2027,WECC,42157011.5,41211389.0,44243381.0
full-base-200,Coal,2030,CA,0.0,0.0,0.0
full-base-200,Coal,2030,MISO,9743.5,520.0,34225.0
full-base-200,Coal,2030,NE,8390.0,3150.0,13961.0
full-base-200,Coal,2030,PJM,7496.25,479.0,24000.0
full-base-200,Coal,2030,SOU,10413.5,0.0,20827.0
full-base-200,Coal,2030,SPP,8561.333333333334,0.0,23689.0
full-base-200,Coal,2030,TRE,3607.0,0.0,7214.0
full-base-200,Coal,2030,WECC,19628.0,0.0,39256.0
full-base-200,Coal,2035,CA,0.0,0.0,0.0
full-base-200,Coal,2035,MISO,11965.75,5094.0,18671.0
full-base-200,Coal,2035,NE,0.0,0.0,0.0
full-base-200,Coal,2035,PJM,27397.0,12722.0,33573.0
full-base-200,Coal,2035,SOU,1982.5,1559.0,2647.0
full-base-200,Coal,2035,SPP,606.0,0.0,1440.0
full-base-200,Coal,2035,TRE,255.0,0.0,510.0
full-base-200,Coal,2035,WECC,7911.333333333333,108.0,21410.0
full-base-200,Coal,2040,CA,0.0,0.0,0.0
full-base-200,Coal,2040,MISO,61373.5,47724.0,68855.0
full-base-200,Coal,2040,NE,0.0,0.0,0.0
full-base-200,Coal,2040,PJM,25339.0,10461.0,32293.0
full-base-200,Coal,2040,SOU,562.6666666666666,0.0,1325.0
full-base-200,Coal,2040,SPP,16418.0,10790.0,22036.0
full-base-200,Coal,2040,TRE,495.75,0.0,769.0
full-base-200,Coal,2040,WECC,66484.75,44301.0,114136.0
full-base-200,Coal,2045,CA,0.0,0.0,0.0
full-base-200,Coal,2045,MISO,187788.75,143066.0,225796.0
full-base-200,Coal,2045,NE,0.0,0.0,0.0
full-base-200,Coal,2045,PJM,48969.0,19202.0,79143.0
full-base-200,Coal,2045,SOU,8283.75,608.0,16709.0
full-base-200,Coal,2045,SPP,77506.5,54967.0,100642.0
full-base-200,Coal,2045,TRE,33162.75,27367.0,41531.0
full-base-200,Coal,2045,WECC,112689.0,73297.0,147229.0
full-base-200,Coal,2050,CA,0.0,0.0,0.0
full-base-200,Coal,2050,MISO,140545.25,104284.0,168694.0
full-base-200,Coal,2050,NE,0.0,0.0,0.0
full-base-200,Coal,2050,PJM,57378.5,27660.0,74009.0
full-base-200,Coal,2050,SOU,47552.0,23483.0,60510.0
full-base-200,Coal,2050,SPP,54929.5,45391.0,67416.0
full-base-200,Coal,2050,TRE,31383.5,24743.0,36690.0
full-base-200,Coal,2050,WECC,64044.5,42978.0,73743.0
full-base-200,Distributed Solar,2027,CA,26379860.5,26325841.0,26465300.0
full-base-200,Distributed Solar,2027,MISO,8876511.0,8835384.0,8926060.0
full-base-200,Distributed Solar,2027,NE,9844619.0,9718000.0,9978970.0
full-base-200,Distributed Solar,2027,PJM,16353716.25,16222451.0,16498790.0
full-base-200,Distributed Solar,2027,SOU,10636196.75,10629071.0,10654512.0
full-base-200,Distributed Solar,2027,SPP,2329545.75,2285125.0,2413646.0
full-base-200,Distributed Solar,2027,TRE,6396588.0,6355973.0,6496439.0
full-base-200,Distributed Solar,2027,WECC,11992082.0,11956165.0,12036418.0
full-base-200,Distributed Solar,2030,CA,31529535.25,30480100.0,32039639.0
full-base-200,Distributed Solar,2030,MISO,16062470.75,15783247.0,16643308.0
full-base-200,Distributed Solar,2030,NE,12229949.5,12041067.0,12407245.0
full-base-200,Distributed Solar,2030,PJM,26210686.25,26007363.0,26399150.0
full-base-200,Distributed Solar,2030,SOU,19172321.5,18974610.0,19284467.0
full-base-200,Distributed Solar,2030,SPP,3988302.75,3634940.0,4492516.0
full-base-200,Distributed Solar,2030,TRE,11772383.5,11370720.0,12472107.0
full-base-200,Distributed Solar,2030,WECC,15755966.5,15250410.0,16783353.0
full-base-200,Distributed Solar,2035,CA,36447904.75,34461600.0,37276658.0
full-base-200,Distributed Solar,2035,MISO,26339802.75,25461190.0,27194176.0
full-base-200,Distributed Solar,2035,NE,14168436.25,14007588.0,14437244.0
full-base-200,Distributed Solar,2035,PJM,33087539.5,32967122.0,33323041.0
full-base-200,Distributed Solar,2035,SOU,25147255.5,24768339.0,26151570.0
full-base-200,Distributed Solar,2035,SPP,6404237.25,6041220.0,7180927.0
full-base-200,Distributed Solar,2035,TRE,17024879.25,16675902.0,17794617.0
full-base-200,Distributed Solar,2035,WECC,19673926.0,18781160.0,21082451.0
full-base-200,Distributed Solar,2040,CA,37223395.5,34540300.0,38411783.0
full-base-200,Distributed Solar,2040,MISO,29587304.75,28096820.0,30737370.0
full-base-200,Distributed Solar,2040,NE,14283295.0,14044120.0,14598781.0
