Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,23418,19587,30314,29003,26645,30447,13516,25668,34892,41702,12574,10644,16620,14789,40720,43254,19987,13175,8695,20977,28928,29632,33102,23263,53679,2578
,,,,,,,168.0,2,22629,18657,28874,26783,25492,28696,12829,24246,33536,39494,12080,10238,15633,14039,38347,41092,19293,11440,7517,18017,27487,28159,31389,22339,51507,2474
,,,,,,,168.0,3,21683,17720,27423,25636,25029,27813,12313,22970,31539,37628,11876,10017,15232,13908,37642,40349,18590,10913,7163,16934,27778,27190,30384,21486,49068,2352
,,,,,,,168.0,4,20905,16662,25784,25242,24462,27565,12102,22501,31230,35985,11574,9717,14853,13874,37410,40026,17528,10899,7110,16560,28143,26715,30071,20947,47921,2302
,,,,,,,168.0,5,20026,15441,23888,25150,24180,27538,11932,21899,30994,33551,11319,9483,14524,13888,37507,39914,18059,10923,7108,16220,28642,26304,29784,20154,47142,2271
,,,,,,,168.0,6,19998,15059,23296,25964,24732,27648,11997,21482,30831,33047,11353,9489,14545,14481,38634,40611,17937,10956,7122,16002,30176,26437,30112,19965,46605,2248
,,,,,,,168.0,7,19859,14697,22738,26929,25455,28470,12434,21906,31735,32806,11629,9655,14776,15061,40460,41823,17650,11256,7342,16407,31528,27146,30878,19952,47631,2303
,,,,,,,168.0,8,19911,14466,22380,30108,24537,29181,12864,22119,32934,32771,11538,9587,15237,15710,40807,42942,17872,11612,7635,16763,32916,27919,32141,20255,49686,2420
,,,,,,,168.0,9,20453,14725,22785,32931,23143,29995,13227,23317,34689,34081,11372,9436,15797,16118,41771,44263,18179,11777,7946,17472,32387,29295,33467,20876,51475,2503
,,,,,,,168.0,10,21174,15151,23455,35818,23508,31116,13902,24229,36326,36949,11513,9563,16327,16421,43264,46180,18726,11963,8202,17991,31950,30478,34684,21477,53577,2611
,,,,,,,168.0,11,21371,15261,23618,38605,24382,32483,14779,25924,38745,38681,11966,9933,17029,16335,44667,47660,19531,12525,8650,18777,31652,31774,35873,21932,56574,2759
,,,,,,,168.0,12,21814,15908,24619,40958,24934,33496,15481,26923,40740,41392,12254,10211,17366,16784,45833,49371,20451,12993,9024,19184,32621,33124,37735,22461,58577,2862
,,,,,,,168.0,13,22683,16899,26155,43154,25798,34865,16466,28330,42687,43861,12778,10635,18006,17445,47775,51841,21193,13433,9385,20133,33619,34810,39784,23144,60765,2965
,,,,,,,168.0,14,23406,17879,27677,43860,25814,35721,16904,29656,45257,45498,12901,10751,18738,17339,47683,52299,22011,13986,9853,21071,33053,35411,40261,24191,63209,3094
,,,,,,,168.0,15,24292,18756,29038,43472,26027,35755,17070,29524,45328,46453,13059,10908,18957,17688,48182,52702,23655,13984,9971,21055,33567,35675,40334,24988,63152,3094
,,,,,,,168.0,16,25077,19685,30484,43503,26011,36167,17433,29914,45901,48289,13113,10940,19134,17964,49179,53635,23742,14144,10116,21366,34634,36559,40967,25460,63189,3092
