Zone,1,2,3,4,5,6,7,8,9,10,11
t1,-7.210531178863897e-12,-6.887728627224163e-11,-8.849472074404431e-11,-4.5040771289765756e-11,-3.942318056544649e-10,-7.268621310107726e-11,-4.225301794128787e-11,-1.2390988892717735e-11,-3.4314175916548096e-11,-5.298210088668531e-12,-1.57158287351628e-12
t2,-7.678025218239814e-12,-7.387965571852492e-11,-9.514007870633369e-11,-4.8362134192960156e-11,-4.226669139506141e-10,-7.809948745288709e-11,-4.528155764678062e-11,-1.32366827706291e-11,-3.68146922516581e-11,-5.4640003188845555e-12,-1.6133868616806559e-12
t3,-7.956648104829386e-12,-7.702781397406671e-11,-9.937218278203031e-11,-5.046304617106762e-11,-4.4179447202045564e-10,-8.150549980787279e-11,-4.718365840201742e-11,-1.375621507205382e-11,-3.8382609584890126e-11,-5.542340011734114e-12,-1.6401770493240675e-12
t4,-8.08144558728576e-12,-7.880935006314227e-11,-1.0181763003176136e-10,-5.166225573009908e-11,-4.5320256911820026e-10,-8.344728943206559e-11,-4.823577296536868e-11,-1.4057122503415326e-11,-3.928018504166147e-11,-5.553761546543717e-12,-1.6387613927499263e-12
t5,-8.135850999375734e-12,-8.019136710684255e-11,-1.0351349523981017e-10,-5.2545144870731184e-11,-4.6033993574806115e-10,-8.498689849487784e-11,-4.905967532132611e-11,-1.4278115124627907e-11,-3.993615123620393e-11,-5.485323734506062e-12,-1.6058560893721548e-12
t6,-7.922721507884053e-12,-7.95674677015612e-11,-1.0268076804455564e-10,-5.215513370633768e-11,-4.5804124354452677e-10,-8.434266305519734e-11,-4.865963656156683e-11,-1.4186717573554811e-11,-3.960805346013302e-11,-5.1917640810555574e-12,-1.507307902412788e-12
t7,-7.920473790986968e-12,-7.570911225609983e-11,-9.75463384669496e-11,-4.959488696104844e-11,-4.3340222027137313e-10,-8.012401278754123e-11,-4.625086139066758e-11,-1.3571248524601075e-11,-3.754619411664199e-11,-4.699087324703303e-12,-1.3518386080393817e-12
t8,-6.801634480940326e-12,-6.7639936992115e-11,-8.701294860626929e-11,-4.4265743894269456e-11,-3.860494605325016e-10,-7.143459597436416e-11,-4.142309615544126e-11,-1.2226922379772385e-11,-3.355985276769061e-11,-4.574567093465588e-12,-1.2700038817150929e-12
t9,-6.069517255323505e-12,-7.042727249613781e-11,-9.021709615294306e-11,-4.905378970875023e-11,-3.583281703511029e-10,-7.558808142055422e-11,-4.456378193228571e-11,-1.1829023877733081e-11,-3.750188409269413e-11,-4.586420006585773e-12,-1.2841943047634792e-12
t10,-6.380274887847204e-12,-6.10864934828061e-11,-7.825620728408068e-11,-3.9934234163317234e-11,-3.4819211334734104e-10,-6.425139058226995e-11,-3.756225428497609e-11,-1.107816737405035e-11,-3.043509802098454e-11,-4.463478437323524e-12,-1.3245668924538648e-12
t11,-6.332121231471007e-12,-6.036939993932404e-11,-7.738690437599342e-11,-3.949628134130016e-11,-3.428890304900255e-10,-6.353036864575173e-11,-3.715674258581381e-11,-1.096468441891477e-11,-3.010033024813373e-11,-4.4944044656710345e-12,-1.356596410580809e-12
t12,-6.278162887846627e-12,-6.0612513372228e-11,-7.764947075783022e-11,-3.965085493926886e-11,-3.4560272767957923e-10,-6.38104011015242e-11,-3.733988347231407e-11,-1.0991737524912268e-11,-3.027641802802505e-11,-4.596597454942316e-12,-1.3808190633515756e-12
t13,-5.881511330971194e-12,-6.076859023478312e-11,-7.783989328324999e-11,-3.97489402420125e-11,-3.4552536276490497e-10,-6.390073241698826e-11,-3.741059916473312e-11,-1.1011258769567763e-11,-3.03677488302989e-11,-4.653963751322152e-12,-1.4016801397475115e-12
t14,-5.947301176237848e-12,-6.136066769738647e-11,-7.866715892641844e-11,-4.014970182892564e-11,-3.496071656565785e-10,-6.458903278145967e-11,-3.7796583411372144e-11,-1.1111497203783431e-11,-3.06882967794693e-11,-4.686239280381635e-12,-1.4276299685827306e-12
t15,-5.921339352235492e-12,-6.137134397087581e-11,-8.038855654473898e-11,-4.162632225779759e-11,-3.515529209908182e-10,-6.61539623880407e-11,-3.7803710741975915e-11,-1.1109525925254526e-11,-3.2037249648858065e-11,-4.698136421643953e-12,-1.4413511653655069e-12
t16,-5.775545696871797e-12,-6.03143533826326e-11,-7.724950633646811e-11,-3.9446947250143196e-11,-3.4258260191129125e-10,-6.344007094257055e-11,-3.715140658181912e-11,-1.0936510769731075e-11,-3.0139819621575434e-11,-4.565161542632421e-12,-1.4157537834147953e-12
t17,-5.9490997619693035e-12,-5.872365790889484e-11,-7.6866165848162e-11,-3.9833184008000506e-11,-3.365209710889348e-10,-6.327663517675223e-11,-3.615813064580687e-11,-1.067723125700263e-11,-3.062078645577122e-11,-4.262979749134686e-12,-1.342617733366963e-12
