Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,1,0,0.009852843446546748
NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,1,0,0.014035219094119743
NY_Z_A,NY_Z_A_naturalgas_ccavgcf_moderate_0,2,0,0.07861365186125112
NY_Z_A,NY_Z_A_naturalgas_ctavgcf_moderate_0,2,0,0.013220847040389639
NY_Z_A,NY_Z_A_nuclear_nuclear_moderate_0,2,0,0.009983308711110084
NY_Z_A,NY_Z_A_naturalgas_ccs100_moderate_0,2,0,0.013557149238708951
NY_Z_B,NY_Z_B_naturalgas_ccavgcf_moderate_0,3,0,257294.60033776233
NY_Z_B,NY_Z_B_naturalgas_ctavgcf_moderate_0,3,0,0.0160606687294237
NY_Z_B,NY_Z_B_nuclear_nuclear_moderate_0,3,0,0.012065003597294208
NY_Z_B,NY_Z_B_naturalgas_ccs100_moderate_0,3,0,0.015603562823815618
NY_Z_C&E,NY_Z_C&E_naturalgas_ccavgcf_moderate_0,4,0,0.06974022348984096
NY_Z_C&E,NY_Z_C&E_naturalgas_ctavgcf_moderate_0,4,0,0.013116261936593803
NY_Z_C&E,NY_Z_C&E_nuclear_nuclear_moderate_0,4,0,0.00925608989165653
NY_Z_C&E,NY_Z_C&E_naturalgas_ccs100_moderate_0,4,0,0.012538792999156308
NY_Z_D,NY_Z_D_naturalgas_ccavgcf_moderate_0,5,0,0.07089727667850898
NY_Z_D,NY_Z_D_naturalgas_ctavgcf_moderate_0,5,0,0.016838952225041923
NY_Z_D,NY_Z_D_nuclear_nuclear_moderate_0,5,0,0.009168326217597653
NY_Z_D,NY_Z_D_naturalgas_ccs100_moderate_0,5,0,0.01041641558090052
NY_Z_F,NY_Z_F_naturalgas_ccavgcf_moderate_0,6,0,0.1770774297398295
NY_Z_F,NY_Z_F_naturalgas_ctavgcf_moderate_0,6,0,0.021791240619683606
NY_Z_F,NY_Z_F_nuclear_nuclear_moderate_0,6,0,0.01630199355385527
NY_Z_F,NY_Z_F_naturalgas_ccs100_moderate_0,6,0,0.01890496270487555
NY_Z_G-I,NY_Z_G-I_naturalgas_ccavgcf_moderate_0,7,0,0.09908673732679145
NY_Z_G-I,NY_Z_G-I_naturalgas_ctavgcf_moderate_0,7,0,0.04548355206668822
NY_Z_G-I,NY_Z_G-I_nuclear_nuclear_moderate_0,7,0,0.01807494512834077
NY_Z_G-I,NY_Z_G-I_naturalgas_ccs100_moderate_0,7,0,0.016338386337360473
NY_Z_J,NY_Z_J_naturalgas_ccavgcf_moderate_0,8,0,0.1399442783297957
NY_Z_J,NY_Z_J_naturalgas_ctavgcf_moderate_0,8,0,20914.332006302913
NY_Z_J,NY_Z_J_nuclear_nuclear_moderate_0,8,0,0.015293257682735501
