Zone,1,2,3,4,5,6,7,8,9,10,11,Total
AnnualSum,1.2100897024185458e7,86676.52689060994,4.508901629099134,4.7293447714027135,3.6978273762569045,1.2106325472399155e7,1.5183059047335696e6,3.6216089407695564e6,795621.6448406028,1.991946045874695e7,2.1613730259351075e8,2.6628621150215042e8
t1,1180.3034934476732,16.379938548911017,0.0007898686131379513,0.0008055411699805681,0.000641550558259521,2949.681992055161,274.49277188638496,174.9483436768085,28.62631517358197,3846.9474251552365,36151.47783001741,44622.8603469215
t2,794.9415616038979,16.37990425401572,0.0007715584738654572,0.0007277927755453787,0.0006026507937418339,2949.6819004712806,274.4927276186944,77.1548779406719,28.626059758893525,3846.947312761382,34970.10197916537,42958.32842557625
t3,794.9415209464372,16.379902403554144,0.0007702367684276987,0.000717735520088051,0.0005993502359196401,2949.681881461002,274.4927288893161,77.1544489248707,28.62607779799762,3846.94730912315,34550.474948306735,42538.70090517559
t4,794.9414412687908,16.37988455166196,0.0007561640815640794,0.0006834714759479123,0.000584744157228259,2949.6795104862927,274.49268257274844,77.15318781087024,12.56744363124423,3846.9471029633287,34789.67684642897,42761.84012409362
t5,794.9414481102327,16.379883597185703,0.0007549811632831399,0.0006812992484295917,0.0005815358629093567,2949.679556807477,274.4926827789851,77.15319192652552,12.567441723987727,3846.947076705239,35564.43581858507,43536.59911805098
t6,794.9415091618656,16.379884713110698,0.0007575223147081736,0.000695263571265691,0.0005793889456281087,2949.681654409816,274.49269971807547,77.1532444692239,12.567440175679987,3846.9470908548456,36645.77704752554,44617.94260320299
t7,1180.3035659344014,16.379947259172667,0.0007886315584909337,0.0008038140435708647,0.0006305516494434432,2949.6820087173087,274.492782082542,174.94842042443986,28.62633751471355,3846.9473968957523,36997.16306113274,45468.545742958326
t8,1180.3037213942434,16.379943001608698,0.0007843567602235169,0.0008185841478340068,0.0006344337038297087,2949.682021869027,274.4928379629001,174.9485501731347,28.62641773265252,3846.9474435485085,36997.163122380975,45468.54629543766
t9,1180.3035935137489,16.37992941372503,0.0007718781851186703,0.0007897312475169279,0.0006088570041845948,2949.681999938614,274.4927797773805,174.94843614804597,28.626338248715083,3846.947345993457,36997.16300585175,45468.54559935187
t10,1180.3034748653763,7.043645596442094,0.0005318711738774459,0.0005215413040362828,0.00041762474326934783,2098.6697548527645,149.59876555608759,77.15303045515309,12.567282284672688,1731.126761036869,16496.278418977694,21752.74260466228
t11,1180.3034639065263,3.6364887540812156,0.00031026437481117454,0.0003593320862140083,0.0002676620570572423,1019.5411099631799,149.59867430013264,77.15298121437759,12.567198857872837,1731.1265026989565,16020.287210284536,20194.21456723818
t12,1180.303512087941,3.636484455548764,0.00030549230343661414,0.00035443748812359177,0.00026103406558052804,1019.5410727409318,149.59864751385294,77.15296863815202,12.567184412480888,1731.1264910206198,16020.287191734202,20194.214473567587
t13,1180.3034326930517,3.636483885108855,0.0003045862224195707,0.0003544333219682172,0.0002593913804222744,1019.5410711434824,149.59864381237927,77.152969928239,12.567181483188165,1731.1264909864817,16020.28718552064,20194.214377863496
t14,1180.303422602089,3.636484583435737,0.0003052856619578023,0.00035511075802357783,0.0002601415626880515,1019.5410718506033,149.59864496265482,77.15297575852325,12.567183013614063,1731.1264958044635,16020.287185714797,20194.214384828163
t15,1180.3034355556565,3.6364861113917772,0.00030699722411953547,0.0003566097960280329,0.00026329448419656014,1019.5410717535935,149.5986466908123,77.15298403006265,12.567187635641398,1731.1264981951042,16020.287191162697,20194.214428036463
t16,1180.3034434403498,3.636489514114051,0.0003117021679141567,0.0003600136501622997,0.0002674338387771336,1019.54107705143,149.59866269024283,77.1530032303576,12.56720383465652,1731.1265133695865,16020.28721368789,20194.214545968287
t17,1180.3034910273843,7.0436201370053375,0.0005267280573325471,0.0005229096767150376,0.00042633273761713325,1903.8514203467637,149.59877401519535,77.15307926239139,12.568278361344582,3601.9000908712737,16020.287431336637,22952.707661328466
t18,1180.3035971291727,16.379921219692097,0.0007704527254315543,0.0007809030467045513,0.0006111641104048225,2949.68200426721,274.49277224318143,174.94855552156272,28.626375020811565,3846.9474305985295,32969.0752472096,41440.45806572964
t19,1180.303607129584,16.379934433821205,0.0007787028919643683,0.0007999609508990394,0.0006275304039346808,2949.6820061934436,274.4927770891765,174.94857923330198,28.6263896617361,3846.9474515881107,33296.01500796633,41767.397959489754
t20,1180.3036043466543,16.379939493135797,0.0007835354603901738,0.0008015847620680539,0.0006336957141597267,2949.6820057449145,274.4927766215994,174.94859228604156,28.626396525090538,3846.9474638099296,33240.05286151432,41711.435859157624
t21,1180.3035943116602,16.37993520149723,0.0007826719072372047,0.0007969975703191343,0.0006346047929444807,2949.682000745762,274.49277193967055,174.94859221343194,28.6263849223589,3846.947468975722,33235.22266509357,41706.60562767794
t22,1180.3036002191532,16.379937263778363,0.0007857960291000287,0.0007992775600343728,0.0006392067208344587,2949.6819992272262,274.49277181644953,174.9486039764798,28.62638366369812,3846.947464434032,37663.719152284226,46135.102137165355
t23,1180.303592753063,16.37993876884774,0.0007882478133582201,0.0008026824169380017,0.0006426618956552167,2949.6820029742767,274.49278504605894,174.94862916020202,28.62638505662809,3846.947478427042,32901.40003083415,41372.783076612395
t24,1180.3035827053222,16.379937025969863,0.0007875561247528528,0.0008018948939828233,0.000643232157466311,2949.681997786432,274.49277195130935,174.9489391289229,28.62638079965409,3846.947466584901,30500.816117949234,38972.19942661493
t25,1180.3035802956815,16.37993897085635,0.0007877084046171174,0.0008058658706491173,0.0006493638711787124,2949.6819928412865,274.49276684322143,174.9486140429661,28.62635590573787,3846.947437499472,28633.25409568028,37104.63702501765
t26,1180.3035788241289,16.379926443339187,0.0007819039295734138,0.0007872668012583521,0.0006371011517193937,2949.6819688323417,274.4927510791717,174.94855165781124,28.62632510275882,3846.9474320141917,24195.05585045974,32666.438590685364
t27,1180.3035532504755,16.379919456883677,0.0007762375796732851,0.0007779734734551729,0.0006308452090977681,2949.6819525077212,274.4927427309092,174.94851511974161,28.626309495026007,3846.9474187532624,21466.5395148291,29937.922111199383
t28,1180.3035613846812,16.37991010385597,0.0007693395462382017,0.0007669107952245464,0.0006228102651407647,2949.6819222387903,274.49272619033457,174.94844250133613,28.626284938744607,3846.9473682805265,20468.664897180905,28940.047271879783
t29,1180.303522069205,16.379900839306742,0.0007614100592608636,0.0007512134888472368,0.0006130528516616421,2949.6818770262635,274.4927042681632,174.9481729993619,28.626264298424832,3846.9473436391972,20763.03043592178,29234.412346738103
t30,1180.3035203057527,16.37983552127579,0.000720535187595217,0.0006570608430072983,0.0005594113604715753,2902.964350207885,274.4925601940918,62.981644296250415,28.62625970908147,3846.947260364907,23498.530601551774,31811.22796915841
t31,1180.3035250939042,16.379826534574494,0.0007103668378723596,0.0006490905344484574,0.0005481244119929717,2700.0810637396053,274.49250151974303,0.0015924801385642346,28.626173517412198,3846.9472905862667,29301.821514194176,37348.6553952476
t32,1180.303502814203,16.37981556355445,0.0006979477878968624,0.0006421725029339819,0.0005350852315985567,1896.3593077949736,274.4922553680544,0.0013111057659725212,10.306026200459526,3323.2996538133225,30308.086763294985,37009.230511160844
t33,1180.3034435236543,12.972733091234916,0.000549574008255234,0.000528747452689776,0.00043874866841616387,1416.3576705091702,98.81747933482217,0.0008869125927034899,0.0019323471011691705,1618.2055744169948,27479.282791127007,31805.944028332706
t34,794.9413095394187,3.636463709065405,0.00028361777699488126,0.0003375319651450316,0.00028415139879280044,337.22832589864186,0.0009234403787006463,0.0006065712219625928,0.0010333409991209526,881.655891335634,13362.736211047324,15380.201670183826
t35,794.9412880148753,3.636453560744095,0.0002742705181143417,0.0003354500850971924,0.00027915794899112845,337.228317430306,0.0009175930683666655,0.0005931284782983851,0.00101350236221144,881.6558698563578,13362.736176655404,15380.201518620148
t36,794.9412532125472,3.6364506264828704,0.0002713217057057726,0.00033421291507468293,0.0002768946219842515,337.2283139956117,0.0009149155613911409,0.0005871422961532527,0.001006744501378057,881.6558620648873,13362.736161569643,15380.201432700773
t37,794.9412719042405,3.636449681767424,0.00027034932613706703,0.0003340203564710987,0.00027660109652972005,337.22831370601716,0.0009145310317440421,0.0005857753093870167,0.001004155247970224,881.6558599851197,13362.736151332872,15380.201432042386
t38,794.9412541190188,3.6364499220667867,0.00027068602953177033,0.0003347274300746179,0.00027800895755320535,337.2283160994331,0.0009159341774405622,0.0005882581309013639,0.001005085600907303,881.6558624755088,13362.73614661634,15380.201421932694
t39,794.9412433374382,3.6364510353235606,0.0002721836478398524,0.00033622258149773333,0.00028138940751496144,337.22836177031536,0.0009625520707573907,0.0006376810686244437,0.0010328838839870997,881.6558708034546,13362.736145507335,15380.201595366527
t40,794.9412632075217,3.6364533308825875,0.0002752621079937859,0.00033764829026969485,0.0002872087343327922,463.57955237433407,0.0009692914658516531,0.0006431267126546568,0.0010503652386462331,881.6559368819616,13362.736147094829,15506.55291579208
t41,794.9414526450804,3.6364726544342183,0.00029135941948778683,0.0005874440333002373,0.00048583504483968497,1542.7089066906447,0.0016020873929999927,0.0008597454562427256,0.0013872140837069005,1761.8157875966947,13362.736158323209,17465.843991595495
t42,1180.303281410657,12.972917764853657,0.0006463767037233684,0.000722818080227336,0.0005863131129690666,1686.1401093385346,0.0017042335404140127,0.0010495117795858485,0.0019814235554958433,1959.2349258407462,19568.785515603013,24407.443440634575
t43,1180.3032752022932,16.37986963175849,0.0007252525327014138,0.0007349330531506213,0.0005971388155614865,1686.1401172776482,0.0017089084685308542,0.001066212438231948,0.0019906771218798276,1959.2349409638696,29444.94285543176,34287.00788162976
t44,1180.3032735917723,16.37987518337929,0.0007309044252075531,0.0007372894563201884,0.0006011833216420942,1686.1401195306526,0.0017096403735328354,0.001068769126541324,0.0019920575736382586,1959.2349486222677,27887.39290105538,32729.45795782773
