model,line_name,planning_year,case,unit,value
SWITCH,CANO_to_BASN,2030,current_policies_20_week,MW,0.0
SWITCH,CANO_to_CASO,2030,current_policies_20_week,MW,0.0
SWITCH,CANO_to_NWPP,2030,current_policies_20_week,MW,0.0
SWITCH,TREW_to_TRE,2030,current_policies_20_week,MW,0.0
SWITCH,TREW_to_SPPS,2030,current_policies_20_week,MW,1620.0
SWITCH,SPPC_to_SPPS,2030,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISS,2030,current_policies_20_week,MW,60.0
SWITCH,SPPC_to_SPPN,2030,current_policies_20_week,MW,443.0
SWITCH,SPPC_to_MISW,2030,current_policies_20_week,MW,6.0
SWITCH,FRCC_to_SRSE,2030,current_policies_20_week,MW,0.0
SWITCH,TRE_to_SPPS,2030,current_policies_20_week,MW,1.0
SWITCH,SRCA_to_PJMW,2030,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRCE,2030,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMD,2030,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRSE,2030,current_policies_20_week,MW,0.0
SWITCH,NYUP_to_NYCW,2030,current_policies_20_week,MW,1276.0
SWITCH,PJMW_to_SRCE,2030,current_policies_20_week,MW,0.0
SWITCH,PJMW_to_PJMD,2030,current_policies_20_week,MW,0.0
SWITCH,BASN_to_RMRG,2030,current_policies_20_week,MW,0.0
SWITCH,BASN_to_CASO,2030,current_policies_20_week,MW,0.0
SWITCH,BASN_to_NWPP,2030,current_policies_20_week,MW,0.0
SWITCH,BASN_to_SRSG,2030,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_MISS,2030,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_SRSE,2030,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_MISS,2030,current_policies_20_week,MW,4737.0
SWITCH,SPPS_to_SRSG,2030,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_SPPN,2030,current_policies_20_week,MW,131.0
SWITCH,RMRG_to_NWPP,2030,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SRSG,2030,current_policies_20_week,MW,0.0
SWITCH,MISS_to_SRSE,2030,current_policies_20_week,MW,0.0
SWITCH,CASO_to_NWPP,2030,current_policies_20_week,MW,0.0
SWITCH,CASO_to_SRSG,2030,current_policies_20_week,MW,0.0
SWITCH,SPPN_to_MISW,2030,current_policies_20_week,MW,0.0
SWITCH,NWPP_to_SPPN,2030,current_policies_20_week,MW,5.0
SWITCH,NWPP_to_MISW,2030,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SPPN,2030,current_policies_20_week,MW,1158.0
SWITCH,RMRG_to_SPPC,2030,current_policies_20_week,MW,225.0
SWITCH,SRSG_to_TRE,2030,current_policies_20_week,MW,12.0
SWITCH,PJMC_to_MISC,2035,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_PJMW,2035,current_policies_20_week,MW,425.0
SWITCH,PJMC_to_MISW,2035,current_policies_20_week,MW,6018.0
SWITCH,PJME_to_NYUP,2035,current_policies_20_week,MW,43.0
SWITCH,PJME_to_PJMW,2035,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYCW,2035,current_policies_20_week,MW,2655.0
SWITCH,PJME_to_PJMD,2035,current_policies_20_week,MW,4502.0
SWITCH,MISE_to_MISC,2035,current_policies_20_week,MW,1.0
SWITCH,MISE_to_PJMW,2035,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISW,2035,current_policies_20_week,MW,23.0
SWITCH,ISNE_to_NYUP,2035,current_policies_20_week,MW,717.0
SWITCH,ISNE_to_NYCW,2035,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPC,2035,current_policies_20_week,MW,11.0
SWITCH,MISC_to_PJMW,2035,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SRCE,2035,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPS,2035,current_policies_20_week,MW,0.0
SWITCH,MISC_to_MISS,2035,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPN,2035,current_policies_20_week,MW,0.0
SWITCH,MISC_to_MISW,2035,current_policies_20_week,MW,0.0
SWITCH,CANO_to_BASN,2035,current_policies_20_week,MW,0.0
SWITCH,CANO_to_CASO,2035,current_policies_20_week,MW,0.0
SWITCH,CANO_to_NWPP,2035,current_policies_20_week,MW,0.0
SWITCH,TREW_to_TRE,2035,current_policies_20_week,MW,0.0
SWITCH,TREW_to_SPPS,2035,current_policies_20_week,MW,2206.0
SWITCH,SPPC_to_SPPS,2035,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISS,2035,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_SPPN,2035,current_policies_20_week,MW,0.0
SWITCH,SPPC_to_MISW,2035,current_policies_20_week,MW,1.0
SWITCH,FRCC_to_SRSE,2035,current_policies_20_week,MW,0.0
SWITCH,TRE_to_SPPS,2035,current_policies_20_week,MW,28.0
SWITCH,SRCA_to_PJMW,2035,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRCE,2035,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_PJMD,2035,current_policies_20_week,MW,0.0
SWITCH,SRCA_to_SRSE,2035,current_policies_20_week,MW,0.0
SWITCH,NYUP_to_NYCW,2035,current_policies_20_week,MW,1418.0
SWITCH,PJMW_to_SRCE,2035,current_policies_20_week,MW,0.0
SWITCH,PJMW_to_PJMD,2035,current_policies_20_week,MW,0.0
SWITCH,BASN_to_RMRG,2035,current_policies_20_week,MW,0.0
SWITCH,BASN_to_CASO,2035,current_policies_20_week,MW,0.0
SWITCH,BASN_to_NWPP,2035,current_policies_20_week,MW,0.0
SWITCH,BASN_to_SRSG,2035,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_MISS,2035,current_policies_20_week,MW,0.0
SWITCH,SRCE_to_SRSE,2035,current_policies_20_week,MW,0.0
SWITCH,SPPS_to_MISS,2035,current_policies_20_week,MW,2623.0
SWITCH,SPPS_to_SRSG,2035,current_policies_20_week,MW,3525.0
SWITCH,SPPS_to_SPPN,2035,current_policies_20_week,MW,685.0
SWITCH,RMRG_to_NWPP,2035,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SRSG,2035,current_policies_20_week,MW,0.0
SWITCH,MISS_to_SRSE,2035,current_policies_20_week,MW,0.0
SWITCH,CASO_to_NWPP,2035,current_policies_20_week,MW,0.0
SWITCH,CASO_to_SRSG,2035,current_policies_20_week,MW,0.0
SWITCH,SPPN_to_MISW,2035,current_policies_20_week,MW,0.0
SWITCH,NWPP_to_SPPN,2035,current_policies_20_week,MW,0.0
SWITCH,NWPP_to_MISW,2035,current_policies_20_week,MW,0.0
SWITCH,RMRG_to_SPPN,2035,current_policies_20_week,MW,796.0
SWITCH,RMRG_to_SPPC,2035,current_policies_20_week,MW,254.0
SWITCH,SRSG_to_TRE,2035,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_MISC,2040,current_policies_20_week,MW,0.0
SWITCH,PJMC_to_PJMW,2040,current_policies_20_week,MW,4525.0
SWITCH,PJMC_to_MISW,2040,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYUP,2040,current_policies_20_week,MW,2878.0
SWITCH,PJME_to_PJMW,2040,current_policies_20_week,MW,0.0
SWITCH,PJME_to_NYCW,2040,current_policies_20_week,MW,0.0
SWITCH,PJME_to_PJMD,2040,current_policies_20_week,MW,1300.0
SWITCH,MISE_to_MISC,2040,current_policies_20_week,MW,730.0
SWITCH,MISE_to_PJMW,2040,current_policies_20_week,MW,0.0
SWITCH,MISE_to_MISW,2040,current_policies_20_week,MW,0.0
SWITCH,ISNE_to_NYUP,2040,current_policies_20_week,MW,1645.0
SWITCH,ISNE_to_NYCW,2040,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPC,2040,current_policies_20_week,MW,3934.0
SWITCH,MISC_to_PJMW,2040,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SRCE,2040,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPS,2040,current_policies_20_week,MW,1956.0
SWITCH,MISC_to_MISS,2040,current_policies_20_week,MW,0.0
SWITCH,MISC_to_SPPN,2040,current_policies_20_week,MW,4746.0
SWITCH,MISC_to_MISW,2040,current_policies_20_week,MW,0.0
SWITCH,CANO_to_BASN,2040,current_policies_20_week,MW,0.0
