MinCapReqConstraint,Constraint_Description,Min_MW,PriceCap
1,NY_offshorewind,9000,500000
2,PJME_offshorewind,12700,500000
3,PJMD_offshorewind,5200,500000
4,ISNE_offshorewind,13945,500000
5,SRCA_offshorewind,2800,500000
