Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,799.9999532141682,1.3363999218442677e7
3,88.5033622638642,2.10620301515544e6
4,1.01654921479639e-5,0.25125030392907577
5,602.3814065894619,3.1004570997159607e6
6,499.999933434212,1.2059998394433195e7
7,17.410261495560967,156117.8148306952
8,2.0164571043976474e-5,0.25814683850498676
9,3249.9941569078987,3.1284443754395433e7
10,2149.9999808345965,2.5610799771701716e7
11,754.9998363146732,2.672246420652154e7
12,3474.9998978122208,3.7043498910678275e7
13,2587.98469157047,1.6107616720334608e7
14,998.2231354345262,7.67733413462694e6
15,174.9999396693876,803599.7229618278
16,659.9990178815841,9.225466271948783e6
17,299.99931676474966,9.311678793061066e6
