Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.558876000545531e7
new_england_naturalgas,1.77524110594376e8
new_england_uranium,2.4616437801732275e8
middle_atlantic_naturalgas,6.456703903658017e8
middle_atlantic_uranium,7.93685992106861e8
middle_atlantic_coal,0.0
east_north_central_coal,2.2742462468387055e9
east_north_central_naturalgas,5.605871073284386e8
east_north_central_uranium,7.909019239175564e8
new_england_naturalgas_ccs100,8.602011930259104
middle_atlantic_naturalgas_ccs100,73.03176295146837
east_north_central_naturalgas_ccs90,8.403861062190694
east_north_central_naturalgas_ccs100,9.923539374271673
None,0.0
