case,tech_type,planning_year,value,min,max
full-base-200-retire,Battery,2030,21847573.2,20336759.0,24458692.0
full-base-200-retire,CCS,2030,426728854.8,409170118.0,460151828.0
full-base-200-retire,Coal,2030,34054.5,0.0,68109.0
full-base-200-retire,Distributed Solar,2030,137305691.8,135077366.0,139917266.0
full-base-200-retire,Geothermal,2030,13333108.2,6846961.0,16056768.0
full-base-200-retire,Hydro,2030,317213271.8,291514950.0,326986727.0
full-base-200-retire,Hydrogen,2030,155863.5,0.0,311727.0
full-base-200-retire,Natural Gas CC,2030,477253348.5,473187901.0,483387388.0
full-base-200-retire,Natural Gas CT,2030,1906414.0,1367839.0,2387814.0
full-base-200-retire,Nuclear,2030,712453489.0,629527172.0,742694346.0
full-base-200-retire,Solar,2030,793617513.0,768034123.0,807530772.0
full-base-200-retire,Wind,2030,1781167393.0,1709227539.0,1847592984.0
full-base-200-retire,Battery,2035,27337544.8,24039615.0,32966179.0
full-base-200-retire,CCS,2035,931633158.5,897728421.0,950195790.0
full-base-200-retire,Coal,2035,6934.7,3910.0,10178.0
full-base-200-retire,Distributed Solar,2035,179201516.5,176117209.0,182567265.0
full-base-200-retire,Geothermal,2035,13256622.8,6769329.0,16056768.0
full-base-200-retire,Hydro,2035,324325167.5,298849392.0,333531592.0
full-base-200-retire,Hydrogen,2035,29427.7,0.0,84329.0
full-base-200-retire,Natural Gas CC,2035,306397845.2,305294534.0,307800239.0
full-base-200-retire,Natural Gas CT,2035,1630069.2,1477757.0,1811141.0
full-base-200-retire,Nuclear,2035,715807380.0,628224627.0,750569894.0
full-base-200-retire,Solar,2035,1087305572.0,1046820992.0,1119936776.0
full-base-200-retire,Wind,2035,2005594848.8,1919666659.0,2081853862.0
full-base-200-retire,Battery,2040,56877529.8,31600085.0,69107237.0
full-base-200-retire,CCS,2040,1166925886.0,1104801079.0,1192425744.0
full-base-200-retire,Coal,2040,7841.0,3900.0,10405.0
full-base-200-retire,Distributed Solar,2040,190234642.8,184060947.0,195076234.0
full-base-200-retire,Geothermal,2040,13214337.0,6758622.0,16056768.0
full-base-200-retire,Hydro,2040,327818085.8,301366006.0,337149880.0
full-base-200-retire,Hydrogen,2040,81730.0,0.0,215513.0
full-base-200-retire,Natural Gas CC,2040,219378891.5,198117108.0,252162868.0
full-base-200-retire,Natural Gas CT,2040,1658298.0,1400817.0,2129366.0
full-base-200-retire,Nuclear,2040,706868607.0,624590004.0,738628888.0
full-base-200-retire,Solar,2040,1356958661.8,1315913409.0,1376470872.0
full-base-200-retire,Wind,2040,2134715655.8,2033218839.0,2209393518.0
full-base-200-retire,Battery,2045,120174333.8,60416916.0,146463880.0
full-base-200-retire,CCS,2045,1411148148.2,1334750249.0,1441481256.0
full-base-200-retire,Coal,2045,5871.7,2511.0,12097.0
full-base-200-retire,Distributed Solar,2045,197567229.5,194733416.0,201393396.0
full-base-200-retire,Geothermal,2045,13264419.2,6810558.0,16056768.0
full-base-200-retire,Hydro,2045,326940397.8,300509882.0,336244398.0
full-base-200-retire,Hydrogen,2045,312172.0,0.0,873054.0
full-base-200-retire,Natural Gas CC,2045,212042846.0,186527988.0,266588938.0
full-base-200-retire,Natural Gas CT,2045,2010488.5,1679134.0,2868486.0
full-base-200-retire,Nuclear,2045,710706179.2,630357820.0,743788226.0
full-base-200-retire,Solar,2045,1660437747.5,1624662781.0,1685205991.0
full-base-200-retire,Wind,2045,2319077255.8,2200013879.0,2431944357.0
full-base-200-retire,Battery,2050,193511080.5,121814648.0,230115116.0
full-base-200-retire,CCS,2050,1442400456.5,1388824046.0,1471217102.0
full-base-200-retire,Coal,2050,1329.5,268.0,2391.0
full-base-200-retire,Distributed Solar,2050,210748607.2,206731102.0,215514348.0
full-base-200-retire,Geothermal,2050,13211354.0,6804262.0,16056768.0
full-base-200-retire,Hydro,2050,327168394.8,301246100.0,336572665.0
full-base-200-retire,Hydrogen,2050,251380.3,0.0,686019.0
full-base-200-retire,Natural Gas CC,2050,199917133.5,175744452.0,251310638.0
full-base-200-retire,Natural Gas CT,2050,2022498.8,1539574.0,3230968.0
full-base-200-retire,Nuclear,2050,701575251.2,621768583.0,734454879.0
full-base-200-retire,Solar,2050,1920557363.5,1887717163.0,1954293354.0
