Zone,value,zone,planning_year,model,agg_zone,case,scenario,configuration,child_scenario
1.0,2.3262901973533814,BASN,2027.0,GenX,WECC,full-base-200,base,base,carbon_price
2.0,2.370348916849862,CANO,2027.0,GenX,CA,full-base-200,base,base,carbon_price
3.0,2.384732391306375,CASO,2027.0,GenX,CA,full-base-200,base,base,carbon_price
4.0,2.3035407484386226,FRCC,2027.0,GenX,SOU,full-base-200,base,base,carbon_price
5.0,19127.4472733746,ISNE,2027.0,GenX,NE,full-base-200,base,base,carbon_price
6.0,2.2757530412628255,MISC,2027.0,GenX,MISO,full-base-200,base,base,carbon_price
7.0,2.311598334229615,MISE,2027.0,GenX,MISO,full-base-200,base,base,carbon_price
8.0,2.275996279116049,MISS,2027.0,GenX,MISO,full-base-200,base,base,carbon_price
9.0,2.218044939281304,MISW,2027.0,GenX,MISO,full-base-200,base,base,carbon_price
10.0,2.3475688342412075,NWPP,2027.0,GenX,WECC,full-base-200,base,base,carbon_price
11.0,2105.741745723221,NYCW,2027.0,GenX,NE,full-base-200,base,base,carbon_price
12.0,2.384075746023178,NYUP,2027.0,GenX,NE,full-base-200,base,base,carbon_price
13.0,2.339161690920315,PJMC,2027.0,GenX,PJM,full-base-200,base,base,carbon_price
14.0,2.3407782598886366,PJMD,2027.0,GenX,PJM,full-base-200,base,base,carbon_price
15.0,2.2939143663115775,PJME,2027.0,GenX,PJM,full-base-200,base,base,carbon_price
16.0,2.1632482671296183,PJMW,2027.0,GenX,PJM,full-base-200,base,base,carbon_price
17.0,2.23953049450306,RMRG,2027.0,GenX,WECC,full-base-200,base,base,carbon_price
18.0,2.275290773037803,SPPC,2027.0,GenX,SPP,full-base-200,base,base,carbon_price
19.0,2.2826990776549554,SPPN,2027.0,GenX,SPP,full-base-200,base,base,carbon_price
20.0,2.2459476045348907,SPPS,2027.0,GenX,SPP,full-base-200,base,base,carbon_price
21.0,2.256259031826923,SRCA,2027.0,GenX,SOU,full-base-200,base,base,carbon_price
22.0,2.317202759967179,SRCE,2027.0,GenX,MISO,full-base-200,base,base,carbon_price
23.0,2.3200552470375913,SRSE,2027.0,GenX,SOU,full-base-200,base,base,carbon_price
24.0,2.3382242405730493,SRSG,2027.0,GenX,WECC,full-base-200,base,base,carbon_price
25.0,2.315312441666842,TRE,2027.0,GenX,TRE,full-base-200,base,base,carbon_price
26.0,2.386016165996966,TREW,2027.0,GenX,TRE,full-base-200,base,base,carbon_price
1.0,2.3093039415807546,BASN,2030.0,GenX,WECC,full-base-200,base,base,carbon_price
2.0,2.319650879575151,CANO,2030.0,GenX,CA,full-base-200,base,base,carbon_price
3.0,2.32834252075222,CASO,2030.0,GenX,CA,full-base-200,base,base,carbon_price
4.0,2.3173086187879446,FRCC,2030.0,GenX,SOU,full-base-200,base,base,carbon_price
5.0,10429.173097039771,ISNE,2030.0,GenX,NE,full-base-200,base,base,carbon_price
6.0,2.3076985816067968,MISC,2030.0,GenX,MISO,full-base-200,base,base,carbon_price
7.0,2.307580747800266,MISE,2030.0,GenX,MISO,full-base-200,base,base,carbon_price
8.0,2.3003514453730247,MISS,2030.0,GenX,MISO,full-base-200,base,base,carbon_price
9.0,2.302192466275903,MISW,2030.0,GenX,MISO,full-base-200,base,base,carbon_price
10.0,2.3235077959145705,NWPP,2030.0,GenX,WECC,full-base-200,base,base,carbon_price
11.0,2.3519234998157796,NYCW,2030.0,GenX,NE,full-base-200,base,base,carbon_price
12.0,2.314280309238948,NYUP,2030.0,GenX,NE,full-base-200,base,base,carbon_price
13.0,2.3239401919231284,PJMC,2030.0,GenX,PJM,full-base-200,base,base,carbon_price
14.0,2.320865596200822,PJMD,2030.0,GenX,PJM,full-base-200,base,base,carbon_price
15.0,2.3273249312776803,PJME,2030.0,GenX,PJM,full-base-200,base,base,carbon_price
16.0,2.3318832807951946,PJMW,2030.0,GenX,PJM,full-base-200,base,base,carbon_price
17.0,2.274220399667622,RMRG,2030.0,GenX,WECC,full-base-200,base,base,carbon_price
18.0,2.283688534331341,SPPC,2030.0,GenX,SPP,full-base-200,base,base,carbon_price
19.0,2.281037205429435,SPPN,2030.0,GenX,SPP,full-base-200,base,base,carbon_price
20.0,2.2909241182400826,SPPS,2030.0,GenX,SPP,full-base-200,base,base,carbon_price
21.0,2.3107220645033837,SRCA,2030.0,GenX,SOU,full-base-200,base,base,carbon_price
22.0,2.317431864567364,SRCE,2030.0,GenX,MISO,full-base-200,base,base,carbon_price
23.0,2.3247742448856457,SRSE,2030.0,GenX,SOU,full-base-200,base,base,carbon_price
24.0,2.3183414586060165,SRSG,2030.0,GenX,WECC,full-base-200,base,base,carbon_price
25.0,2.3200124812951413,TRE,2030.0,GenX,TRE,full-base-200,base,base,carbon_price
26.0,2.3156051750293294,TREW,2030.0,GenX,TRE,full-base-200,base,base,carbon_price
1.0,2.1441117339756346,BASN,2035.0,GenX,WECC,full-base-200,base,base,carbon_price
2.0,2.124694197379801,CANO,2035.0,GenX,CA,full-base-200,base,base,carbon_price
3.0,2.1159462743643176,CASO,2035.0,GenX,CA,full-base-200,base,base,carbon_price
4.0,2.070413838107874,FRCC,2035.0,GenX,SOU,full-base-200,base,base,carbon_price
5.0,57373.91694178952,ISNE,2035.0,GenX,NE,full-base-200,base,base,carbon_price
6.0,2.0356438585621257,MISC,2035.0,GenX,MISO,full-base-200,base,base,carbon_price
7.0,2.076880515940865,MISE,2035.0,GenX,MISO,full-base-200,base,base,carbon_price
8.0,2.01884129205463,MISS,2035.0,GenX,MISO,full-base-200,base,base,carbon_price
9.0,2.058047315920043,MISW,2035.0,GenX,MISO,full-base-200,base,base,carbon_price
10.0,2.170471367352956,NWPP,2035.0,GenX,WECC,full-base-200,base,base,carbon_price
11.0,2160.998414574115,NYCW,2035.0,GenX,NE,full-base-200,base,base,carbon_price
12.0,2.1706608470942563,NYUP,2035.0,GenX,NE,full-base-200,base,base,carbon_price
13.0,2.199099981556771,PJMC,2035.0,GenX,PJM,full-base-200,base,base,carbon_price
14.0,2.1048354016307687,PJMD,2035.0,GenX,PJM,full-base-200,base,base,carbon_price
15.0,2.0800011698787495,PJME,2035.0,GenX,PJM,full-base-200,base,base,carbon_price
16.0,2.155933991826873,PJMW,2035.0,GenX,PJM,full-base-200,base,base,carbon_price
17.0,1.9373701580068008,RMRG,2035.0,GenX,WECC,full-base-200,base,base,carbon_price
18.0,1.9983897491835148,SPPC,2035.0,GenX,SPP,full-base-200,base,base,carbon_price
19.0,2.0017463614549427,SPPN,2035.0,GenX,SPP,full-base-200,base,base,carbon_price
20.0,2.003969721364289,SPPS,2035.0,GenX,SPP,full-base-200,base,base,carbon_price
21.0,2.0410174117895865,SRCA,2035.0,GenX,SOU,full-base-200,base,base,carbon_price
22.0,2.073627636147217,SRCE,2035.0,GenX,MISO,full-base-200,base,base,carbon_price
23.0,2.0588292031027566,SRSE,2035.0,GenX,SOU,full-base-200,base,base,carbon_price
24.0,2.0979776543657436,SRSG,2035.0,GenX,WECC,full-base-200,base,base,carbon_price
25.0,2.046044670615971,TRE,2035.0,GenX,TRE,full-base-200,base,base,carbon_price
26.0,2.1812494647433263,TREW,2035.0,GenX,TRE,full-base-200,base,base,carbon_price
1.0,2.5435961059698844,BASN,2040.0,GenX,WECC,full-base-200,base,base,carbon_price
2.0,2.4806455373104233,CANO,2040.0,GenX,CA,full-base-200,base,base,carbon_price
3.0,2.484040919322744,CASO,2040.0,GenX,CA,full-base-200,base,base,carbon_price
4.0,2.4261948712377435,FRCC,2040.0,GenX,SOU,full-base-200,base,base,carbon_price
5.0,84156.40430672286,ISNE,2040.0,GenX,NE,full-base-200,base,base,carbon_price
6.0,2.4379119221243246,MISC,2040.0,GenX,MISO,full-base-200,base,base,carbon_price
7.0,2.6034334653444655,MISE,2040.0,GenX,MISO,full-base-200,base,base,carbon_price
8.0,2.3788956603959797,MISS,2040.0,GenX,MISO,full-base-200,base,base,carbon_price
9.0,2.3971403882861133,MISW,2040.0,GenX,MISO,full-base-200,base,base,carbon_price
10.0,3764.161523804232,NWPP,2040.0,GenX,WECC,full-base-200,base,base,carbon_price
11.0,2265.4257035627616,NYCW,2040.0,GenX,NE,full-base-200,base,base,carbon_price
12.0,2.574739460683856,NYUP,2040.0,GenX,NE,full-base-200,base,base,carbon_price
13.0,2.6317525188528443,PJMC,2040.0,GenX,PJM,full-base-200,base,base,carbon_price
14.0,2.488873260057814,PJMD,2040.0,GenX,PJM,full-base-200,base,base,carbon_price
15.0,2.3906696404601377,PJME,2040.0,GenX,PJM,full-base-200,base,base,carbon_price
16.0,2.430790968118224,PJMW,2040.0,GenX,PJM,full-base-200,base,base,carbon_price
17.0,2.4383817531925622,RMRG,2040.0,GenX,WECC,full-base-200,base,base,carbon_price
18.0,2.3618133423855436,SPPC,2040.0,GenX,SPP,full-base-200,base,base,carbon_price
19.0,2.3470416764391144,SPPN,2040.0,GenX,SPP,full-base-200,base,base,carbon_price
20.0,2.3483134545936517,SPPS,2040.0,GenX,SPP,full-base-200,base,base,carbon_price
21.0,2.460830387380432,SRCA,2040.0,GenX,SOU,full-base-200,base,base,carbon_price
22.0,2.410596559021422,SRCE,2040.0,GenX,MISO,full-base-200,base,base,carbon_price
23.0,2.371682587322346,SRSE,2040.0,GenX,SOU,full-base-200,base,base,carbon_price
24.0,2.500385578841707,SRSG,2040.0,GenX,WECC,full-base-200,base,base,carbon_price
25.0,2.37955123108044,TRE,2040.0,GenX,TRE,full-base-200,base,base,carbon_price
26.0,2.6018704058111126,TREW,2040.0,GenX,TRE,full-base-200,base,base,carbon_price
1.0,2845.52438519857,BASN,2045.0,GenX,WECC,full-base-200,base,base,carbon_price
2.0,4.56603027650445,CANO,2045.0,GenX,CA,full-base-200,base,base,carbon_price
3.0,4.588599438415966,CASO,2045.0,GenX,CA,full-base-200,base,base,carbon_price
4.0,4.545802725783222,FRCC,2045.0,GenX,SOU,full-base-200,base,base,carbon_price
5.0,95018.27282480274,ISNE,2045.0,GenX,NE,full-base-200,base,base,carbon_price
6.0,4.556195634619503,MISC,2045.0,GenX,MISO,full-base-200,base,base,carbon_price
7.0,4.553704073603949,MISE,2045.0,GenX,MISO,full-base-200,base,base,carbon_price
8.0,4.505451754791204,MISS,2045.0,GenX,MISO,full-base-200,base,base,carbon_price
9.0,358.43626265229994,MISW,2045.0,GenX,MISO,full-base-200,base,base,carbon_price
10.0,20029.04580859057,NWPP,2045.0,GenX,WECC,full-base-200,base,base,carbon_price
11.0,3136.1287090077262,NYCW,2045.0,GenX,NE,full-base-200,base,base,carbon_price
12.0,4.596782748973154,NYUP,2045.0,GenX,NE,full-base-200,base,base,carbon_price
13.0,4.605050616004245,PJMC,2045.0,GenX,PJM,full-base-200,base,base,carbon_price
14.0,4.56636294410276,PJMD,2045.0,GenX,PJM,full-base-200,base,base,carbon_price
15.0,4.609925614465428,PJME,2045.0,GenX,PJM,full-base-200,base,base,carbon_price
16.0,4.5846801256804115,PJMW,2045.0,GenX,PJM,full-base-200,base,base,carbon_price
17.0,4.512714871088677,RMRG,2045.0,GenX,WECC,full-base-200,base,base,carbon_price
18.0,4.496312409750385,SPPC,2045.0,GenX,SPP,full-base-200,base,base,carbon_price
19.0,4.429006290612006,SPPN,2045.0,GenX,SPP,full-base-200,base,base,carbon_price
20.0,4.531415148584918,SPPS,2045.0,GenX,SPP,full-base-200,base,base,carbon_price
21.0,4.561224250727184,SRCA,2045.0,GenX,SOU,full-base-200,base,base,carbon_price
22.0,4.542942554146281,SRCE,2045.0,GenX,MISO,full-base-200,base,base,carbon_price
23.0,4.539537968289393,SRSE,2045.0,GenX,SOU,full-base-200,base,base,carbon_price
24.0,4.5718063626718894,SRSG,2045.0,GenX,WECC,full-base-200,base,base,carbon_price
25.0,4.562939141249018,TRE,2045.0,GenX,TRE,full-base-200,base,base,carbon_price
26.0,4.554846176472052,TREW,2045.0,GenX,TRE,full-base-200,base,base,carbon_price
1.0,2976.062645355115,BASN,2050.0,GenX,WECC,full-base-200,base,base,carbon_price
2.0,7.261008701132048,CANO,2050.0,GenX,CA,full-base-200,base,base,carbon_price
3.0,7.205603667512176,CASO,2050.0,GenX,CA,full-base-200,base,base,carbon_price
4.0,7.253919655718184,FRCC,2050.0,GenX,SOU,full-base-200,base,base,carbon_price
5.0,78461.12397882942,ISNE,2050.0,GenX,NE,full-base-200,base,base,carbon_price
