Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
AnnualSum,0.0,233380.37402657207,216781.5065329074,174657.08130745246,65187.68367863315,151526.69850567545,70043.4446447057,124930.97485695175,301001.81551605795,433585.2454471228,346525.76869677426,270500.07699912024,308745.6011159554,138693.66374915044,4870.123019289496,160995.10060942898,111033.84607136765,3.112459004777166e6
t1,0.0,7.982964030730999e-6,1.2449711670982281e-5,22.076047734847677,7.216927266914719,2.2991484715744492e-5,6.282282205687722,20.284605270615575,7.864123878366508e-6,37.54404974352252,0.1628516264823064,20.11427583983732,36.44544728704783,5.664297163890644,5.7266036536913135e-6,19.40399961262126,15.074385849067978,190.2692266154235
t2,0.0,9.685814335990868,7.106937279255686e-6,6.569341442158375e-6,5.967266421064215,6.154867439186095e-6,3.2158348744395555,19.995576652667182,7.795694322911083e-6,33.73683909264448,1.403952027299077e-5,13.989294275522774,26.907757755255346,11.37701513891382,5.957149261877446e-6,19.403999568312834,15.074385689675811,159.3538314279969
t3,0.0,19.306980102081223,7.217492883323918e-6,6.65009937478778e-6,5.500785784207212,6.286928208354745e-6,2.6260545870872556,18.74463850423237,7.465737541718862e-6,34.017459534710454,1.0025028381938902e-5,8.950922743490933,26.903966516677084,9.537597593968478,5.959538782543377e-6,19.403999544458593,15.07438569923334,160.06683421497215
t4,0.0,28.159994059521697,8.904524494383715,1.0700912606656253e-5,4.062623601373865,1.8854681212576394,0.1249721454280632,17.286319180737614,7.3140955689836196e-6,29.089055631095444,8.859569488238813e-6,2.895007713935434,18.126164095468784,9.749466676805428,6.100423118798845e-6,19.403999475915047,15.07438573169416,154.76201390261767
t5,0.0,28.159994188174096,8.620351177381602,1.1003301096104839e-5,3.432672216733761,13.040462052487412,0.15908124489761785,17.840115263298937,7.531589290034547e-6,31.44340593405152,8.84589802635889e-6,4.0449686785359455,22.44900134865179,8.149257751635963,6.090421805698691e-6,19.403999490331156,15.074385772684904,171.81772859007492
t6,0.0,28.15997954303777,1.0259885826280676e-5,6.896731393208275e-6,3.5076599615194386,20.15149540501276,1.1431600140800287,16.202133807712784,7.6097932777138044e-6,32.12944063199101,7.875913634839997e-6,4.783839218144,26.48292388453015,7.561207963595273,5.965185932459033e-6,19.403999541320285,15.074385679968039,174.60026425842156
t7,0.0,28.159996530446545,30.119981162487267,1.1355233852830078,9.334490097010837,2.020295901352801e-5,11.575671318958447,14.407969481722777,8.598879501286606e-6,53.351737649714686,0.09754142816303205,16.646911842934074,34.76523690185192,8.94576626507184,5.717657447766553e-6,19.40399960136119,15.07438564375385,243.01924582825546
t8,0.0,28.159994637997094,28.33334802811203,7.100276574051686e-6,9.607322201770115,25.399999934587886,12.349997850894285,14.734384748194893,17.953683606548353,54.179992149478196,56.322999902480255,36.33454185186151,45.212391965097275,9.781830374664628,5.54909727652051e-6,19.403999631616763,15.074386563344724,372.8488860960219
t9,0.0,28.159996346669672,30.119986057738025,21.29351925000112,9.51403778824334,2.4358110146891157e-5,10.974537660914148,11.842593058876567,28.19014642001278,54.179992896478794,0.26665872719407185,46.34418545837272,43.353615499035236,18.89334208421836,6.63302779360582e-6,19.403999694351707,15.074385591642177,337.61102752488665
t10,0.0,28.159999530440963,30.11999930266662,34.87365061907667,10.421999324517783,2.3540604731096004,10.656124782168298,9.780251898602597,52.12364828509319,54.17999130462459,16.474513103851635,44.6321532888535,41.593377626114155,20.89799972799681,1.679999853751547,19.4039997631401,15.074383167264452,392.42615205127254
