Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,17934,14807,22885,23810,21778,25520,11634,21166,28827,33513,10559,9099,14448,12776,34812,37178,15377,11139,7040,17149,24860,25393,27711,17944,46371,2211
,,,,,,,168.0,2,17337,14104,21798,22242,20971,24217,11154,20007,27746,31761,10177,8777,13675,12386,33268,35856,14843,9674,6093,14738,24351,24578,26777,17251,44460,2120
,,,,,,,168.0,3,16665,13395,20703,21434,20557,23722,10773,19368,26500,30269,9976,8562,13361,12320,32681,35241,14330,9453,5896,14226,24759,24106,26311,16677,43416,2072
,,,,,,,168.0,4,16140,12629,19516,21180,20099,23549,10591,19092,26220,29041,9715,8296,13019,12371,32584,35041,13789,9493,5863,14063,25309,23869,26202,16502,42953,2058
,,,,,,,168.0,5,15724,11911,18404,21316,19912,23636,10481,18754,26067,27757,9512,8101,12753,12492,32838,35114,14202,9576,5878,13922,26102,23758,26261,16187,42729,2057
,,,,,,,168.0,6,15749,11717,18104,22099,20303,23797,10533,18642,26067,27487,9512,8084,12762,12974,33710,35614,14148,9699,5922,13915,27376,23965,26623,16191,42849,2069
,,,,,,,168.0,7,15716,11569,17877,23018,20896,24443,10854,19018,26750,27479,9749,8223,12931,13511,35304,36597,14023,9943,6092,14243,28598,24517,27258,16342,43763,2118
,,,,,,,168.0,8,15832,11559,17865,25538,20106,25000,11161,19347,27684,27691,9664,8158,13307,13849,35369,37331,14147,10261,6316,14610,29146,24934,27918,16661,45641,2225
,,,,,,,168.0,9,16223,11805,18248,27773,19005,25481,11380,19857,28950,28652,9555,8050,13696,14071,36034,38182,14351,10273,6535,14913,28241,25567,28534,17286,45986,2231
,,,,,,,168.0,10,16706,12374,19140,29670,19205,26086,11791,20428,30032,31056,9641,8136,14029,14070,36786,39196,14725,10305,6674,15166,27064,26004,28836,17317,47156,2289
,,,,,,,168.0,11,16645,12041,18614,31291,19845,26803,12354,21393,31540,31727,10002,8436,14513,13847,37614,39934,15181,10573,6908,15566,26287,26506,29158,17497,48712,2360
,,,,,,,168.0,12,16756,12375,19130,32631,20091,27241,12756,21915,32759,33500,10176,8628,14696,13925,37962,40703,15544,10820,7086,15724,26224,27012,29847,17609,49771,2412
,,,,,,,168.0,13,17094,12878,19907,33722,20536,27841,13333,22486,33854,34797,10522,8918,15075,14201,38942,41983,15817,10941,7237,16037,26274,27607,30597,17801,49969,2409
,,,,,,,168.0,14,17330,13480,20841,34050,20512,28202,13578,23050,35310,35810,10619,9015,15597,14041,38754,42199,16086,11153,7460,16402,25676,27713,30558,18040,50644,2442
,,,,,,,168.0,15,17567,13837,21393,33619,20559,28091,13660,22826,35277,35311,10702,9114,15732,14199,38888,42246,16960,11088,7512,16234,25722,27700,30346,18235,50047,2413
,,,,,,,168.0,16,17820,14369,22223,33390,20484,28193,13885,22893,35544,35814,10727,9125,15815,14354,39538,42782,16926,11101,7573,16318,26397,28169,30639,18278,49456,2377
,,,,,,,168.0,17,17649,14451,22348,34517,20749,29004,14286,23183,36323,35411,10788,9151,16324,15220,42351,44472,17219,11281,7675,16470,28776,29712,32025,18322,49379,2371
,,,,,,,168.0,18,17680,14549,22500,36376,21987,30771,15455,23855,39112,34636,11185,9447,17389,15942,44763,46446,17459,11931,8026,16995,29280,31732,34205,18365,50052,2408
