model,line,line_name,planning_year,case,unit,value
TEMOA,43,RMRG_to_SPPC,2035,base_52_tx15,MW,399.836
TEMOA,44,RMRG_to_SPPN,2035,base_52_tx15,MW,399.832
TEMOA,45,RMRG_to_SRSG,2035,base_52_tx15,MW,399.343
TEMOA,46,SPPC_to_SPPN,2035,base_52_tx15,MW,399.432
TEMOA,47,SPPC_to_SPPS,2035,base_52_tx15,MW,499.394
TEMOA,48,SPPN_to_SPPS,2035,base_52_tx15,MW,399.266
TEMOA,49,SPPS_to_SRSG,2035,base_52_tx15,MW,399.473
TEMOA,50,SPPS_to_TRE,2035,base_52_tx15,MW,399.729
TEMOA,51,SPPS_to_TREW,2035,base_52_tx15,MW,399.747
TEMOA,52,SRCA_to_SRCE,2035,base_52_tx15,MW,44.9939
TEMOA,53,SRCA_to_SRSE,2035,base_52_tx15,MW,17.8017
TEMOA,54,SRCE_to_SRSE,2035,base_52_tx15,MW,358.475
TEMOA,55,TRE_to_TREW,2035,base_52_tx15,MW,19.2082
TEMOA,56,NWPP_to_SPPN,2035,base_52_tx15,MW,399.057
TEMOA,57,SRSG_to_TRE,2035,base_52_tx15,MW,397.792
TEMOA,1,BASN_to_CANO,2040,base_52_tx15,MW,17.772
TEMOA,2,BASN_to_CASO,2040,base_52_tx15,MW,16.7018
TEMOA,4,BASN_to_RMRG,2040,base_52_tx15,MW,500.459
TEMOA,6,CANO_to_CASO,2040,base_52_tx15,MW,14.0727
TEMOA,7,CANO_to_NWPP,2040,base_52_tx15,MW,19.8789
TEMOA,8,CASO_to_NWPP,2040,base_52_tx15,MW,12.0958
TEMOA,9,CASO_to_SRSG,2040,base_52_tx15,MW,84.4762
TEMOA,10,FRCC_to_SRSE,2040,base_52_tx15,MW,18.1192
TEMOA,11,ISNE_to_NYCW,2040,base_52_tx15,MW,399.95
TEMOA,12,ISNE_to_NYUP,2040,base_52_tx15,MW,399.647
TEMOA,13,MISC_to_MISE,2040,base_52_tx15,MW,383.736
TEMOA,14,MISC_to_MISS,2040,base_52_tx15,MW,60.6392
TEMOA,15,MISC_to_MISW,2040,base_52_tx15,MW,21.2382
TEMOA,16,MISC_to_PJMC,2040,base_52_tx15,MW,22.6494
TEMOA,17,MISC_to_PJMW,2040,base_52_tx15,MW,283.424
TEMOA,18,MISC_to_SPPC,2040,base_52_tx15,MW,399.484
TEMOA,19,MISC_to_SPPN,2040,base_52_tx15,MW,399.326
TEMOA,20,MISC_to_SPPS,2040,base_52_tx15,MW,399.15
TEMOA,21,MISC_to_SRCE,2040,base_52_tx15,MW,31.4822
TEMOA,22,MISE_to_MISW,2040,base_52_tx15,MW,396.484
TEMOA,23,MISE_to_PJMW,2040,base_52_tx15,MW,19.2072
TEMOA,24,MISS_to_SPPC,2040,base_52_tx15,MW,399.746
TEMOA,25,MISS_to_SPPS,2040,base_52_tx15,MW,399.766
TEMOA,26,MISS_to_SRCE,2040,base_52_tx15,MW,16.3095
TEMOA,27,MISS_to_SRSE,2040,base_52_tx15,MW,92.4513
TEMOA,28,MISW_to_NWPP,2040,base_52_tx15,MW,397.312
TEMOA,29,MISW_to_PJMC,2040,base_52_tx15,MW,477.392
TEMOA,30,MISW_to_SPPC,2040,base_52_tx15,MW,77.9291
TEMOA,31,MISW_to_SPPN,2040,base_52_tx15,MW,14.7788
TEMOA,32,NWPP_to_RMRG,2040,base_52_tx15,MW,389.88
TEMOA,33,NYCW_to_NYUP,2040,base_52_tx15,MW,399.953
TEMOA,34,NYCW_to_PJME,2040,base_52_tx15,MW,399.894
TEMOA,35,NYUP_to_PJME,2040,base_52_tx15,MW,399.619
TEMOA,36,PJMC_to_PJMW,2040,base_52_tx15,MW,398.973
TEMOA,37,PJMD_to_PJME,2040,base_52_tx15,MW,399.902
TEMOA,38,PJMD_to_PJMW,2040,base_52_tx15,MW,703.745
TEMOA,39,PJMD_to_SRCA,2040,base_52_tx15,MW,396.939
TEMOA,40,PJME_to_PJMW,2040,base_52_tx15,MW,582.651
TEMOA,41,PJMW_to_SRCA,2040,base_52_tx15,MW,16.9198
TEMOA,42,PJMW_to_SRCE,2040,base_52_tx15,MW,76.1762
TEMOA,43,RMRG_to_SPPC,2040,base_52_tx15,MW,399.842
TEMOA,44,RMRG_to_SPPN,2040,base_52_tx15,MW,399.835
TEMOA,45,RMRG_to_SRSG,2040,base_52_tx15,MW,399.402
TEMOA,46,SPPC_to_SPPN,2040,base_52_tx15,MW,399.284
TEMOA,47,SPPC_to_SPPS,2040,base_52_tx15,MW,425.313
TEMOA,48,SPPN_to_SPPS,2040,base_52_tx15,MW,399.348
TEMOA,49,SPPS_to_SRSG,2040,base_52_tx15,MW,399.655
TEMOA,50,SPPS_to_TRE,2040,base_52_tx15,MW,399.766
TEMOA,51,SPPS_to_TREW,2040,base_52_tx15,MW,399.763
TEMOA,52,SRCA_to_SRCE,2040,base_52_tx15,MW,65.2626
TEMOA,53,SRCA_to_SRSE,2040,base_52_tx15,MW,18.6878
TEMOA,54,SRCE_to_SRSE,2040,base_52_tx15,MW,244.543
TEMOA,55,TRE_to_TREW,2040,base_52_tx15,MW,19.2478
TEMOA,56,NWPP_to_SPPN,2040,base_52_tx15,MW,399.172
TEMOA,57,SRSG_to_TRE,2040,base_52_tx15,MW,397.734
TEMOA,1,BASN_to_CANO,2045,base_52_tx15,MW,11.8998
TEMOA,2,BASN_to_CASO,2045,base_52_tx15,MW,11.4939
TEMOA,4,BASN_to_RMRG,2045,base_52_tx15,MW,543.595
TEMOA,7,CANO_to_NWPP,2045,base_52_tx15,MW,21.2125
TEMOA,8,CASO_to_NWPP,2045,base_52_tx15,MW,11.9792
TEMOA,9,CASO_to_SRSG,2045,base_52_tx15,MW,319.653
TEMOA,10,FRCC_to_SRSE,2045,base_52_tx15,MW,14.7542
TEMOA,11,ISNE_to_NYCW,2045,base_52_tx15,MW,399.966
TEMOA,12,ISNE_to_NYUP,2045,base_52_tx15,MW,399.547
TEMOA,13,MISC_to_MISE,2045,base_52_tx15,MW,141.547
TEMOA,14,MISC_to_MISS,2045,base_52_tx15,MW,68.324
TEMOA,15,MISC_to_MISW,2045,base_52_tx15,MW,20.6458
TEMOA,16,MISC_to_PJMC,2045,base_52_tx15,MW,16.6171
TEMOA,17,MISC_to_PJMW,2045,base_52_tx15,MW,348.565
TEMOA,18,MISC_to_SPPC,2045,base_52_tx15,MW,399.419
TEMOA,19,MISC_to_SPPN,2045,base_52_tx15,MW,399.184
TEMOA,20,MISC_to_SPPS,2045,base_52_tx15,MW,398.787
TEMOA,21,MISC_to_SRCE,2045,base_52_tx15,MW,24.1066
TEMOA,22,MISE_to_MISW,2045,base_52_tx15,MW,385.204
TEMOA,23,MISE_to_PJMW,2045,base_52_tx15,MW,18.4811
TEMOA,24,MISS_to_SPPC,2045,base_52_tx15,MW,399.709
TEMOA,25,MISS_to_SPPS,2045,base_52_tx15,MW,399.882
TEMOA,26,MISS_to_SRCE,2045,base_52_tx15,MW,14.6217
TEMOA,27,MISS_to_SRSE,2045,base_52_tx15,MW,115.768
TEMOA,28,MISW_to_NWPP,2045,base_52_tx15,MW,398.223
TEMOA,29,MISW_to_PJMC,2045,base_52_tx15,MW,477.325
TEMOA,30,MISW_to_SPPC,2045,base_52_tx15,MW,89.5763
TEMOA,31,MISW_to_SPPN,2045,base_52_tx15,MW,13.5983
TEMOA,32,NWPP_to_RMRG,2045,base_52_tx15,MW,399.768
TEMOA,33,NYCW_to_NYUP,2045,base_52_tx15,MW,399.963
