hour,resource_name,tech_type,value,zone,planning_year,model,case
337,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,527,1,2030,p4_Mod_Elect_Low_RE,Results_p1
338,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,438,1,2030,p4_Mod_Elect_Low_RE,Results_p1
339,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,350,1,2030,p4_Mod_Elect_Low_RE,Results_p1
340,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,438,1,2030,p4_Mod_Elect_Low_RE,Results_p1
341,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,527,1,2030,p4_Mod_Elect_Low_RE,Results_p1
342,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,615,1,2030,p4_Mod_Elect_Low_RE,Results_p1
343,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,704,1,2030,p4_Mod_Elect_Low_RE,Results_p1
344,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,730,1,2030,p4_Mod_Elect_Low_RE,Results_p1
345,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,641,1,2030,p4_Mod_Elect_Low_RE,Results_p1
346,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p4_Mod_Elect_Low_RE,Results_p1
347,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,472,1,2030,p4_Mod_Elect_Low_RE,Results_p1
348,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,398,1,2030,p4_Mod_Elect_Low_RE,Results_p1
349,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,347,1,2030,p4_Mod_Elect_Low_RE,Results_p1
350,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,397,1,2030,p4_Mod_Elect_Low_RE,Results_p1
351,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,471,1,2030,p4_Mod_Elect_Low_RE,Results_p1
352,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,552,1,2030,p4_Mod_Elect_Low_RE,Results_p1
353,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p4_Mod_Elect_Low_RE,Results_p1
354,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,580,1,2030,p4_Mod_Elect_Low_RE,Results_p1
355,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,669,1,2030,p4_Mod_Elect_Low_RE,Results_p1
356,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,757,1,2030,p4_Mod_Elect_Low_RE,Results_p1
357,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,678,1,2030,p4_Mod_Elect_Low_RE,Results_p1
358,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,589,1,2030,p4_Mod_Elect_Low_RE,Results_p1
359,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p4_Mod_Elect_Low_RE,Results_p1
360,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p4_Mod_Elect_Low_RE,Results_p1
361,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p4_Mod_Elect_Low_RE,Results_p1
362,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p4_Mod_Elect_Low_RE,Results_p1
363,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,463,1,2030,p4_Mod_Elect_Low_RE,Results_p1
364,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,408,1,2030,p4_Mod_Elect_Low_RE,Results_p1
365,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,496,1,2030,p4_Mod_Elect_Low_RE,Results_p1
366,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,584,1,2030,p4_Mod_Elect_Low_RE,Results_p1
367,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,639,1,2030,p4_Mod_Elect_Low_RE,Results_p1
368,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,551,1,2030,p4_Mod_Elect_Low_RE,Results_p1
369,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,462,1,2030,p4_Mod_Elect_Low_RE,Results_p1
370,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,374,1,2030,p4_Mod_Elect_Low_RE,Results_p1
371,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,462,1,2030,p4_Mod_Elect_Low_RE,Results_p1
372,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,550,1,2030,p4_Mod_Elect_Low_RE,Results_p1
373,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,588,1,2030,p4_Mod_Elect_Low_RE,Results_p1
374,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,567,1,2030,p4_Mod_Elect_Low_RE,Results_p1
375,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,530,1,2030,p4_Mod_Elect_Low_RE,Results_p1
376,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,516,1,2030,p4_Mod_Elect_Low_RE,Results_p1
377,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,583,1,2030,p4_Mod_Elect_Low_RE,Results_p1
378,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,671,1,2030,p4_Mod_Elect_Low_RE,Results_p1
379,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,760,1,2030,p4_Mod_Elect_Low_RE,Results_p1
380,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,671,1,2030,p4_Mod_Elect_Low_RE,Results_p1
381,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,583,1,2030,p4_Mod_Elect_Low_RE,Results_p1
382,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,533,1,2030,p4_Mod_Elect_Low_RE,Results_p1
383,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,567,1,2030,p4_Mod_Elect_Low_RE,Results_p1
384,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,498,1,2030,p4_Mod_Elect_Low_RE,Results_p1
289,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1645,2,2030,p4_Mod_Elect_Low_RE,Results_p1
290,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1538,2,2030,p4_Mod_Elect_Low_RE,Results_p1
291,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1658,2,2030,p4_Mod_Elect_Low_RE,Results_p1
292,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1826,2,2030,p4_Mod_Elect_Low_RE,Results_p1
293,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1877,2,2030,p4_Mod_Elect_Low_RE,Results_p1
294,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1889,2,2030,p4_Mod_Elect_Low_RE,Results_p1
295,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1888,2,2030,p4_Mod_Elect_Low_RE,Results_p1
296,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1898,2,2030,p4_Mod_Elect_Low_RE,Results_p1
297,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1882,2,2030,p4_Mod_Elect_Low_RE,Results_p1
298,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1768,2,2030,p4_Mod_Elect_Low_RE,Results_p1
299,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1612,2,2030,p4_Mod_Elect_Low_RE,Results_p1
300,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1482,2,2030,p4_Mod_Elect_Low_RE,Results_p1
301,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1415,2,2030,p4_Mod_Elect_Low_RE,Results_p1
302,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1477,2,2030,p4_Mod_Elect_Low_RE,Results_p1
303,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1609,2,2030,p4_Mod_Elect_Low_RE,Results_p1
304,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1770,2,2030,p4_Mod_Elect_Low_RE,Results_p1
305,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1831,2,2030,p4_Mod_Elect_Low_RE,Results_p1
306,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1974,2,2030,p4_Mod_Elect_Low_RE,Results_p1
307,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2067,2,2030,p4_Mod_Elect_Low_RE,Results_p1
308,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2093,2,2030,p4_Mod_Elect_Low_RE,Results_p1
309,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,2050,2,2030,p4_Mod_Elect_Low_RE,Results_p1
310,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1942,2,2030,p4_Mod_Elect_Low_RE,Results_p1
311,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1786,2,2030,p4_Mod_Elect_Low_RE,Results_p1
312,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1787,2,2030,p4_Mod_Elect_Low_RE,Results_p1
313,NY_Z_A_conventional_hydroelectric_1,Conventional Hydroelectric,1788,2,2030,p4_Mod_Elect_Low_RE,Results_p1
