model,zone,resource_name,tech_type,planning_year,case,timestep,new_build,existing,unit,value
p4_Mod_Elect_Low_RE,8,NY_Z_J_trans_light_duty_1,trans_light_duty,2030,Results_p1,all,0,1,MWh,539864.1936786728
p4_Mod_Elect_Low_RE,9,NY_Z_K_trans_light_duty_1,trans_light_duty,2030,Results_p1,all,0,1,MWh,186674.61690059316
p4_Mod_Elect_Low_RE,10,PJM_EMAC_trans_light_duty_1,trans_light_duty,2030,Results_p1,all,0,1,MWh,1688878.6581852266
p4_Mod_Elect_Low_RE,11,PJM_Rest_trans_light_duty_1,trans_light_duty,2030,Results_p1,all,0,1,MWh,5037496.603668849
p4_Mod_Elect_Low_RE,1,NENG_Rest_trans_light_duty_1,trans_light_duty,2030,Results_p1,all,0,1,MWh,1389510.908659876
p4_Mod_Elect_Low_RE,1,NENG_Rest_biomass_1,Biomass,2030,Results_p1,all,0,1,MWh,266448.0
p4_Mod_Elect_Low_RE,1,NENG_Rest_biomass_2,Biomass,2030,Results_p1,all,0,1,MWh,505814.3999999994
p4_Mod_Elect_Low_RE,1,NENG_Rest_biomass_3,Biomass,2030,Results_p1,all,0,1,MWh,947856.0
p4_Mod_Elect_Low_RE,1,NENG_Rest_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,1747319.526060579
p4_Mod_Elect_Low_RE,2,NY_Z_A_biomass_1,Biomass,2030,Results_p1,all,0,1,MWh,215779.1999999997
p4_Mod_Elect_Low_RE,2,NY_Z_A_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,5614.535499999998
p4_Mod_Elect_Low_RE,3,NY_Z_B_biomass_1,Biomass,2030,Results_p1,all,0,1,MWh,98716.79999999976
p4_Mod_Elect_Low_RE,3,NY_Z_B_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,270508.6233999999
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_biomass_1,Biomass,2030,Results_p1,all,0,1,MWh,662188.7999999989
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,972519.9108800002
p4_Mod_Elect_Low_RE,5,NY_Z_D_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,214926.5295
p4_Mod_Elect_Low_RE,6,NY_Z_F_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,436592.5501599999
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,84166.46079999997
p4_Mod_Elect_Low_RE,10,PJM_EMAC_biomass_1,Biomass,2030,Results_p1,all,0,1,MWh,1355827.200000003
p4_Mod_Elect_Low_RE,10,PJM_EMAC_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,24750.867119999988
p4_Mod_Elect_Low_RE,11,PJM_Rest_biomass_1,Biomass,2030,Results_p1,all,0,1,MWh,1172371.2000000018
p4_Mod_Elect_Low_RE,11,PJM_Rest_biomass_2,Biomass,2030,Results_p1,all,0,1,MWh,677040.0
p4_Mod_Elect_Low_RE,11,PJM_Rest_small_hydroelectric_1,Small Hydroelectric,2030,Results_p1,all,0,1,MWh,782656.9153911674
p4_Mod_Elect_Low_RE,1,NENG_Rest_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,8057347.091415341
p4_Mod_Elect_Low_RE,2,NY_Z_A_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,287575.15691413416
p4_Mod_Elect_Low_RE,3,NY_Z_B_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,217279.01363534047
p4_Mod_Elect_Low_RE,4,NY_Z_C&E_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,431362.7740605231
p4_Mod_Elect_Low_RE,5,NY_Z_D_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,49526.83768766266
p4_Mod_Elect_Low_RE,6,NY_Z_F_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,263610.53638342064
p4_Mod_Elect_Low_RE,7,NY_Z_G-I_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,487280.1988507744
p4_Mod_Elect_Low_RE,8,NY_Z_J_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,1747818.069428516
p4_Mod_Elect_Low_RE,9,NY_Z_K_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,595919.7188056592
p4_Mod_Elect_Low_RE,10,PJM_EMAC_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,9590094.301640691
p4_Mod_Elect_Low_RE,11,PJM_Rest_distributed_generation_1,distributed_generation,2030,Results_p1,all,0,1,MWh,15576272.405629992
