model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value,new_build,existing
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_battery_advanced_0,Battery_*_Advanced,2030,Results_p1,MW,1067.6,1067.6,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_biomass_1,Biomass,2030,Results_p1,MW,2434.9,2434.9,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_biomass_2,Biomass,2030,Results_p1,MW,0.0,0.0,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_biomass_3,Biomass,2030,Results_p1,MW,63.3,63.3,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_conventional_hydroelectric_1,Conventional Hydroelectric,2030,Results_p1,MW,809.6,809.6,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_conventional_steam_coal_1,Conventional Steam Coal,2030,Results_p1,MW,274.6,274.6,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_distributed_generation_1,distributed_generation,2030,Results_p1,MW,572.0,572.0,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,2030,Results_p1,MW,1507.8,1507.8,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_1,LandbasedWind_Class1_Advanced_,2030,Results_p1,MW,438.0,437.999999887617,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_2,LandbasedWind_Class1_Advanced_,2030,Results_p1,MW,3721.9,3721.899999043019,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_3,LandbasedWind_Class1_Advanced_,2030,Results_p1,MW,10513.3,10513.299980547132,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_4,LandbasedWind_Class1_Advanced_,2030,Results_p1,MW,933.2,933.1999948320416,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_5,LandbasedWind_Class1_Advanced_,2030,Results_p1,MW,602.4,602.3999864697554,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_6,LandbasedWind_Class1_Advanced_,2030,Results_p1,MW,3355.5,866.6845019408736,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,2030,Results_p1,MW,444.8,444.7999992929357,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2030,Results_p1,MW,47.0,46.99999943845695,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,2030,Results_p1,MW,45.0,44.99999946742084,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2030,Results_p1,MW,119.1,119.0999995928133,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,2030,Results_p1,MW,0.0,0.0,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_naturalgas_ccs100_moderate_0,NaturalGas_CCS100_Moderate,2030,Results_p1,MW,119.6,0.0069664321015877,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,2030,Results_p1,MW,581.3,0.000552798807063,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_nuclear_1,Nuclear,2030,Results_p1,MW,1768.2,1768.1999993752984,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,2030,Results_p1,MW,106.3,0.007606719002115,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshore_wind_turbine_1,Offshore Wind Turbine,2030,Results_p1,MW,2777.0,2699.99877363779,0,1
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_0,OffShoreWind_Class12_Advanced_floating_0,2030,Results_p1,MW,280.0,279.99998177947015,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_1,OffShoreWind_Class12_Advanced_floating_0,2030,Results_p1,MW,91.0,90.99999959356448,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_2,OffShoreWind_Class12_Advanced_floating_0,2030,Results_p1,MW,3499.8,3499.7999911537827,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_3,OffShoreWind_Class12_Advanced_floating_0,2030,Results_p1,MW,293.3,293.2999994175872,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_4,OffShoreWind_Class12_Advanced_floating_0,2030,Results_p1,MW,0.0,0.0,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_0_5,OffShoreWind_Class12_Advanced_floating_0,2030,Results_p1,MW,746.5,746.4999946357214,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_0,OffShoreWind_Class12_Advanced_floating_1,2030,Results_p1,MW,21.7,21.699999594619115,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_1,OffShoreWind_Class12_Advanced_floating_1,2030,Results_p1,MW,83.8,83.79999907744242,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_2,OffShoreWind_Class12_Advanced_floating_1,2030,Results_p1,MW,24.8,24.79999954869018,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_3,OffShoreWind_Class12_Advanced_floating_1,2030,Results_p1,MW,756.6,756.5999994466616,1,0
p4_Mod_Elect_Low_RE,NENG_Rest,NENG_Rest_offshorewind_class12_advanced_floating_1_4,OffShoreWind_Class12_Advanced_floating_1,2030,Results_p1,MW,2828.4,2828.399972392994,1,0
