Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,52.0,168.0,168.0,1,20174,16487,25496,25946,24655,27208,12476,22651,31423,36755,11455,9784,15348,13461,37109,39548,17450,11707,7698,18287,26279,26733,29579,19972,48420,2308
,,,,,,,168.0,2,19498,15704,24285,24049,23690,25712,11893,21402,30216,34812,11016,9419,14474,12840,35102,37779,16843,10165,6654,15713,25208,25548,28211,19193,46446,2214
,,,,,,,168.0,3,18707,14915,23065,23049,23258,24987,11442,20387,28572,33172,10815,9203,14116,12714,34424,37072,16237,9758,6376,14864,25470,24752,27401,18486,44520,2119
,,,,,,,168.0,4,18053,14026,21687,22703,22752,24749,11246,19961,28264,31743,10541,8925,13755,12695,34237,36797,15381,9740,6331,14540,25850,24340,27136,18074,43522,2077
,,,,,,,168.0,5,17352,12992,20083,22690,22531,24757,11109,19454,28064,29702,10317,8714,13461,12734,34392,36768,15830,9770,6334,14263,26409,24033,26960,17461,42871,2052
,,,,,,,168.0,6,17327,12657,19564,23462,23057,24881,11172,19146,27974,29227,10353,8723,13480,13273,35416,37389,15735,9826,6361,14118,27794,24182,27288,17329,42509,2039
,,,,,,,168.0,7,17226,12372,19125,24393,23750,25626,11561,19536,28776,29053,10626,8888,13691,13817,37129,38514,15515,10093,6556,14482,29032,24824,27968,17358,43455,2089
,,,,,,,168.0,8,17297,12215,18884,27306,22885,26296,11955,19795,29869,29078,10567,8843,14125,14411,37497,39564,15703,10426,6820,14848,30271,25529,29126,17656,45376,2199
,,,,,,,168.0,9,17783,12472,19283,29873,21516,27033,12262,20835,31456,30249,10427,8712,14638,14769,38360,40712,15979,10578,7098,15460,29672,26709,30241,18274,46909,2269
,,,,,,,168.0,10,18428,12957,20046,32302,21713,27934,12805,21622,32865,32943,10532,8813,15076,14965,39506,42189,16490,10727,7304,15885,28965,27594,31091,18752,48678,2359
,,,,,,,168.0,11,18599,13043,20171,34545,22387,28976,13514,22977,34839,34508,10920,9133,15658,14817,40580,43273,17169,11154,7647,16480,28439,28517,31855,19152,51037,2473
,,,,,,,168.0,12,18928,13626,21073,36413,22758,29688,14060,23729,36438,36958,11150,9367,15902,15143,41401,44531,17862,11502,7921,16743,29030,29484,33224,19525,52528,2548
,,,,,,,168.0,13,19568,14431,22321,38095,23399,30689,14842,24803,37964,38955,11587,9725,16404,15653,42893,46421,18403,11809,8178,17448,29628,30708,34712,19997,54070,2617
,,,,,,,168.0,14,20061,15232,23564,38614,23378,31306,15182,25787,40004,40232,11692,9828,17033,15538,42769,46758,19004,12205,8525,18135,29080,31094,34971,20720,55824,2709
,,,,,,,168.0,15,20702,15911,24618,38195,23518,31270,15302,25629,40019,40738,11810,9954,17204,15809,43089,46977,20316,12180,8608,18076,29400,31233,34932,21273,55626,2701
,,,,,,,168.0,16,21265,16660,25783,38110,23472,31530,15594,25882,40430,42087,11849,9975,17332,16033,43912,47708,20353,12273,8710,18289,30262,31913,35385,21560,55476,2689
,,,,,,,168.0,17,21144,16766,25948,39530,23818,32571,16112,26279,41422,41853,11926,10013,17925,17079,47190,49777,20797,12531,8857,18525,33101,33741,37053,21713,55633,2696
,,,,,,,168.0,18,21282,16941,26218,41414,25036,34509,17370,27114,44741,41279,12287,10281,19042,17697,49440,51607,21138,13330,9286,19249,33194,35829,39260,21882,56689,2753
,,,,,,,168.0,19,21791,17273,26737,40541,28145,36157,17959,27468,45990,41935,13452,11268,20641,18713,50901,54170,22319,13960,9682,19845,34415,36694,40138,22571,58649,2843
,,,,,,,168.0,20,23293,18101,28025,39482,28530,36943,17777,29869,47192,45372,13487,11295,20661,18255,49971,53749,22900,14887,10115,22063,33667,37268,40543,23997,65544,3175
,,,,,,,168.0,21,24226,19736,30557,36991,27767,36318,17177,29975,45947,46838,13131,11040,20040,17412,48064,52312,24389,14817,9992,22118,31748,36363,39033,25534,66454,3221
,,,,,,,168.0,22,24845,20921,32395,33644,27239,35087,16424,29205,43700,48451,12894,10868,19532,16332,45856,50176,23483,14285,9585,21459,29672,35065,36901,25759,64927,3139
,,,,,,,168.0,23,24360,20515,31766,30231,26648,33648,15477,28196,41545,47631,12563,10636,19050,15091,43233,47441,22278,13725,9153,20632,27059,33102,34386,25069,62850,3033
,,,,,,,168.0,24,23392,19461,30123,26885,25293,31769,14288,26773,38677,44595,12015,10223,18133,13647,39941,44261,21072,12904,8543,19317,24707,30895,31565,23750,59302,2857
,,,,,,,168.0,25,22025,18326,28358,23623,21406,29638,13088,24937,35687,41520,10861,9442,16886,12016,35976,41223,19315,11965,7877,17791,21988,28270,28369,22043,54796,2634
