Resource,region,technology,cluster,R_ID,Zone,Num_VRE_Bins,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,LDS,CapRes_1,CapRes_2,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,MinCapTag_1,MinCapTag_2,ESR_2,MinCapTag_3,ESR_1,ESR_6,ESR_5,MinCapTag_5,ESR_3,CapRes_3,MinCapTag_4,ESR_4,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW,Capital_Recovery_Period,WACC,Lifetime,Can_Retire,Hydro_level,MGA,Max_Uprate_MW,MinCapTag_6,MinCapTag_7,MinCapTag_8,MinCapTag_9,Min_Cap_10,Min_Cap_11,Min_Cap_12,Min_Cap_13,Model,Power_uprate_cost_per_MWyr,Resource_Type,Unnamed: 21,area,basis_year,capacity_factor,capture_rate,co2_o_m_mw,cost_case,extra_ccs_cost_tonne,fixed_o_m_mw_std,lcoe,m_popden,minimum_load_mw,plant_inv_cost_mwyr,spur_inv_mwyr,tech_detail,unmodified_cap_size
NENG_Rest_landbasedwind_class1_moderate_3,NENG_Rest,LandbasedWind_Class1_Moderate_,3,146,1,1.0,0,1,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3939.4,0.0,0.0,0.0,0.0,0.0,1279551.476,142250.0,45646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32086.07,554809.547,1.266,0.4020571112632751,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.031,20.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LandbasedWind_Class1_Moderate__3,-1.0,5477.5,2026.5,0.0,0.0,0.0,Moderate,0.0,0.0,48.315,1.065,0.0,110164.0,0.0,Class1,0.0
NENG_Rest_landbasedwind_class1_moderate_4,NENG_Rest,LandbasedWind_Class1_Moderate_,4,147,1,1.0,0,1,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6464.8,0.0,0.0,0.0,0.0,0.0,1279551.476,157995.0,45646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47831.108,827061.587,1.266,0.4507000744342804,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.031,20.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LandbasedWind_Class1_Moderate__4,-1.0,5906.75,2026.5,0.0,0.0,0.0,Moderate,0.0,0.0,46.425,0.483,0.0,110164.0,0.0,Class1,0.0
NENG_Rest_landbasedwind_class1_moderate_5,NENG_Rest,LandbasedWind_Class1_Moderate_,5,148,1,1.0,0,1,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4056.4,0.0,0.0,0.0,0.0,0.0,1279551.476,141533.0,45646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31369.779,542423.952,1.266,0.3091396987438202,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.031,20.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LandbasedWind_Class1_Moderate__5,-1.0,8443.0,2026.5,0.0,0.0,0.0,Moderate,0.0,0.0,62.927,1.888,0.0,110164.0,0.0,Class1,0.0
NENG_Rest_landbasedwind_class1_moderate_6,NENG_Rest,LandbasedWind_Class1_Moderate_,6,149,1,1.0,0,1,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,6229.9,0.0,0.0,0.0,0.0,0.0,1279551.476,151668.0,45646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41504.972,678454.995,1.266,0.3752236068248749,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.031,20.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LandbasedWind_Class1_Moderate__6,-1.0,8327.25,2026.5,0.0,0.0,0.0,Moderate,0.0,0.0,54.108,1.059,0.0,110164.0,0.0,Class1,0.0
NENG_Rest_natural_gas_fired_combined_cycle_1,NENG_Rest,Natural Gas Fired Combined Cycle,1,10,1,0.0,1,0,0,0,0,0,0.0,0.93,0.0,0.0,3721.9,0.0,20.0,3721.9,0,186.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18649.0,0.0,0.0,0.0,5.15,0.0,0.0,0.0,104.0,2.0,9.06,2.162,2.446,new_england_naturalgas,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Natural_Gas_Fired_Combined_Cycle,-1.0,0.0,0.0,0.205,0.0,0.0,0,0.0,0.0,0.0,0.0,98.195,0.0,0.0,0,186.095
NENG_Rest_natural_gas_fired_combined_cycle_2,NENG_Rest,Natural Gas Fired Combined Cycle,2,11,1,0.0,1,0,0,0,0,0,0.0,0.93,0.0,0.0,10513.3,0.0,23.0,10513.3,0,457.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11067.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,104.0,2.0,7.48,0.477,0.467,new_england_naturalgas,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Natural_Gas_Fired_Combined_Cycle,-1.0,0.0,0.0,0.205,0.0,0.0,0,0.0,796.882,0.0,0.0,188.87,0.0,0.0,0,457.1
NENG_Rest_natural_gas_fired_combustion_turbine_1,NENG_Rest,Natural Gas Fired Combustion Turbine,1,12,1,0.0,1,0,0,0,0,0,0.0,0.93,0.0,0.0,933.2,0.0,12.0,933.204,0,77.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11451.0,0.0,0.0,0.0,5.97,0.0,0.0,0.0,135.0,3.5,9.94,0.382,0.568,new_england_naturalgas,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Natural_Gas_Fired_Combustion_Turbine,-1.0,0.0,0.0,0.092,0.0,0.0,0,0.0,2145.58,0.0,0.0,18.625,0.0,0.0,0,77.767
NENG_Rest_natural_gas_fired_combustion_turbine_2,NENG_Rest,Natural Gas Fired Combustion Turbine,2,13,1,0.0,1,0,0,0,0,0,0.0,0.93,0.0,0.0,602.4,0.0,19.0,602.395,0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14149.0,0.0,0.0,0.0,5.97,0.0,0.0,0.0,135.0,3.5,12.22,0.0,0.168,new_england_naturalgas,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Natural_Gas_Fired_Combustion_Turbine,-1.0,0.0,0.0,0.092,0.0,0.0,0,0.0,1151.558,0.0,0.0,18.005,0.0,0.0,0,31.705
NENG_Rest_naturalgas_ccavgcf_moderate_0,NENG_Rest,NaturalGas_CCAvgCF_Moderate,0,59,1,0.0,1,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,1054794.332,110159.0,31661.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,135.0,2.0,6.36,0.0,0.0,new_england_naturalgas,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6.0,6.0,0.0,0.0,0.0,0.0,1.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.037,15.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NaturalGas_CCAvgCF_Moderate,-1.0,0.0,2026.5,0.0,0.0,0.0,Moderate,0.0,0.0,0.0,0.0,0.0,110159.0,0.0,CCAvgCF,0.0
NENG_Rest_naturalgas_ccs100_moderate_0,NENG_Rest,NaturalGas_CCS100_Moderate,0,62,1,0.0,1,0,0,0,0,0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1,500.0,-1.0,0.0,0.0,0.0,0.0,0.0,2765539.215,217779.0,85431.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,135.0,0.0,7.52,0.0,0.0,new_england_naturalgas_ccs100,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6.0,6.0,20.0,104000.0,0.0,0.0,1.062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.037,20.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NaturalGas_CCS100_Moderate,-1.0,0.0,2026.5,0.0,0.0,0.0,Moderate,0.0,0.0,0.0,0.0,0.0,210470.0,7309.42,CCS100,0.0
