Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
48,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
49,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
50,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
51,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
52,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
53,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
54,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
55,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
56,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
57,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
58,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
59,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
60,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
61,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
62,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
63,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
64,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
65,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
66,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
67,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
68,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
69,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
70,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
71,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
72,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
73,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
74,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
75,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
76,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
77,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
78,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
79,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
80,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
81,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
82,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
83,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
84,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
85,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
86,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
87,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
88,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
89,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
90,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
91,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
92,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
93,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
94,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
95,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
96,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
97,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
98,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
99,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
100,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
101,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
102,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
103,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
104,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
105,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
106,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
107,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
108,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
109,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
110,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
111,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
112,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
113,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
114,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
115,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
116,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
117,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
118,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
119,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
120,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
121,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
122,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
123,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
124,0.0,0.0,3.81,0.79,3.37,0.79,2.2,2.1,3.73,0.79,3.81,3.37,3.73,3.73
