Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,47,14441.0,1260.0,955.0,1891.0,216.0,1168.0,2084.0,7933.0,2480.0,17879.0,63992.0
,,,,,,,,48,13302.0,1199.0,907.0,1798.0,206.0,1109.0,1981.0,7538.0,2359.0,16663.0,60221.0
,,,,,,,,49,12420.0,1141.0,863.0,1711.0,195.0,1055.0,1889.0,7162.0,2252.0,16071.0,58168.0
,,,,,,,,50,11335.0,1058.0,801.0,1587.0,182.0,980.0,1752.0,6642.0,2089.0,15211.0,55719.0
,,,,,,,,51,10889.0,1014.0,768.0,1522.0,174.0,938.0,1680.0,6367.0,2004.0,15015.0,54625.0
,,,,,,,,52,10622.0,987.0,747.0,1480.0,169.0,913.0,1635.0,6191.0,1951.0,14985.0,54341.0
,,,,,,,,53,10459.0,968.0,733.0,1452.0,166.0,896.0,1604.0,6071.0,1914.0,15066.0,54614.0
,,,,,,,,54,10581.0,967.0,733.0,1451.0,165.0,895.0,1603.0,6062.0,1914.0,15560.0,56416.0
,,,,,,,,55,11036.0,991.0,751.0,1487.0,170.0,917.0,1645.0,6209.0,1965.0,16496.0,59299.0
,,,,,,,,56,11672.0,1010.0,764.0,1515.0,173.0,934.0,1675.0,6329.0,1999.0,16913.0,62059.0
,,,,,,,,57,12468.0,1049.0,794.0,1573.0,180.0,970.0,1739.0,6572.0,2075.0,17473.0,64150.0
,,,,,,,,58,13518.0,1111.0,841.0,1666.0,190.0,1028.0,1841.0,6966.0,2198.0,17891.0,65843.0
,,,,,,,,59,14291.0,1180.0,894.0,1771.0,203.0,1092.0,1957.0,7403.0,2335.0,18109.0,66665.0
,,,,,,,,60,14668.0,1217.0,921.0,1825.0,209.0,1127.0,2016.0,7637.0,2404.0,18051.0,66797.0
,,,,,,,,61,14910.0,1244.0,942.0,1866.0,213.0,1151.0,2061.0,7804.0,2459.0,18050.0,66752.0
,,,,,,,,62,14681.0,1236.0,936.0,1855.0,212.0,1144.0,2049.0,7757.0,2445.0,17719.0,65617.0
,,,,,,,,63,14490.0,1229.0,931.0,1843.0,211.0,1137.0,2035.0,7711.0,2427.0,17613.0,64820.0
,,,,,,,,64,14358.0,1224.0,927.0,1836.0,210.0,1132.0,2027.0,7681.0,2418.0,17738.0,64574.0
,,,,,,,,65,14617.0,1232.0,932.0,1848.0,211.0,1140.0,2041.0,7729.0,2435.0,18602.0,66075.0
,,,,,,,,66,15339.0,1254.0,950.0,1880.0,215.0,1160.0,2077.0,7866.0,2478.0,20026.0,69938.0
,,,,,,,,67,16789.0,1380.0,1045.0,2071.0,236.0,1278.0,2286.0,8660.0,2727.0,20679.0,73912.0
,,,,,,,,68,16588.0,1393.0,1055.0,2090.0,239.0,1289.0,2309.0,8739.0,2755.0,20281.0,73301.0
,,,,,,,,69,15792.0,1350.0,1022.0,2024.0,232.0,1250.0,2236.0,8471.0,2668.0,19510.0,71487.0
,,,,,,,,70,15103.0,1308.0,990.0,1962.0,224.0,1210.0,2167.0,8206.0,2585.0,18727.0,68825.0
,,,,,,,,71,14215.0,1256.0,952.0,1885.0,215.0,1163.0,2082.0,7888.0,2483.0,17626.0,65529.0
,,,,,,,,72,13029.0,1186.0,899.0,1780.0,204.0,1098.0,1966.0,7447.0,2345.0,16332.0,61339.0
,,,,,,,,73,11782.0,1115.0,844.0,1673.0,191.0,1031.0,1848.0,6994.0,2204.0,15268.0,57603.0
,,,,,,,,74,10792.0,1046.0,792.0,1569.0,180.0,968.0,1733.0,6559.0,2069.0,14576.0,55442.0
,,,,,,,,75,10377.0,1006.0,762.0,1510.0,173.0,931.0,1670.0,6313.0,1993.0,14414.0,54854.0
,,,,,,,,76,10103.0,981.0,743.0,1472.0,168.0,907.0,1627.0,6146.0,1943.0,14423.0,54835.0
,,,,,,,,77,9968.0,965.0,731.0,1448.0,165.0,892.0,1601.0,6046.0,1912.0,14510.0,55231.0
,,,,,,,,78,10072.0,963.0,730.0,1445.0,165.0,891.0,1598.0,6032.0,1908.0,14916.0,56800.0
,,,,,,,,79,10410.0,981.0,743.0,1472.0,168.0,907.0,1628.0,6142.0,1947.0,15632.0,59205.0
,,,,,,,,80,10902.0,995.0,754.0,1493.0,171.0,920.0,1651.0,6229.0,1973.0,15973.0,61771.0
,,,,,,,,81,11557.0,1030.0,781.0,1547.0,177.0,954.0,1711.0,6452.0,2046.0,16648.0,64126.0
,,,,,,,,82,12653.0,1091.0,827.0,1637.0,187.0,1009.0,1811.0,6832.0,2165.0,17394.0,65803.0
,,,,,,,,83,13584.0,1171.0,886.0,1756.0,201.0,1082.0,1944.0,7330.0,2323.0,17846.0,66207.0
,,,,,,,,84,14249.0,1218.0,922.0,1826.0,209.0,1126.0,2020.0,7626.0,2413.0,17999.0,66134.0
,,,,,,,,85,14843.0,1254.0,949.0,1880.0,215.0,1159.0,2079.0,7847.0,2485.0,18459.0,66741.0
,,,,,,,,86,14944.0,1265.0,958.0,1899.0,217.0,1170.0,2100.0,7922.0,2509.0,18478.0,66285.0
,,,,,,,,87,14968.0,1278.0,967.0,1917.0,219.0,1181.0,2120.0,8003.0,2531.0,18563.0,65833.0
,,,,,,,,88,15001.0,1284.0,973.0,1927.0,220.0,1188.0,2131.0,8047.0,2545.0,18859.0,66432.0
,,,,,,,,89,15313.0,1295.0,981.0,1943.0,222.0,1198.0,2148.0,8110.0,2567.0,20005.0,69329.0
,,,,,,,,90,16273.0,1331.0,1008.0,1998.0,229.0,1231.0,2210.0,8340.0,2640.0,21674.0,74190.0
,,,,,,,,91,18008.0,1473.0,1115.0,2209.0,253.0,1362.0,2443.0,9225.0,2918.0,22532.0,78630.0
,,,,,,,,92,17982.0,1494.0,1130.0,2240.0,257.0,1381.0,2477.0,9355.0,2959.0,22309.0,78493.0
,,,,,,,,93,17260.0,1457.0,1104.0,2186.0,250.0,1349.0,2417.0,9133.0,2886.0,21785.0,77012.0
,,,,,,,,94,16507.0,1421.0,1076.0,2131.0,244.0,1314.0,2356.0,8899.0,2814.0,20842.0,74074.0
,,,,,,,,95,15333.0,1364.0,1032.0,2046.0,234.0,1261.0,2262.0,8540.0,2702.0,19466.0,69713.0
,,,,,,,,96,13808.0,1270.0,961.0,1905.0,218.0,1175.0,2108.0,7952.0,2519.0,18046.0,65122.0
,,,,,,,,97,10435.0,912.0,690.0,1369.0,156.0,846.0,1504.0,5762.0,1785.0,13206.0,52468.0
,,,,,,,,98,9344.0,845.0,639.0,1267.0,144.0,783.0,1391.0,5347.0,1648.0,12115.0,48593.0
,,,,,,,,99,8798.0,809.0,613.0,1215.0,138.0,752.0,1333.0,5128.0,1579.0,11649.0,46421.0
,,,,,,,,100,8428.0,788.0,597.0,1182.0,135.0,732.0,1297.0,4991.0,1536.0,11322.0,45099.0
,,,,,,,,101,8188.0,775.0,587.0,1163.0,133.0,719.0,1276.0,4911.0,1511.0,11114.0,44127.0
,,,,,,,,102,8206.0,775.0,586.0,1162.0,133.0,719.0,1275.0,4904.0,1510.0,11163.0,44335.0
,,,,,,,,103,8233.0,782.0,592.0,1174.0,134.0,726.0,1289.0,4948.0,1528.0,11257.0,44424.0
,,,,,,,,104,8588.0,838.0,634.0,1257.0,143.0,777.0,1383.0,5289.0,1643.0,12056.0,47043.0
,,,,,,,,105,9582.0,919.0,696.0,1379.0,158.0,852.0,1518.0,5797.0,1804.0,13180.0,51893.0
,,,,,,,,106,10915.0,1006.0,762.0,1510.0,172.0,932.0,1663.0,6340.0,1978.0,14432.0,57395.0
,,,,,,,,107,12030.0,1078.0,816.0,1617.0,185.0,999.0,1781.0,6786.0,2120.0,15475.0,61974.0
,,,,,,,,108,12828.0,1135.0,859.0,1703.0,194.0,1052.0,1877.0,7142.0,2235.0,16293.0,66080.0
,,,,,,,,109,13551.0,1184.0,897.0,1776.0,203.0,1096.0,1959.0,7442.0,2334.0,17109.0,69956.0
,,,,,,,,110,13783.0,1199.0,907.0,1798.0,206.0,1109.0,1984.0,7530.0,2365.0,17411.0,72018.0
,,,,,,,,111,13898.0,1209.0,915.0,1814.0,208.0,1119.0,2001.0,7596.0,2386.0,17722.0,73788.0
,,,,,,,,112,14008.0,1223.0,926.0,1834.0,210.0,1131.0,2024.0,7677.0,2414.0,18105.0,75312.0
,,,,,,,,113,14315.0,1251.0,947.0,1876.0,214.0,1157.0,2072.0,7850.0,2471.0,18647.0,76866.0
,,,,,,,,114,14305.0,1250.0,946.0,1874.0,214.0,1156.0,2070.0,7839.0,2469.0,18720.0,76622.0
,,,,,,,,115,14810.0,1266.0,958.0,1899.0,217.0,1171.0,2098.0,7936.0,2503.0,19124.0,76720.0
,,,,,,,,116,14779.0,1254.0,950.0,1882.0,215.0,1161.0,2078.0,7873.0,2478.0,19091.0,75546.0
,,,,,,,,117,14384.0,1257.0,952.0,1886.0,215.0,1164.0,2080.0,7900.0,2479.0,19216.0,74159.0
