Constraint,CapRes_1,CapRes_2,CapRes_3
t1,2.2978273330781645e-11,2.988153483299185e-11,4.231018719527873e-12
t2,1.7004288133959464e-11,2.7269057790203492e-11,4.0947370156967504e-12
t3,1.544060704480169e-11,2.978117638530155e-11,4.238143177080902e-12
t4,1.4128799972310324e-11,2.7396800398178857e-11,4.396819731895895e-12
t5,1.6627619870690407e-11,3.257780047213927e-11,4.838304214016415e-12
t6,2.262196600430798e-11,3.671493460575629e-11,5.732611638999314e-12
t7,2.733526853304805e-11,3.7678178487814064e-11,7.213452798573527e-12
t8,3.537563771183578e-11,4.4372576569613597e-11,8.89108002047632e-12
t9,5.5838402859163066e-11,1.0800615642450017e-10,8.191959647617877e-12
t10,3.983343935786944e-11,5.029276706094632e-11,6.1198435204615386e-12
t11,4.1980982287577474e-11,4.0932979578143855e-11,5.330602181007709e-12
t12,4.399318498794081e-11,5.527120706920588e-11,4.498997578147406e-12
t13,3.7490634204180773e-11,5.350441971420302e-11,4.096701532964676e-12
t14,3.1367372347016696e-11,4.5095545660338714e-11,4.081466110699242e-12
t15,3.34429281434992e-11,3.280702224823631e-11,4.092427704759094e-12
t16,3.119603294273287e-11,3.5183544692128074e-11,4.554295031585504e-12
t17,2.9543036481711225e-11,5.671190674178743e-11,5.816156346847475e-12
t18,5.7489485797114904e-11,1.2734697253434383e-10,1.5133659215719236e-11
t19,1.0797626727301702e-10,1.2074532661622515e-10,1.3411950239617286e-11
t20,6.035090793730326e-11,7.771773473925025e-11,8.886863200605176e-12
t21,5.2362135518304546e-11,1.1323926271342282e-10,7.816545411734051e-12
t22,3.930039602049519e-11,9.453247708731416e-11,8.967149770681737e-12
t23,2.4611866978295816e-11,4.000597245426002e-11,4.748430864679307e-12
t24,2.3106315687882458e-11,3.599657166525916e-11,9.811266253693148e-12
t25,3.374565063527466e-11,2.7815662311134747e-11,5.485035405852256e-12
t26,1.9292603636490225e-11,2.6754396107269098e-11,3.701025940684387e-12
t27,1.913468632778298e-11,2.8706910878478015e-11,4.305455443236691e-12
t28,2.0963770413212607e-11,2.875268176809124e-11,2.165452339869864e-12
t29,2.3506606380345107e-11,3.0605937486286026e-11,3.705748258396528e-12
t30,3.474389882467434e-11,3.160005522422091e-11,4.1710464199607875e-12
t31,3.902100724069975e-11,3.745725934836627e-11,5.133839345603342e-12
t32,3.1754478130767174e-11,5.1503792524887886e-11,5.6472226998782815e-12
t33,3.801592994600423e-11,4.0803912411886e-11,5.468271731088041e-12
t34,3.649582333175077e-11,3.179325065449431e-11,3.32890269665847e-12
t35,2.8777552019550432e-11,2.8748900331554345e-11,3.2721007328569413e-12
t36,2.6829686596499833e-11,2.836774690896712e-11,3.128326071030706e-12
t37,2.392900643875014e-11,2.885812897171782e-11,2.9813543614621154e-12
t38,2.2106319816857492e-11,3.14883064659771e-11,2.8265092455890883e-12
t39,2.098078757115353e-11,4.264475446777374e-11,2.8038104266520653e-12
t40,1.9948806117549472e-11,2.982543400656202e-11,2.9866296505377574e-12
t41,3.560843152679242e-11,4.1492011294283127e-11,3.4591978804838517e-12
t42,3.1023836900759676e-11,7.137956346898154e-11,7.913143224269712e-12
t43,3.323009806909073e-11,7.047030772935299e-11,7.031478422735853e-12
t44,2.2762108956661384e-11,4.7948265632038864e-11,5.062320936629532e-12
t45,2.199054082944475e-11,4.3144981848768306e-11,4.472256325974178e-12
t46,1.8879632382719846e-11,3.813140088610689e-11,3.94762275973005e-12
t47,1.601626972590507e-11,3.2282495547064955e-11,3.452406730540254e-12
t48,1.498163603755592e-11,2.8449563630681166e-11,3.1382231887195237e-12
t49,1.5347496834486184e-11,2.710344073497045e-11,2.971846894586578e-12
t50,1.5307837916706915e-11,2.3739467441827024e-11,2.7049423490045242e-12
t51,1.485988666568833e-11,2.3929347618485335e-11,2.6205660429168986e-12
t52,1.5163622233046075e-11,2.3493197591423286e-11,2.585081790830064e-12
t53,1.5854798613196238e-11,2.4181783849225327e-11,2.63239141440333e-12
t54,1.575697046449895e-11,2.5011436263128523e-11,2.80558416220643e-12
t55,1.693191686690262e-11,2.5160323461176358e-11,3.085020522436887e-12
t56,1.8387849586895078e-11,2.6462665293425277e-11,3.472702779010695e-12
t57,1.7692655356414607e-11,2.958926467852197e-11,3.308717204768188e-12
t58,1.7243924556921006e-11,3.263027976840367e-11,2.9951263545702944e-12
t59,1.7787642428012442e-11,3.5769595634909564e-11,2.8777325709539312e-12
t60,1.8841304349830087e-11,3.8600251808736544e-11,2.806065699320194e-12
t61,1.8308943579133707e-11,3.991863597126722e-11,2.7917284231244554e-12
t62,1.762757186537972e-11,3.599805429061889e-11,2.7097807528120613e-12
t63,1.742333420782929e-11,3.3958552085921114e-11,2.7358449236194285e-12
t64,1.6810914049269736e-11,3.2966108279099785e-11,2.7953511371367345e-12
t65,2.0048188663646138e-11,3.178771130889351e-11,2.9805441695416724e-12
t66,2.3104127592121623e-11,3.8834754504026946e-11,4.615015097070456e-12
t67,2.6937374488253127e-11,5.079113301415813e-11,5.389803863802583e-12
t68,2.7025931650883812e-11,4.7713516188312813e-11,5.402323041670829e-12
t69,2.4754384032895256e-11,4.023217154407599e-11,4.8606997881189795e-12
t70,2.1695736445148003e-11,3.735192997325282e-11,4.438041445011693e-12
t71,1.7706623747826467e-11,3.4129407991332437e-11,3.886869580704159e-12
t72,1.5696117369037905e-11,2.9566123892138976e-11,3.3859907325825856e-12
t73,1.4265749549904033e-11,2.5660794685901067e-11,3.055218154195815e-12
t74,1.4189180267095074e-11,2.4977300874563744e-11,2.9162007567678198e-12
t75,1.4065337111239343e-11,2.3992480956928583e-11,2.9751739123918392e-12
t76,1.4439743131828709e-11,2.2621373168104503e-11,3.0724746920460857e-12
t77,1.496175023051301e-11,2.0653101262007618e-11,3.199668195354462e-12
t78,1.5687092064419842e-11,2.1421046046780468e-11,3.362256651825899e-12
t79,1.6380260892804338e-11,3.548451439158877e-11,3.8612379985906214e-12
t80,1.6570486494168736e-11,2.5651415122252945e-11,4.021096546647727e-12
t81,1.6733200129564933e-11,4.6435352338361676e-11,3.907971359930841e-12
t82,1.692413419009366e-11,3.108792421379334e-11,3.05158874783409e-12
t83,1.7242635368192527e-11,3.613992595504991e-11,2.8945666135843307e-12
t84,1.847726891312813e-11,4.2589935150925804e-11,3.0051564298051415e-12
t85,2.2192068590182402e-11,4.316943904016384e-11,2.9565592214642856e-12
t86,2.2989604024026263e-11,4.115425709780061e-11,2.8927641072488574e-12
t87,2.202371055075036e-11,3.887373666441558e-11,2.9632028383939174e-12
t88,2.2208935119240883e-11,3.258510801007927e-11,3.083633458048876e-12
t89,2.5881943449824358e-11,3.490441591589741e-11,4.018644251239017e-12
t90,5.3314236102483216e-11,5.3495221028832256e-11,7.587032994968236e-12
t91,7.648442331415767e-11,7.739184842451428e-11,9.976778536079023e-12
t92,7.227188337799877e-11,1.0917102995496627e-10,1.0064022713032025e-11
t93,6.41190673006778e-11,7.238568338561392e-11,9.318530487281437e-12
t94,5.0270781390115996e-11,6.190152477635433e-11,7.642098304865462e-12
