Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.765655899440834e7
new_england_naturalgas,3.0232751384442735e8
new_england_uranium,3.77948880239899e7
middle_atlantic_naturalgas,9.559976135465219e8
middle_atlantic_uranium,8.82020809096889e8
middle_atlantic_coal,0.0
east_north_central_coal,2.28723167154761e9
east_north_central_naturalgas,3.044403915688364e8
east_north_central_uranium,2.053839548766531e9
new_england_naturalgas_ccs100,2.9507378198176086
middle_atlantic_naturalgas_ccs100,12.709047829368954
east_north_central_naturalgas_ccs90,1.5727929269456913
east_north_central_naturalgas_ccs100,1.8467944246308645
None,0.0
