region,marginal_price,total_demand
BASN,56.7679369635036,154373402.0
CASO,63.962448437447144,141559023.0
CANO,65.6436705043255,219102255.0
FRCC,62.84123108895796,305390926.0
ISNE,104.86894110186594,185912448.0
MISC,51.49678178373347,243790194.0
MISE,58.06683666276835,126030936.0
MISS,53.057397326220396,223677305.0
MISW,51.388254519576975,294141188.0
NWPP,58.30329289588407,260888430.0
NYCW,93.7774399597939,97972883.0
NYUP,72.71220475957467,85901025.0
PJMC,55.8574755499556,142659266.0
PJMD,68.27109531093429,134294097.0
PJME,74.47110576500079,361596414.0
PJMW,57.203740959076995,381430632.0
RMRG,46.2661154809144,129535560.0
SPPC,47.94713159948368,101870818.0
SPPN,45.78922960146002,67540119.0
SPPS,46.379665767574934,162787259.0
SRCA,60.90161176271357,263347390.0
SRCE,54.939949271739785,264512199.0
SRSE,60.0819125458111,303257618.0
SRSG,58.19137672351674,183293864.0
TRE,48.0557367722756,515960435.0
TREW,43.959448703049794,24676479.0
