Time_Index,None,waste_biomass,mountain_coal,mountain_naturalgas,mountain_distillate,pacific_naturalgas,pacific_uranium,pacific_distillate,pacific_coal,south_atlantic_coal,south_atlantic_naturalgas,south_atlantic_uranium,south_atlantic_distillate,new_england_coal,new_england_naturalgas,new_england_uranium,new_england_distillate,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,east_north_central_distillate,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate,middle_atlantic_naturalgas,middle_atlantic_distillate,middle_atlantic_uranium,middle_atlantic_coal,west_north_central_coal,west_north_central_naturalgas,west_north_central_uranium,west_north_central_distillate,east_south_central_coal,east_south_central_naturalgas,east_south_central_uranium,east_south_central_distillate,mountain_uranium,hydrogen,pacific_naturalgas_ccs95,south_atlantic_naturalgas_ccs95,east_north_central_naturalgas_ccs95,west_south_central_naturalgas_ccs95,mountain_naturalgas_ccs95,west_north_central_naturalgas_ccs95,east_south_central_naturalgas_ccs95
14,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
15,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
16,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
17,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
18,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
19,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
20,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
21,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
22,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
23,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
24,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
25,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
26,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
27,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
28,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
29,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
30,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
31,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
32,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
33,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
34,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
35,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
36,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
37,0.0,1.0,1.37,4.2,21.2,4.05,0.71,20.18,1.85,2.24,3.97,0.71,20.49,0.0,3.52,0.71,18.38,1.84,3.27,0.71,16.31,1.79,3.55,0.71,17.82,3.01,22.22,0.71,1.84,1.53,3.81,0.71,16.37,1.73,3.72,0.71,17.81,0.71,16.0,4.05,3.97,3.27,3.55,4.2,3.81,3.72
