Zone,1,2,3,4,5,6,7,8,9,10,11,Total
AnnualSum,1.4708006958601413e7,115809.0156034592,8143.5809902995825,0.6543776089354734,0.5679542558494998,381016.2520388137,1.698143984926982e7,820541.1054482817,895179.7719570814,1.953805440368759e7,1.5661864830676726e8,2.1006684046669587e8
t1,2870.145495648585,16.379672536853302,0.000303746918976843,0.00010888512559808831,9.032446259421422e-5,0.0006448177676327799,3086.2653082335823,0.0001555570691478924,214.83959335583418,4223.453889705558,27238.195931785936,37649.281194597694
t2,2870.14535355701,16.379669349966544,0.00030181698158826905,0.00010383175700248975,8.730734547970522e-5,0.0006414555756231163,3086.2653048511206,0.00014796350089391113,214.8395830904061,4223.453884521842,27238.195926959568,37649.28100470507
t3,2553.295533973362,16.379669172801123,0.00030168160501588666,0.00010305629110692806,8.694601349639057e-5,0.0006408950695775916,3086.265304562332,0.00014609456009426235,214.83958245213074,4223.453884723597,27238.195926385746,37332.43117994351
t4,1573.06202337771,16.379667528378086,0.0003006566480931382,9.917511606849685e-5,8.543865265369684e-5,0.000637781848927065,3086.265302432694,0.0001392693212693251,214.8395667703181,4223.453873152025,27238.195925829026,36352.19762141174
t5,1718.992583773926,16.379666740016297,0.00030006176937845755,9.714879969575636e-5,8.460595428161656e-5,0.0006373187171595378,3086.2653021739557,0.00013824738048710808,214.8395672790025,4222.840574998763,27238.195925140004,36497.51487748829
t6,2458.708834770917,16.37966656788548,0.00029971123916222993,9.800273402719977e-5,8.423598626139584e-5,0.0006368716039657427,3086.2653018333795,0.00013942439359080876,214.83956824142177,4028.783357358673,27238.195924084077,37043.17391110231
t7,2870.14550216393,16.379671863074137,0.000302831609558993,0.00010939061091317151,8.903605847097027e-5,0.0006438299330077975,3086.265307756157,0.00015510771851907814,214.83959965313304,4223.453890323769,27238.195938092682,37649.28121004868
t8,2870.1455039554057,16.37967222017653,0.0003025710519100064,0.0001101358983969157,8.910032979718655e-5,0.0006424903528169163,3086.265307879363,0.00015556605595662447,214.83960252520697,4223.453889456829,27238.195935524556,37649.28121142522
t9,2870.145502726569,16.379670109006575,0.00030103639476471204,0.00010693478778668085,8.619693949371778e-5,0.0006402894977850335,3086.2653063333855,0.00015135011501926773,214.83960024003557,3719.6088431238563,27238.195928035868,37145.436136376455
