model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,RMRG_to_SRSG,2030,full-current-policies,MW,614,614
USENSYS,SPPC_to_SPPN,2030,full-current-policies,MW,1433,1433
USENSYS,SPPC_to_SPPS,2030,full-current-policies,MW,3372,3371
USENSYS,SPPS_to_SRSG,2030,full-current-policies,MW,1010,1010
USENSYS,SPPS_to_TRE,2030,full-current-policies,MW,600,600
USENSYS,SPPS_to_TREW,2030,full-current-policies,MW,589,1089
USENSYS,SRCA_to_SRCE,2030,full-current-policies,MW,216,216
USENSYS,SRCA_to_SRSE,2030,full-current-policies,MW,1400,1400
USENSYS,SRCE_to_SRSE,2030,full-current-policies,MW,3196,3195
USENSYS,TRE_to_TREW,2030,full-current-policies,MW,16529,16526
USENSYS,MISE_to_MISW,2030,full-current-policies,MW,,1
USENSYS,BASN_to_CANO,2035,full-current-policies,MW,100,100
USENSYS,BASN_to_CASO,2035,full-current-policies,MW,5920,5919
USENSYS,BASN_to_NWPP,2035,full-current-policies,MW,3350,3350
USENSYS,BASN_to_RMRG,2035,full-current-policies,MW,3750,3750
USENSYS,BASN_to_SRSG,2035,full-current-policies,MW,5385,5385
USENSYS,CANO_to_CASO,2035,full-current-policies,MW,3675,3675
USENSYS,CANO_to_NWPP,2035,full-current-policies,MW,3675,3675
USENSYS,CASO_to_NWPP,2035,full-current-policies,MW,2858,2858
USENSYS,CASO_to_SRSG,2035,full-current-policies,MW,4354,4354
USENSYS,FRCC_to_SRSE,2035,full-current-policies,MW,3600,3600
USENSYS,ISNE_to_NYCW,2035,full-current-policies,MW,760,760
USENSYS,ISNE_to_NYUP,2035,full-current-policies,MW,10518,10517
USENSYS,MISC_to_MISS,2035,full-current-policies,MW,1039,1039
USENSYS,MISC_to_MISW,2035,full-current-policies,MW,1655,1655
USENSYS,MISC_to_PJMC,2035,full-current-policies,MW,5244,5244
USENSYS,MISC_to_PJMW,2035,full-current-policies,MW,5441,5440
USENSYS,MISC_to_SPPC,2035,full-current-policies,MW,1430,2766
USENSYS,MISC_to_SPPS,2035,full-current-policies,MW,1172,1725
USENSYS,MISC_to_SRCE,2035,full-current-policies,MW,3745,3745
USENSYS,MISE_to_MISW,2035,full-current-policies,MW,1,1
USENSYS,MISE_to_PJMW,2035,full-current-policies,MW,2662,2662
USENSYS,MISS_to_SPPS,2035,full-current-policies,MW,1697,1697
USENSYS,MISS_to_SRCE,2035,full-current-policies,MW,4092,4092
USENSYS,MISS_to_SRSE,2035,full-current-policies,MW,891,891
USENSYS,MISW_to_NWPP,2035,full-current-policies,MW,200,200
USENSYS,MISW_to_PJMC,2035,full-current-policies,MW,3200,3200
USENSYS,MISW_to_SPPN,2035,full-current-policies,MW,5512,5511
USENSYS,NWPP_to_RMRG,2035,full-current-policies,MW,400,400
USENSYS,NYCW_to_NYUP,2035,full-current-policies,MW,6618,8835
USENSYS,NYCW_to_PJME,2035,full-current-policies,MW,3389,3389
USENSYS,NYUP_to_PJME,2035,full-current-policies,MW,3246,5268
USENSYS,PJMC_to_PJMW,2035,full-current-policies,MW,980,980
USENSYS,PJMD_to_PJME,2035,full-current-policies,MW,1200,7846
USENSYS,PJMD_to_PJMW,2035,full-current-policies,MW,6930,6929
USENSYS,PJMD_to_SRCA,2035,full-current-policies,MW,1000,2352
USENSYS,PJME_to_PJMW,2035,full-current-policies,MW,3885,3885
USENSYS,PJMW_to_SRCA,2035,full-current-policies,MW,1219,1219
USENSYS,PJMW_to_SRCE,2035,full-current-policies,MW,3333,3333
USENSYS,RMRG_to_SPPC,2035,full-current-policies,MW,210,1399
USENSYS,RMRG_to_SPPN,2035,full-current-policies,MW,1518,2791
USENSYS,RMRG_to_SRSG,2035,full-current-policies,MW,614,663
USENSYS,SPPC_to_SPPN,2035,full-current-policies,MW,1433,1433
USENSYS,SPPC_to_SPPS,2035,full-current-policies,MW,3372,3372
USENSYS,SPPS_to_SRSG,2035,full-current-policies,MW,1010,4095
USENSYS,SPPS_to_TRE,2035,full-current-policies,MW,600,2437
USENSYS,SPPS_to_TREW,2035,full-current-policies,MW,1089,3927
USENSYS,SRCA_to_SRCE,2035,full-current-policies,MW,216,216
USENSYS,SRCA_to_SRSE,2035,full-current-policies,MW,1400,1400
USENSYS,SRCE_to_SRSE,2035,full-current-policies,MW,3196,3196
USENSYS,TRE_to_TREW,2035,full-current-policies,MW,16529,16527
USENSYS,SPPN_to_SPPS,2035,full-current-policies,MW,,4174
USENSYS,BASN_to_CANO,2040,full-current-policies,MW,100,100
USENSYS,BASN_to_CASO,2040,full-current-policies,MW,5920,5920
USENSYS,BASN_to_NWPP,2040,full-current-policies,MW,3350,3350
USENSYS,BASN_to_RMRG,2040,full-current-policies,MW,3750,3750
USENSYS,BASN_to_SRSG,2040,full-current-policies,MW,5385,5385
USENSYS,CANO_to_CASO,2040,full-current-policies,MW,3675,3675
USENSYS,CANO_to_NWPP,2040,full-current-policies,MW,3675,3675
USENSYS,CASO_to_NWPP,2040,full-current-policies,MW,2858,2858
USENSYS,CASO_to_SRSG,2040,full-current-policies,MW,4354,4354
USENSYS,FRCC_to_SRSE,2040,full-current-policies,MW,3600,3600
USENSYS,ISNE_to_NYCW,2040,full-current-policies,MW,760,760
USENSYS,ISNE_to_NYUP,2040,full-current-policies,MW,10518,10518
USENSYS,MISC_to_MISS,2040,full-current-policies,MW,1039,1039
USENSYS,MISC_to_MISW,2040,full-current-policies,MW,1655,1655
USENSYS,MISC_to_PJMC,2040,full-current-policies,MW,5244,5244
USENSYS,MISC_to_PJMW,2040,full-current-policies,MW,5441,5441
USENSYS,MISC_to_SPPC,2040,full-current-policies,MW,2766,4030
USENSYS,MISC_to_SPPS,2040,full-current-policies,MW,1725,1725
USENSYS,MISC_to_SRCE,2040,full-current-policies,MW,3745,3745
USENSYS,MISE_to_MISW,2040,full-current-policies,MW,1,1
USENSYS,MISE_to_PJMW,2040,full-current-policies,MW,2662,2662
USENSYS,MISS_to_SPPS,2040,full-current-policies,MW,1697,3853
USENSYS,MISS_to_SRCE,2040,full-current-policies,MW,4092,4092
USENSYS,MISS_to_SRSE,2040,full-current-policies,MW,891,1837
USENSYS,MISW_to_NWPP,2040,full-current-policies,MW,200,200
USENSYS,MISW_to_PJMC,2040,full-current-policies,MW,3200,3200
USENSYS,MISW_to_SPPN,2040,full-current-policies,MW,5512,5512
USENSYS,NWPP_to_RMRG,2040,full-current-policies,MW,400,400
USENSYS,NYCW_to_NYUP,2040,full-current-policies,MW,8835,8835
USENSYS,NYCW_to_PJME,2040,full-current-policies,MW,3389,3389
USENSYS,NYUP_to_PJME,2040,full-current-policies,MW,5268,6077
USENSYS,PJMC_to_PJMW,2040,full-current-policies,MW,980,3624
USENSYS,PJMD_to_PJME,2040,full-current-policies,MW,7846,7846
USENSYS,PJMD_to_PJMW,2040,full-current-policies,MW,6930,6930
USENSYS,PJMD_to_SRCA,2040,full-current-policies,MW,2352,2352
USENSYS,PJME_to_PJMW,2040,full-current-policies,MW,3885,4531
USENSYS,PJMW_to_SRCA,2040,full-current-policies,MW,1219,1219
USENSYS,PJMW_to_SRCE,2040,full-current-policies,MW,3333,3466
USENSYS,RMRG_to_SPPC,2040,full-current-policies,MW,1399,2581
USENSYS,RMRG_to_SPPN,2040,full-current-policies,MW,2791,4917
USENSYS,RMRG_to_SRSG,2040,full-current-policies,MW,663,1700
USENSYS,SPPC_to_SPPN,2040,full-current-policies,MW,1433,1433
USENSYS,SPPC_to_SPPS,2040,full-current-policies,MW,3372,3372
USENSYS,SPPN_to_SPPS,2040,full-current-policies,MW,4174,4174
USENSYS,SPPS_to_SRSG,2040,full-current-policies,MW,4095,8277
USENSYS,SPPS_to_TRE,2040,full-current-policies,MW,2437,2437
USENSYS,SPPS_to_TREW,2040,full-current-policies,MW,3927,3927
USENSYS,SRCA_to_SRCE,2040,full-current-policies,MW,216,216
USENSYS,SRCA_to_SRSE,2040,full-current-policies,MW,1400,2716
USENSYS,SRCE_to_SRSE,2040,full-current-policies,MW,3196,3196
USENSYS,TRE_to_TREW,2040,full-current-policies,MW,16529,16529
USENSYS,MISS_to_SPPC,2040,full-current-policies,MW,,458
USENSYS,BASN_to_CANO,2045,full-current-policies,MW,100,100
USENSYS,BASN_to_CASO,2045,full-current-policies,MW,5920,5920
USENSYS,BASN_to_NWPP,2045,full-current-policies,MW,3350,3350
USENSYS,BASN_to_RMRG,2045,full-current-policies,MW,3750,3750
