region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,3,1,18,0.0,0.0,0.0,2.2210958624496083e6,0.0,0.0,10.803166522495342,62.63361294407192,0.0,15.019698604732655,0.0,0.0,0.6419902150213662,0.0,0.0,0.0,27126.10985744932,0.0,0.0,0.0,0.6419902150213662,2.22118431892768e6,-2.221183676937465e6
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,3,1,20,0.0,0.0,0.0,6.938234827776311e6,0.0,0.0,0.5391470660684136,38.41499866746885,0.0,4.912662075085047,0.0,0.0,0.10696587753594147,0.0,0.0,0.0,27239.988410996753,0.0,0.0,0.0,0.10696587753594147,6.938278694584119e6,-6.938278587618242e6
NY_Z_B,NY_Z_B_nuclear_1,3,1,21,0.0,0.0,0.0,152.4148463282582,0.0,0.0,0.0,17.268461100416367,0.0,4.169930431812717,0.0,0.0,0.531048200458033,0.0,0.0,0.0,0.08925181878498173,1.8189796204982506e-11,0.0,0.3301723476353114,0.531048200458033,173.8532378604873,-173.32218966002927
NY_Z_C&E,NY_Z_C&E_natural_gas_fired_combined_cycle_1,4,1,22,0.0,0.0,0.0,2.7417708644762337e7,0.0,0.0,32.138803849199576,200.1232185774444,0.0,26.136498658212968,0.0,0.0,2.603829359736534,0.0,0.0,0.0,402723.65482376085,0.0,0.0,0.0,2.603829359736534,2.7417967043283425e7,-2.7417964439454064e7
NY_Z_C&E,NY_Z_C&E_natural_gas_steam_turbine_1,4,1,23,0.0,0.0,0.0,90.11422635286908,0.0,0.0,1.7164270970548938,57.64916092479784,0.0,5.9974247760702495,0.0,0.0,0.477773013771869,0.0,0.0,0.0,0.3537946671523687,0.0,0.0,0.0,0.477773013771869,155.47723915079206,-154.9994661370202
NY_Z_C&E,NY_Z_C&E_nuclear_1,4,1,24,0.0,0.0,0.0,7.318102345069699e8,0.0,0.0,0.0,1.639102282856239e8,0.0,6.3904439969156055,0.0,0.0,6.074325625594059e6,0.0,0.0,0.0,614949.212982627,0.0001726554341519043,0.0,2.2749029441753644e6,6.074325625594059e6,8.957204691830379e8,-8.896461435574439e8
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_1,5,1,25,0.0,0.0,0.0,5.221719985121667e6,0.0,0.0,14.530794618039529,88.61922518082187,0.0,14.532891605766972,0.0,0.0,0.9775126848044162,0.0,0.0,0.0,63772.5513589635,0.0,0.0,0.0,0.9775126848044162,5.221837668033072e6,-5.221836690520387e6
NY_Z_D,NY_Z_D_natural_gas_fired_combined_cycle_2,5,2,26,0.0,0.0,0.0,1.6970588918018674e6,0.0,0.0,14.138293403723775,77.62142702619552,0.0,16.77215999331205,0.0,0.0,0.895649771326484,0.0,0.0,0.0,20726.077929301027,0.0,0.0,0.0,0.895649771326484,1.6971674236822906e6,-1.6971665280325192e6
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_1,6,1,27,0.0,0.0,0.0,4.2200587885897905e7,0.0,0.0,2.427177944600271e7,1.4969052037596232e8,0.0,3.514773592531053e7,0.0,0.0,2.454437248108522e6,0.0,0.0,0.0,797111.3327251826,0.0,0.0,0.0,2.454437248108522e6,2.5131062363317344e8,-2.488561863850649e8
NY_Z_F,NY_Z_F_natural_gas_fired_combined_cycle_2,6,2,28,0.0,0.0,0.0,5.469751512532483e6,0.0,0.0,15.148404939414073,86.43826930322285,0.0,17.738579785593597,0.0,0.0,0.9984992350218002,0.0,0.0,0.0,66801.7454493241,0.0,0.0,0.0,0.9984992350218002,5.469870837786511e6,-5.469869839287275e6
