Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,0.0,-1599.9983020251805,-686.4813965661632,767.4966511011215,1604.1445397593673,-999.9995741834113,759.3425867611984,-1483.6854863132373,1064.6363197579253,4299.996013212282,-1509.999559407922,6524.265600178445,5813.285922638647,2579.9991483563076,349.9992708708915,1318.1892391266258,-599.9997238590494
t2,0.0,-1599.9985919106423,-1199.9914129357144,408.1062886810846,1202.870528367901,-999.9980401616936,131.68944657925286,-1543.0225580545714,441.8306541498119,4299.995779730118,-1509.998261259737,5406.906028806137,4343.716027888282,2579.998763372482,349.9989666803116,1141.8871130388338,-599.9995410349702
t3,0.0,-1599.9985052017155,-1199.992053169468,310.82246458443615,1010.0157997314576,-999.9979399647955,33.626807430037815,-1429.9398633948438,276.78429567644116,4299.995823380387,-1509.9981675320946,5321.027359307634,4417.908876356979,2579.9987149673457,349.9989364003355,1251.1358739498373,-599.9995395394284
t4,0.0,-1599.9986297195524,-1199.996103847348,-0.998768218686065,905.5849634331107,-999.9976542484704,-0.0003736720888946166,-1346.505815690593,252.50654384465938,4299.995516693785,-1509.9976327903441,4850.851914598031,2894.6280277877077,2579.990991752818,349.9780053547305,965.4315684768458,-599.999264152062
t5,0.0,-1599.9986796633523,-1199.996226684964,-1.112134290085534,797.5683522723916,-999.9976047469223,0.0020418517146387804,-1354.0687887791876,401.9184404139986,4299.9955196064375,-1509.9975138640393,5287.159380659356,3763.5978078363255,2579.9901105832596,349.9785748882162,1127.4031837185166,-599.9992391340749
t6,0.0,-1599.9985658339415,-1199.9955327348694,-2.056551041320113,792.1191889207842,-999.9938907609695,-0.0014259974981167588,-1211.7959384100086,243.53892360647131,4299.995439782796,-1450.9135417153293,5285.798470014678,4394.593797900432,2579.9904422487557,349.97858663455816,1176.440692745061,-599.9990479510585
t7,0.0,-1599.9975567755414,-1087.298936794249,-0.0008558277250809194,543.7401168209869,972.5688466213253,24.96078328753254,-1093.5157740719444,0.0007407633952063208,3020.7517246503253,0.0023051973195639956,6510.447679207277,5323.819812476451,1883.6118839480598,0.0014290969859936072,83.68370450389676,-0.001952385551295463
t8,0.0,-1599.9997351588354,-1199.9983415172926,-767.4970915531688,2978.2524098087574,999.998158722013,2534.81816348895,-956.160919338556,0.0009185668508605031,3881.7962497324957,1421.4619313716596,6900.8727850898895,7129.273873434215,2579.9983049134867,349.99844034437547,352.7703996541845,-78.22097888684026
t9,0.0,-1599.9992233039695,-1199.9967963662289,-767.4962848112276,892.0324559388481,738.5476500796847,322.19197272738325,-849.7036967200943,-1132.7430391225212,3982.3800306174435,0.0016344003633966585,6949.996023667891,6385.325399611613,1954.005642228518,0.0013752386285194658,-1039.6915451292718,0.000492789309386734
t10,0.0,-1599.9996633119245,-1199.9981409972274,-767.498712950644,2404.0219683506166,999.9979465070437,1558.823963376315,-758.527613040294,427.67837555240556,4299.998952201874,151.78904822058934,6949.998418280763,5766.137896318174,2579.9837382184464,212.10188949501543,-485.14387491209567,-223.80980914875124
t11,0.0,-1599.999804596769,-1199.988531877202,-425.2071578775023,3229.437113508135,-140.41676482474253,2160.080945277786,-585.0161218574664,1956.8886231695851,4299.999680512209,-1122.2318505671062,6949.999590560378,6223.9635231221955,1840.4674282223796,0.00584966159744269,-1319.9997506116972,-50.08881785418836
t12,0.0,-1599.9998063593916,-1199.9888269722298,-63.134065105373644,3079.0961764698427,286.62315972573293,2125.9481301267933,-743.5381004706325,1539.9790094511097,4299.999686098438,-1016.6729752176626,6949.999615972002,7125.090199639715,1328.2861332455407,0.005829017735550625,-1319.9997598367358,-52.7826600702169
t13,0.0,-1599.999811440254,-1199.9894965900376,-58.205881585281645,3328.3215826336996,435.1953251596067,2348.853470029994,-602.2657336768615,1876.2136019275802,4299.999690117044,-1209.1780484363117,6949.999612941156,7077.037372171748,1334.0718114708452,0.005652607678063392,-1319.999758287558,-17.920760640622674
t14,0.0,-1599.999813872949,-1199.9893346680315,-211.3651638178335,3384.9766607826277,504.7056248902415,2430.4674671545054,-919.8445420643129,2421.918717871105,4299.999695367038,-1260.304489540632,6949.999612836601,6492.927220327354,1565.6945637679817,0.005286048056782549,-1319.9997438177325,21.480209382385485
t15,0.0,-1599.9944664571756,-1199.9888658413088,-482.681476141025,3631.606009175648,384.12649566365417,2599.9996958826737,-737.6183549141401,2478.5843861748526,4299.977621350417,-1509.9996821825227,6926.069804954651,5421.090546451446,2011.1897308431676,0.005038249302109873,-1319.9997351108007,-25.620278522471533
t16,0.0,-1599.9960429709217,-1199.988716623645,-511.7989289565411,3658.996135459523,265.5793515669264,2599.9996954956437,-755.7499407827792,2702.419409028563,4299.985594387352,-1509.9996788351991,5990.945682296309,4357.327006381151,2166.5314645023204,0.004345151577786779,-1319.9997159439806,-243.39598954105384
