Fuel,AnnualSum
No_fuel,0.0
new_england_coal,4.663465504345237e7
new_england_naturalgas,1.1724658634450966e8
new_england_uranium,2.9616435712642366e8
middle_atlantic_naturalgas,1.0185293767056732e9
middle_atlantic_uranium,5.525559649956594e8
middle_atlantic_coal,0.0
east_north_central_coal,7.701452059084008e8
east_north_central_naturalgas,9.366494844142604e8
east_north_central_uranium,2.036911782200334e9
new_england_naturalgas_ccs100,1.1418452308844258
middle_atlantic_naturalgas_ccs100,11.093025112981008
east_north_central_naturalgas_ccs90,2.8810900981912666
east_north_central_naturalgas_ccs100,1.6400904142795192
None,0.0
