Zone,1,2,3,4,5,6,7,8,9,10,11
t1,0.16185870028329766,0.16147087756545178,0.16234518089002903,0.16389482077156467,0.16169707550629717,0.1647327046499331,0.1659729879620324,0.1670720365413036,0.16732283604696674,0.16597298792943976,0.21186613166344073
t2,0.1618587000633909,0.16147087749861844,0.1623451808250546,0.16389482073944442,0.16169707547592752,0.16473270441834595,0.16597298793267365,0.16707203651116698,0.16732283601067927,0.1659729879291273,0.17653302807101756
t3,0.1618586994754359,0.16147087748652805,0.16234518081018542,0.1638948207245861,0.16169707545808473,0.1647327038139209,0.16597298791959922,0.16707203649615548,0.16732283599279976,0.16597298792797832,0.17284357978709416
t4,0.16126104957448695,0.16147087695985532,0.16234518029076356,0.16389482022390378,0.1616970749618728,0.16412444199499163,0.1659729874142437,0.16707203598388265,0.16732283548042293,0.16597298792491796,0.17284357977380893
t5,0.11444354977180438,0.15783094478819756,0.15868553927715195,0.16020024670767224,0.1580520437793218,0.16182648143344905,0.16223156713679057,0.16330584055453423,0.1635509865223895,0.16597298788429238,0.17284357976276665
t6,6.78964113411178e-11,8.819941457937825e-11,1.0082480162758999e-10,1.0313623804758039e-10,5.7960120448243e-11,1.1121211759776735e-10,1.2148140669363106e-10,1.236365780717404e-10,3.143830815842657e-10,0.16597298788127282,0.17284357981467643
t7,-6.638036033614961e-12,-0.11351570176818682,-0.11351570166800361,-0.11351570148071215,-0.11351570231646936,-0.11351570145536659,-0.11351570144501866,-0.11351570144357767,-1.354659416144198e-10,0.16597298570271413,0.057221774655910516
t8,5.0547412611871184e-12,-0.12266969667157972,-0.12266969660081886,-0.12266969646547815,-0.13182369194662116,-0.12266969644344615,-0.12266969643402222,-0.12266969643312067,-9.290165134572492e-11,0.165972985905552,0.05722177457806233
t9,1.8310829687256727e-11,-0.12266969686886851,-0.12266969678433984,-0.12266969645973239,-0.1426389031557603,-0.12266969643814579,-0.1226696964275116,-0.12266969642647643,-3.694217791100224e-11,0.16597298786338022,0.057221774566130486
t10,1.5141034708493576e-11,-0.12266969687808862,-0.12266969678663533,-8.287866495631931e-10,-0.14263890318519193,-7.991958005726711e-10,-7.74277513504791e-10,-7.706323064382687e-10,6.619719873734369e-11,0.16597298790432813,0.05722177457088017
t11,3.0729705062774735e-11,-0.12266969687958662,-0.12266969679534188,-2.0730375381279107e-10,-0.14263890319459688,-1.8178368125748146e-10,-1.398835487786483e-10,-1.3279267101658315e-10,2.310965785576977e-10,0.16597298791949816,0.05722177456898246
t12,1.5560633649196605e-10,-0.1226696968747089,-0.12266969678693826,7.64913231353244e-11,-0.14263890319179828,9.797299041722705e-11,1.633082030969762e-10,1.7664993867431418e-10,5.018990756895031e-10,0.1659729879350013,0.057221774568217414
t13,1.1839736279293389e-9,-0.12266969687072998,-0.122669696789394,1.1667267270287553e-9,-0.14263890319283545,1.1849811589980843e-9,1.2765940866027043e-9,1.2984933221198483e-9,1.6463330104928284e-9,0.16597298793374485,0.05722177458325983
t14,2.74641313197978e-9,-0.12266969683370665,-0.1226696967552289,2.707008555903425e-9,-0.14263890318639935,2.738982146178016e-9,2.809856197456183e-9,2.8345577523629013e-9,3.172629291399164e-9,0.16597298792732218,0.05722177477695143
t15,1.2557873164812092e-9,-0.12266969673207077,-0.12266969664516215,1.2131658790915746e-9,-0.14263890317888897,1.2412322093805552e-9,1.2850943686812297e-9,1.2983890083275283e-9,1.7019236010843134e-9,0.1659729879353752,0.1728435791788975
t16,4.89847607251773e-9,-0.1226696962374367,-0.12266969606107532,4.877678158202763e-9,-0.14263890316126604,4.932273578206687e-9,4.9992856448775995e-9,5.032377779909984e-9,5.4430516689104906e-9,0.16597298794437765,0.17284357953408447
t17,3.749690736134132e-8,3.658076300489189e-8,3.692794369818539e-8,3.7628523630176574e-8,-0.14263890310414407,3.7996417343782e-8,3.841793107943624e-8,3.8668501866736466e-8,3.913213517162829e-8,0.16597298794161697,0.17284357977148682
t18,0.15821001732734297,0.15646376403125584,0.1573109558123598,0.15881254246094248,0.12420102616252643,0.160424690450929,0.1622315653990232,0.16330583882712926,0.1635509852353892,0.16597298793470353,0.1820118413923596
t19,0.1629305364358939,0.16565795694752772,0.16655493163507845,0.16498014043546505,0.1627678415530998,0.16582357258168318,0.16707206935036287,0.1681783958848069,0.16843085619548415,0.16597298795140114,0.2118661316987014
t20,0.18988411075152628,0.1930659347336776,0.19410808923799674,0.19227278023506147,0.1896945011138721,0.19325574147314759,0.19471077659506317,0.19600012256307,0.1962943463820941,0.16597298809555563,0.23047162728304296
t21,0.2270039129175224,0.21142518462285192,0.21459778629978543,0.216646195431572,0.19986136659682602,0.21884542816738228,0.21939324393277088,0.22084603354946292,0.2211775556614073,0.16597298796315213,0.865093342183629
t22,0.20146502136949151,0.19306593443778208,0.19410808934245982,0.19596091687196934,0.19333318171163294,0.1979501678387034,0.1984456783119234,0.19975975623846076,0.2000596247786717,0.16597298797601662,0.2304716272971562
t23,0.19083605839301435,0.19306593464105987,0.19410808921537465,0.19227278027159292,0.18969450114926675,0.1942245919683903,0.1942830559674294,0.19556956962600236,0.1958631480491061,0.16597298798770513,0.230471627260069
t24,0.19083605340424248,0.19306593440284597,0.1941080891133482,0.19323669794343107,0.1906454931806312,0.19422458705013623,0.19568691670128938,0.19698272652839954,0.19603947296171903,0.16597298795537477,0.2304716268208362
t25,0.1618587092658872,0.16635516082614177,0.16545926198111777,0.16389483005932035,0.16169708466761643,0.16473271379660964,0.16597299728383397,0.16707204592447855,0.16732284544728973,0.16597298794032794,0.2118661316962314
t26,0.1618587005997075,0.16635515316042046,0.1654592543118514,0.1638948224519038,0.1616970771674738,0.16473270497236434,0.1659729879797806,0.16707203654913425,0.16732283606330983,0.16597298793379794,0.21186613167359744
t27,0.16185870012680156,0.166355152918564,0.16545925408247547,0.16389482222760912,0.16169707694747856,0.16473270448483945,0.16597298795707827,0.16707203652852506,0.16732283603565273,0.16597298793179716,0.21186613166875465
t28,0.16185870006892475,0.16635515290295583,0.16545925407056059,0.16389482221689827,0.16169707693498991,0.16473270441785703,0.1659729878810395,0.16707203635774243,0.16732283595661948,0.16597298792828227,0.211866131665352
t29,0.16185870009960374,0.16635515273590035,0.1654592539310894,0.16389482208264877,0.1616970768007132,0.16473270445042298,0.16597298783994877,0.166521608978558,0.16732283589826197,0.16597298792648377,0.21186613166222962
t30,0.16185870009102346,0.16635515319924246,0.16545925443212978,0.16389482258187785,0.16169707729202504,0.16473270444541255,0.16597298782909964,0.16652160864732551,0.16732283588850316,0.1659729879349971,0.21186613167307602
t31,0.16185870024013085,0.16456817790536693,0.1654592516992669,0.16389482078283527,0.16169707551323326,0.16473270377938176,0.1659729879450336,0.16707203651231056,0.1673228360339628,0.16597298794142346,0.18201187693392054
t32,0.16302827110830329,0.1614708778782595,0.16234518120801691,0.16389482095758395,0.1616970756499852,0.16412444255637723,0.16597298814901934,0.16707203673206666,0.16732283625236877,0.16597298802793284,0.17284357993613572
t33,0.1670386777710057,0.16147087759513548,0.1623451809247767,0.1638948208080243,0.1616970754871023,0.16412444240403337,0.16597298800514812,0.1670720365855109,0.16732283620510277,0.16597298809441285,0.1728435798883643
t34,0.16703867788194582,0.16147087757531936,0.16234518089577832,0.16389482078163323,0.16169707545391934,0.16412444237860419,0.16597298797996193,0.16707203655926142,0.16732283621016905,0.16597298914730346,0.17284357986526647
