model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,10,FRCC_to_SRSE,2030,current_policies_20_week_foresight,MW,4060.69,3616.23
TEMOA,11,ISNE_to_NYCW,2030,current_policies_20_week_foresight,MW,826.949,776.644
TEMOA,12,ISNE_to_NYUP,2030,current_policies_20_week_foresight,MW,6851.74,3142.98
TEMOA,13,MISC_to_MISE,2030,current_policies_20_week_foresight,MW,2734.5,29.5014
TEMOA,14,MISC_to_MISS,2030,current_policies_20_week_foresight,MW,1081.87,1051.43
TEMOA,15,MISC_to_MISW,2030,current_policies_20_week_foresight,MW,1690.82,1665.92
TEMOA,16,MISC_to_PJMC,2030,current_policies_20_week_foresight,MW,5350.71,5269.02
TEMOA,17,MISC_to_PJMW,2030,current_policies_20_week_foresight,MW,7791.21,5467.96
TEMOA,18,MISC_to_SPPC,2030,current_policies_20_week_foresight,MW,9957.97,1533.97
TEMOA,19,MISC_to_SPPN,2030,current_policies_20_week_foresight,MW,5171.26,60.0829
TEMOA,20,MISC_to_SPPS,2030,current_policies_20_week_foresight,MW,5171.63,1235.48
TEMOA,21,MISC_to_SRCE,2030,current_policies_20_week_foresight,MW,3794.63,3757.46
TEMOA,22,MISE_to_MISW,2030,current_policies_20_week_foresight,MW,142.542,24.3762
TEMOA,23,MISE_to_PJMW,2030,current_policies_20_week_foresight,MW,2704.48,2676.05
TEMOA,24,MISS_to_SPPC,2030,current_policies_20_week_foresight,MW,1921.19,95.9329
TEMOA,25,MISS_to_SPPS,2030,current_policies_20_week_foresight,MW,24137.2,1958.97
TEMOA,26,MISS_to_SRCE,2030,current_policies_20_week_foresight,MW,4165.06,4109.57
TEMOA,27,MISS_to_SRSE,2030,current_policies_20_week_foresight,MW,9531.25,925.541
TEMOA,28,MISW_to_NWPP,2030,current_policies_20_week_foresight,MW,231.211,207.14
TEMOA,29,MISW_to_PJMC,2030,current_policies_20_week_foresight,MW,5089.12,3265.77
TEMOA,30,MISW_to_SPPC,2030,current_policies_20_week_foresight,MW,122.615,27.1118
TEMOA,31,MISW_to_SPPN,2030,current_policies_20_week_foresight,MW,5650.52,5541.69
TEMOA,32,NWPP_to_RMRG,2030,current_policies_20_week_foresight,MW,1293.89,436.352
TEMOA,33,NYCW_to_NYUP,2030,current_policies_20_week_foresight,MW,10491.1,6707.55
TEMOA,34,NYCW_to_PJME,2030,current_policies_20_week_foresight,MW,4065.84,1057.5
TEMOA,35,NYUP_to_PJME,2030,current_policies_20_week_foresight,MW,8686.81,4136.52
TEMOA,36,PJMC_to_PJMW,2030,current_policies_20_week_foresight,MW,7130.77,1045.77
TEMOA,37,PJMD_to_PJME,2030,current_policies_20_week_foresight,MW,8211.15,1580.12
TEMOA,38,PJMD_to_PJMW,2030,current_policies_20_week_foresight,MW,7004.24,6945.74
TEMOA,39,PJMD_to_SRCA,2030,current_policies_20_week_foresight,MW,1708.31,1034.05
TEMOA,40,PJME_to_PJMW,2030,current_policies_20_week_foresight,MW,8300.98,3917.46
TEMOA,41,PJMW_to_SRCA,2030,current_policies_20_week_foresight,MW,1349.63,1235.54
TEMOA,42,PJMW_to_SRCE,2030,current_policies_20_week_foresight,MW,3632.68,3356.39
TEMOA,43,RMRG_to_SPPC,2030,current_policies_20_week_foresight,MW,4339.58,459.548
TEMOA,44,RMRG_to_SPPN,2030,current_policies_20_week_foresight,MW,5999.72,943.832
TEMOA,45,RMRG_to_SRSG,2030,current_policies_20_week_foresight,MW,1511.85,701.789
TEMOA,46,SPPC_to_SPPN,2030,current_policies_20_week_foresight,MW,2548.75,1698.65
TEMOA,47,SPPC_to_SPPS,2030,current_policies_20_week_foresight,MW,3828.34,3469.9
TEMOA,48,SPPN_to_SPPS,2030,current_policies_20_week_foresight,MW,3703.15,241.578
TEMOA,49,SPPS_to_SRSG,2030,current_policies_20_week_foresight,MW,12411,1306.45
TEMOA,50,SPPS_to_TRE,2030,current_policies_20_week_foresight,MW,3102.3,876.792
TEMOA,51,SPPS_to_TREW,2030,current_policies_20_week_foresight,MW,7535.17,1024.14
TEMOA,52,SRCA_to_SRCE,2030,current_policies_20_week_foresight,MW,577.519,231.031
TEMOA,53,SRCA_to_SRSE,2030,current_policies_20_week_foresight,MW,1959.26,1415.88
TEMOA,54,SRCE_to_SRSE,2030,current_policies_20_week_foresight,MW,3299.17,3215.29
TEMOA,55,TRE_to_TREW,2030,current_policies_20_week_foresight,MW,16604.9,16552.6
TEMOA,56,NWPP_to_SPPN,2030,current_policies_20_week_foresight,MW,2837.13,29.8057
